chunk	packet	t_us	slot	mask	state	round	rt_a	rt_b	rt_qa	rt_qb	rt_tail	sd_a	sd_b	sd_c	grace_a	grace_b	grace_c	cond
5	1374	1785580551	182	i8														931
5	2284	1793176204	5312	i5|i8			6292.886	0.000	11456	0	3							128
5	2284	1793176204	5312	i5|i8			6292.886	0.000	11456	0	3							128
6	498	1798260938	5312	i5			12036.164	18134.312	21911	33012	27							
6	508	1798344330	5312	i5			12036.164	18134.312	21911	33012	22							
6	524	1798428797	5312	i5			12036.164	18134.312	21911	33012	17							
6	534	1798511248	5312	i5			12036.164	18134.312	21911	33012	11							
6	544	1798594695	5312	i5			12036.164	18134.312	21911	33012	9							
6	558	1798677837	5312	i5			12036.164	18134.312	21911	33012	6							
6	568	1798760953	5312	i5			12036.164	18134.312	21911	33012	2							
6	578	1798844936	5312	i5			12036.164	18133.764	21911	33011	31							
6	588	1798928321	5312	i5			12036.164	18133.764	21911	33011	27							
6	598	1799011603	5312	i5			12036.164	18133.764	21911	33011	22							
6	608	1799095106	5312	i5			12036.164	18133.764	21911	33011	16							
6	618	1799178177	5312	i5			12036.164	18133.764	21911	33011	10							
6	638	1799345948	5312	i5			12036.164	18133.213	21911	33010	31							
6	648	1799429395	5312	i5			12036.164	18133.213	21911	33010	24							
6	658	1799513074	5312	i5			12036.164	18133.213	21911	33010	18							
6	668	1799596542	5312	i5			12036.164	18133.213	21911	33010	11							
6	678	1799679740	5312	i5			12036.164	18133.213	21911	33010	5							
6	688	1799763842	5312	i5			12036.164	18133.213	21911	33010	0							
6	698	1799846962	5312	i5			12036.164	18132.664	21911	33009	29							
6	708	1799930689	5312	i5			12036.164	18132.664	21911	33009	27							
6	812	1800797078	5312	i4		5												
6	822	1800880356	5312	i4		5												
6	852	1801130304	5312	i5			12036.164	18131.566	21911	33007	31							
6	854	1801147434	5312	i4		5												
6	882	1801380891	5312	i5			12036.164	18131.566	21911	33007	14							
6	884	1801397959	5312	i4		5												
6	1070	1802948246	182	i8														555
6	1924	1810072177	5312	i4														
7	344	1816997015	5312	i5			12036.164	18126.621	21911	32998	21							
7	354	1817079706	5312	i5			12036.164	18126.621	21911	32998	18							
7	366	1817180017	5312	i5			12036.164	18126.621	21911	32998	15							
7	372	1817229868	5312	i5			12036.164	18126.621	21911	32998	14							
7	382	1817313332	5312	i5			12036.164	18126.621	21911	32998	13							
7	384	1817329558	182	i8														886
7	394	1817413491	5312	i5			12036.164	18126.621	21911	32998	13							
7	404	1817496716	5312	i5			12036.164	18126.621	21911	32998	12							
7	414	1817580407	5312	i5			12036.164	18126.621	21911	32998	10							
7	424	1817666015	5312	i5			12036.164	18126.621	21911	32998	8							
7	434	1817747609	5312	i5			12036.164	18126.621	21911	32998	5							
7	438	1817782116	5312	i4		5												
7	442	1817814545	5312	i5			12036.164	18126.621	21911	32998	3							
7	446	1817848037	5312	i4		5												
7	454	1817915069	5312	i5			12036.164	18126.072	21911	32997	31							
7	474	1818081051	5312	i5			12036.164	18126.072	21911	32997	24							
7	486	1818181099	5312	i5			12036.164	18126.072	21911	32997	21							
7	488	1818197661	5312	i4		5												
7	494	1818248449	5312	i5			12036.164	18126.072	21911	32997	21							
7	496	1818264531	5312	i4		5												
7	504	1818331545	5312	i5			12036.164	18126.072	21911	32997	25							
7	514	1818418014	5312	i5|i8			6292.886	0.000	11456	0	8							75
7	514	1818418014	5312	i5			12036.164	18126.072	21911	32997	29							
7	570	1818883738	5312	i5|i8			6292.886	0.000	11456	0	8							31
8	86	1834847367	5312	i5			12036.164	18130.467	21911	33005	10							
8	96	1834931383	5312	i5			12036.164	18130.467	21911	33005	4							
8	106	1835014169	5312	i5			12036.164	18129.918	21911	33004	29							
8	116	1835097503	5312	i5			12036.164	18129.918	21911	33004	23							
8	126	1835181490	5312	i5			12036.164	18129.918	21911	33004	18							
8	136	1835264974	5312	i5			12036.164	18129.918	21911	33004	18							
8	146	1835348076	5312	i5			12036.164	18129.918	21911	33004	22							
8	150	1835382022	5312	i4		5												
8	156	1835431464	5312	i5			12036.164	18129.918	21911	33004	26							
8	158	1835452256	5312	i3|i5			12586.046	0.000	22912	0	16							
8	176	1835597821	182	i8|i49|i59														968
8	762	1840489950	5312	i5|i11			6943.297	0.000	12640	0	8							
9	1244	1864510302	5312	i2|i8	0													469
9	1878	1869803859	5312	i3|i8														358
9	2152	1872084706	5312	i4|i41														
10	84	1874838410	5312	i5			12036.713	18133.213	21912	33010	18							
10	104	1875004702	5312	i5			14571.336	27134.037	26526	49395	0							
10	144	1875339109	5312	i4		5												
10	166	1875521768	5312	i5			14571.336	27134.586	26526	49396	12							
10	174	1875588195	5312	i4		5												
10	184	1875671972	5312	i4		5												
10	856	1881277712	5312	i4		9												
10	950	1882061204	182	i8														786
10	1764	1888851726	182	i8														511
10	1982	1890669694	182	i8														574
10	2282	1893173002	5312	i4		5												
10	2354	1893773720	5312	i5			14571.336	27132.939	26526	49393	16							
10	2370	1893906576	182	i8														754
11	798	1900796610	5312	i8														522
11	1150	1903735257	5312	i5			12036.164	18135.410	21911	33014	30							
11	1160	1903817145	5312	i5			12036.164	18135.961	21911	33015	3							
11	1170	1903900747	5312	i5			12036.164	18135.961	21911	33015	6							
11	1180	1903983800	5312	i5			12036.164	18135.961	21911	33015	6							
11	1188	1904053116	5312	i4		5												
11	1190	1904067065	5312	i5			12036.164	18135.961	21911	33015	4							
11	1200	1904150408	5312	i5			12036.164	18135.961	21911	33015	2							
11	1212	1904251236	5312	i5			12036.164	18135.410	21911	33014	29							
11	1220	1904317334	5312	i5			12036.164	18135.410	21911	33014	25							
11	1230	1904400713	5312	i5			12036.164	18135.410	21911	33014	20							
11	1240	1904484138	5312	i5			12036.164	18135.410	21911	33014	14							
11	1250	1904568144	5312	i5			12036.164	18135.410	21911	33014	10							
11	1790	1909071814	5312	i4		5												
11	1792	1909088402	5312	i4		5												
11	1794	1909105021	5312	i4		5												
11	1796	1909121791	5312	i4		5												
11	1798	1909138595	5312	i4		5												
11	1800	1909155191	5312	i4		5												
11	1802	1909171921	5312	i4		5												
11	1804	1909188545	5312	i4		5												
11	1806	1909205394	5312	i4		5												
11	1826	1909372210	5312	i4		5												
11	1838	1909472113	5312	i4		5												
11	1942	1910339401	5312	i5			12036.164	135.960	21911	248	2							
11	1946	1910372797	5312	i5			12036.164	135.960	21911	248	2							
11	1960	1910489586	5312	i5			12036.164	135.960	21911	248	3							
11	1970	1910573304	5312	i5			12036.164	18136.510	21911	33016	3							
11	1978	1910640261	5312	i5			12036.164	18136.510	21911	33016	3							
12	254	1916262879	5312	i6								36554	41947	14				
12	2050	1931244877	5312	i5			12036.164	125.523	21911	229	14							
12	2084	1931528928	5312	i5			12009.246	9125.247	21862	16612	23							
13	436	1937784491	5312	i5			12036.164	18124.424	21911	32994	27							
13	446	1937867478	5312	i5			12036.164	18124.973	21911	32995	1							
13	456	1937951394	5312	i5			12036.164	18124.973	21911	32995	8							
13	966	1942204954	5312	i5			12036.164	18125.523	21911	32996	0							
13	976	1942288787	5312	i5			12036.164	18125.523	21911	32996	7							
13	986	1942372127	5312	i5			12036.164	18125.523	21911	32996	15							
13	996	1942455503	5312	i5			12036.164	18125.523	21911	32996	22							
13	1008	1942555963	5312	i5			12036.164	18125.523	21911	32996	30							
13	1008	1942555963	5312	i7											16920	19689	17	
13	1024	1942688653	5312	i5			9288.399	10833.124	16909	19721	18							
13	1076	1943128067	5312	i8|i11														195
13	1976	1950630185	5312	i5			15365.672	8797.845	27972	16016	0							
14	72	1954751732	182	i8|i31														296
14	254	1956270042	5312	i4		5												
14	262	1956336824	5312	i5			12036.164	18129.369	21911	33003	30							
14	274	1956436714	5312	i5			12036.164	18129.369	21911	33003	22							
14	996	1962458758	5312	i6								17091	44977	6				
14	1386	1965715696	5312	i6|i11								12640	0	8				
14	1892	1969933071	182	i7|i8											26394	21583	27	834
15	1300	1984998104	182	i8														938
15	1752	1988768321	182	i4														
16	242	1996175737	182	i8														942
16	394	1997444617	5312	i2	4													
16	408	1997561026	5312	i4		5												
16	538	1998645278	5312	i5			12036.164	120.029	21911	219	6							
16	558	1998812225	5312	i5			14571.336	27120.305	26526	49370	23							
16	882	2001515490	5312	i5			14330.179	27117.557	26087	49365	22							
16	1540	2007003972	5312	i5			12036.713	129.368	21912	236	18							
16	1544	2007037093	5312	i5			12036.713	129.368	21912	236	15							
16	1548	2007070052	5312	i5			12036.713	129.368	21912	236	12							
16	1552	2007103472	5312	i5			12036.713	129.368	21912	236	9							
16	1558	2007153836	5312	i5			12036.713	129.368	21912	236	5							
16	1560	2007170521	5312	i5			12036.713	129.368	21912	236	3							
16	1568	2007237155	5312	i5			12036.164	128.819	21911	235	29							
16	1848	2009572673	5312	i5			14571.336	27128.543	26526	49385	6							
16	2058	2011324582	5312	i5			12036.164	18131.016	21911	33006	25							
16	2068	2011408481	5312	i5			12036.164	18131.016	21911	33006	26							
16	2078	2011491686	5312	i5			12036.164	18131.016	21911	33006	28							
16	2088	2011575229	5312	i5			12036.164	18131.566	21911	33007	1							
16	2098	2011658705	5312	i5			12036.164	18131.566	21911	33007	6							
16	2108	2011742305	5312	i5			12036.164	18131.566	21911	33007	12							
16	2118	2011825364	5312	i5			12036.164	18131.566	21911	33007	18							
16	2138	2011994842	5312	i5			12036.164	18131.566	21911	33007	29							
16	2148	2012075658	5312	i5			12036.164	18131.566	21911	33007	29							
16	2158	2012159070	5312	i5			12036.164	18131.566	21911	33007	27							
16	2168	2012242571	5312	i5			12036.164	18131.566	21911	33007	23							
16	2178	2012325940	5312	i5			12036.164	18131.566	21911	33007	19							
