chunk	packet	t_us	slot	mask	state	round	rt_a	rt_b	rt_qa	rt_qb	rt_tail	sd_a	sd_b	sd_c	grace_a	grace_b	grace_c	cond
1	8	1077634894	7168	i0|i2|i19|i35|i49	2													
1	8	1077634894	7168	i0|i2|i19|i35|i49	2													
1	8	1077634894	7168	i0|i2|i19|i35|i49	2													
1	1396	1089818140	7168	i5			22508.104	0.000	40974	0	0							
1	1396	1089818140	7168	i6								14	0	0				
1	1396	1089818140	7168	i6								24590	0	0				
1	1396	1089818140	7168	i6								32782	0	0				
3	628	1122800915	7168	i5			0.000	15750.205	0	28672	0							
3	832	1124501109	7168	i7											50965	28585	18	
3	854	1124684953	7168	i8														796
3	860	1124735014	7168	i8														28
3	956	1125538375	7168	i7											57344	61440	0	
3	956	1125538375	7168	i7											40960	61440	0	
3	2042	1134598123	7168	i4														
3	2042	1134598123	7168	i4		16												
4	30	1137815211	7168	i4														
4	50	1137981868	7168	i2	0													
4	138	1138717170	7168	i8														31
4	158	1138883065	7168	i5			18855.037	6939.451	34324	12633	29							
4	160	1138899575	7168	i5			9854.762	6924.070	17940	12605	30							
4	212	1139336434	7168	i5			8999.999	15750.205	16384	28672	0							
4	212	1139336434	7168	i6								0	28672	0				
4	234	1139516582	7168	i8														793
4	238	1139552767	7168	i8														512
4	238	1139552767	7168	i8														640
4	418	1141052687	256	i7											23332	36996	7	
4	420	1141069997	256	i8														364
4	512	1141838840	256	i8|i38														485
4	1216	1147708057	256	i2|i20	3													
4	1366	1148964634	7168	i7											32768	12288	0	
4	1366	1148964634	7168	i4														
4	1642	1151262637	7168	i8														256
5	196	1159207458	7168	i8														0
5	196	1159207458	7168	i8														768
5	378	1160721845	256	i2	2													
5	640	1162910831	7168	i5			4500.412	15750.205	8193	28672	0							
5	640	1162910831	7168	i5			22500.961	15750.205	40961	28672	0							
5	1556	1170548563	7168	i8														280
5	1566	1170633489	7168	i7											1575	61301	11	
5	1626	1171135424	7168	i8														384
5	1626	1171135424	7168	i7											40960	61440	0	
5	1626	1171135424	256	i4		4												
6	114	1178525158	7168	i8														0
6	388	1180809651	256	i8														485
6	546	1182132102	7168	i6								0	28672	0				
6	986	1185798463	7168	i5|i55|i57|i60			2309.671	35148.258	4205	63984	8							
6	1540	1190419056	256	i2|i20	4													
6	1540	1190419056	256	i4|i36														
6	1660	1191420356	7168	i3|i7|i21|i48											64471	20243	13	
6	1938	1193746449	7168	i6								57344	45056	0				
6	1938	1193746449	7168	i7											8192	45056	0	
6	2164	1195624930	7168	i5			28110.752	11263.802	51173	20505	7							
6	2376	1197393193	7168	i8														285
6	2384	1197463144	7168	i5			4499.863	33750.754	8192	61440	0							
6	2384	1197463144	7168	i5			22500.412	33750.754	40960	61440	0							
6	2388	1197493459	7168	i6								50932	28741	21				
6	2400	1197593559	7168	i5			10034.943	19158.818	18268	34877	1							
6	2402	1197610390	7168	i5			976.440	11305.551	1778	20581	21							
7	28	1197810436	7168	i2	0													
7	556	1202214401	7168	i7											1812	28269	24	
7	734	1203702836	7168	i8														768
7	744	1203782478	256	i4|i10|i41		0												
7	782	1204099936	256	i8|i39														17
7	874	1204867296	7168	i6								8206	0	0				
7	1190	1207503107	256	i4		10												
7	1658	1211412129	7168	i8														512
7	1658	1211412129	7168	i8														0
7	2316	1216896115	256	i6|i33								13124	13452	0				
7	2320	1216929458	256	i5|i33			7490.433	7389.355	13636	13452	0							
8	312	1220182400	7168	i8														539
8	1128	1226994978	7168	i7											32768	12288	0	
8	1226	1227808517	256	i4														
8	1608	1230995280	7168	i8|i25														288
8	1756	1232230316	7168	i4		24												
8	1772	1232366190	7168	i5			22500.412	33750.754	40960	61440	0							
8	2148	1235500184	7168	i7											50978	61473	17	
8	2224	1236136756	256	i2|i59	4													
8	2232	1236203336	7168	i8														128
9	632	1242921017	7168	i8														26
9	658	1243137197	7168	i8														26
9	940	1245493030	256	i1|i2|i13	5													
9	1026	1246211189	7168	i2|i8	3													548
9	1060	1246496487	256	i4														
9	1070	1246578793	256	i4														
9	1090	1246745552	256	i4														
9	1124	1247032734	7168	i7											0	12288	0	
9	1124	1247032734	7168	i5			13500.137	6749.931	24576	12288	0							
9	1906	1253555491	256	i2	2													
9	2054	1254786443	7168	i2|i19|i25|i63	3													
9	2104	1255208546	7168	i5			18000.824	33750.754	32769	61440	0							
9	2154	1255625593	7168	i8														768
10	72	1258190029	256	i8|i39														465
10	140	1258757227	256	i8|i20														384
10	328	1260325228	256	i7|i33											21030	59567	4	
10	348	1260492596	256	i2|i33	2													
10	462	1261442603	256	i2|i7	2										21401	37925	10	
10	516	1261893808	7168	i4														
10	560	1262261669	7168	i6								14	0	0				
10	566	1262311391	7168	i6								16398	0	0				
10	652	1263028221	256	i7|i20											32770	43808	16	
10	674	1263216971	7168	i7											57345	45056	0	
10	674	1263216971	7168	i8														256
10	760	1263929568	7168	i7											8192	61440	0	
10	1078	1266582865	7168	i6								51101	45193	26				
10	1100	1266764827	7168	i4		1												
10	1110	1266848332	7168	i2	6													
10	1854	1273053764	7168	i2	5													
10	1916	1273571650	7168	i8|i52														512
10	1944	1273804958	7168	i7											18073	36849	16	
10	1980	1274105237	7168	i2	6													
10	2090	1275027276	256	i2|i11	6													
10	2184	1275810060	7168	i8|i20														640
11	10	1277674961	7168	i8														541
11	142	1278779430	7168	i6								8193	61440	0				
11	218	1279414049	7168	i7											24577	12288	0	
11	218	1279414049	7168	i7											32769	12288	0	
11	330	1280345327	7168	i6								51099	60921	1				
