short8	chunks	paquets	paquets_propres	records_aboutis	ti0	ti5	ti5_slots	ti5_top8	respawn	respawn_actif	i2_softkill	i3_tracking	i6_desired	i11_loadout	i12_resploc	i14_lives	i15_betrayer	i17_aiming	i18_active	i19_joining	i20_malleable
000d5950	27	30418	11384	54054	0	836	31	781	310	4	9	33	7	7	7	16	8	12	8	5	256
00162144	24	27447	12147	42264	0	964	23	934	301	5	11	33	6	6	3	8	3	4	7	4	379
01e1f945	29	33102	11647	55950	0	1076	22	1050	492	2	7	7	2	6	4	5	2	8	4	1	320
0215fe6b	36	41874	18908	65507	0	923	32	881	328	4	41	27	10	12	8	36	3	5	4	10	259
02784ce1	40	46312	18092	71103	0	1315	32	1246	288	1	11	0	10	9	2	34	1	3	2	8	641
06dfe6d9	45	25395	12236	25874	0	2089	25	907	753	11	58	37	3	1	2	1	0	1	6	1	865
0a247154	41	47854	16119	76801	1	1390	23	1320	789	1	5	5	23	6	6	3	7	3	22	4	13
10ed320d	33	37834	14921	66245	0	1311	25	1273	545	8	5	6	2	3	4	4	2	7	5	0	443
1e26f641	18	19470	7452	30539	0	534	16	516	239	12	2	0	1	2	1	1	0	1	5	1	178
24dbb67d	28	31834	11588	63581	0	835	27	745	441	3	28	21	10	12	17	24	23	27	11	23	21
44e14331	45	52277	20247	82974	0	1767	26	1681	683	3	12	31	4	4	3	4	11	7	14	7	629
530820e5	26	29148	9385	43739	0	1111	18	1096	472	3	6	7	2	5	5	6	4	3	3	3	400
53ce4390	40	45856	14368	81967	0	1313	29	1224	596	4	5	16	4	3	9	8	2	10	10	3	394
606d9844	14	14791	6593	23543	0	397	16	382	161	2	2	2	2	3	3	5	1	4	7	4	136
64e8adfa	44	50956	18693	89894	0	1657	25	1613	615	2	8	10	6	4	7	7	8	8	10	3	672
696a9d7c	30	34276	13501	53378	0	1335	23	1301	476	1	3	9	4	3	2	8	4	5	5	4	566
7344d24f	32	36350	13358	56654	0	1274	25	1245	591	1	9	12	4	10	3	4	3	5	4	3	352
7ff4271a	43	49120	26182	90844	0	1579	23	1536	645	8	6	9	6	4	3	5	6	6	6	3	577
8076f97f	20	21495	9084	34460	0	773	23	745	308	9	4	5	6	4	5	4	1	7	3	0	269
aaaf6c76	46	52502	21237	73837	0	1305	23	1249	618	9	28	29	4	5	7	5	4	4	7	4	325
eb665a8f	53	61141	25723	98582	0	2258	27	2203	923	7	5	9	6	1	5	6	9	11	11	7	819
eba1e63f	49	56659	21829	96016	0	1787	28	1734	843	11	17	28	6	7	9	12	7	9	9	7	512
