largeur_slot	classe	records	slots_peuples	records_par_slot	hors_grammaire_pct	plancher_bruit
11	ti=10	0	0	0.0	0.00	0.0
11	ti=12	438	2	219.0	55.25	9.0
11	ti=23	0	0	0.0	0.00	0.0
11	ti=11	0	0	0.0	0.00	0.0
11	ti=13	2933	8	366.6	43.74	52.0
11	ti=47	7225	8	903.1	93.33	79.5
11	ti=4	283	1	283.0	98.59	6.0
11	temoin_VIDE	0	0	0.0	0.00	0.0
11	temoin_INCONNU	13983	20	699.1	0.00	283.5
11	temoin_OCCUPE	33799	20	1690.0	0.00	609.5
12	ti=10	0	0	0.0	0.00	0.0
12	ti=12	603	3	201.0	57.21	13.0
12	ti=23	0	0	0.0	0.00	0.0
12	ti=11	0	0	0.0	0.00	0.0
12	ti=13	1268	8	158.5	50.55	20.5
12	ti=47	3916	8	489.5	98.01	30.5
12	ti=4	181	1	181.0	97.24	3.0
12	temoin_VIDE	0	0	0.0	0.00	0.0
12	temoin_INCONNU	8007	20	400.4	0.00	182.0
12	temoin_OCCUPE	44238	20	2211.9	0.00	1025.0
13	ti=10	0	0	0.0	0.00	0.0
13	ti=12	342	3	114.0	61.11	8.0
13	ti=23	0	0	0.0	0.00	0.0
13	ti=11	0	0	0.0	0.00	0.0
13	ti=13	652	8	81.5	59.66	11.0
13	ti=47	2410	8	301.2	85.23	13.5
13	ti=4	30682	1	30682.0	1.33	7.0
13	temoin_VIDE	7498	20	374.9	0.00	98.0
13	temoin_INCONNU	9707	20	485.4	0.00	218.5
13	temoin_OCCUPE	33093	20	1654.7	0.00	167.5
14	ti=10	0	0	0.0	0.00	0.0
14	ti=12	182	3	60.7	71.43	3.0
14	ti=23	0	0	0.0	0.00	0.0
14	ti=11	0	0	0.0	0.00	0.0
14	ti=13	239	8	29.9	56.90	4.0
14	ti=47	954	8	119.2	98.22	8.0
14	ti=4	69	1	69.0	97.10	1.0
14	temoin_VIDE	773	20	38.6	0.00	12.0
14	temoin_INCONNU	1969	20	98.5	0.00	41.5
14	temoin_OCCUPE	5081	20	254.1	0.00	67.0
15	ti=10	0	0	0.0	0.00	0.0
15	ti=12	84	3	28.0	67.86	1.0
15	ti=23	0	0	0.0	0.00	0.0
15	ti=11	0	0	0.0	0.00	0.0
15	ti=13	244	8	30.5	42.21	3.0
15	ti=47	538	8	67.2	97.77	4.0
15	ti=4	18	1	18.0	100.00	0.0
15	temoin_VIDE	398	20	19.9	0.00	5.0
15	temoin_INCONNU	1179	20	59.0	0.00	24.0
15	temoin_OCCUPE	1858	20	92.9	0.00	24.0
