ti	i	composant	niveau	statut	annonces	pct_records_ti	plancher_bruit	exces_sur_plancher	temoin_vide	temoin_inconnu	temoin_occupe
10	0	managed-object-boundary-visibility-component	0	porte	551	2.06	148.0	3.7	454	1435	158100
10	1	managed-object-boundary-color-component	1	non_porte	822	3.08	148.0	5.6	281	569	134758
10	2	managed-object-navpoint-component	2	non_porte	228	0.85	148.0	1.5	194	443	254
10	3	managed-object-navpoint-component	1	non_porte	153	0.57	148.0	1.0	121	405	239
10	4	managed-object-navpoint-component	1	non_porte	384	1.44	148.0	2.6	451	898	1881
10	5	managed-object-navpoint-component	1	non_porte	184	0.69	148.0	1.2	642	481	46843
10	6	managed-object-navpoint-component	1	non_porte	296	1.11	148.0	2.0	94	276	233
10	7	managed-object-navpoint-component	1	non_porte	136	0.51	148.0	0.9	102	443	129
10	8	managed-object-navpoint-component	1	non_porte	378	1.42	148.0	2.6	459	685	764
10	9	managed-object-navpoint-component	1	non_porte	145	0.54	148.0	1.0	266	570	1098
10	10	managed-object-navpoint-component	1	non_porte	212	0.79	148.0	1.4	250	442	297
10	11	managed-object-navpoint-component	1	non_porte	92	0.34	148.0	0.6	149	327	244
10	12	managed-object-navpoint-component	1	non_porte	131	0.49	148.0	0.9	214	417	185
10	13	managed-object-navpoint-component	1	non_porte	718	2.69	148.0	4.9	801	374	524
10	14	managed-object-navpoint-component	1	non_porte	104	0.39	148.0	0.7	93	273	191
10	15	managed-object-navpoint-component	1	non_porte	70	0.26	148.0	0.5	79	247	258
10	16	managed-object-navpoint-component	1	non_porte	252	0.94	148.0	1.7	1445	737	954
10	17	managed-object-navpoint-component	1	non_porte	2369	8.87	148.0	16.0	167	532	439
10	18	managed-object-networked-property-component	1	non_porte	218	0.82	148.0	1.5	394	318	340
10	19	managed-object-networked-property-component	1	non_porte	104	0.39	148.0	0.7	135	194	3468
10	20	managed-object-networked-property-component	1	non_porte	551	2.06	148.0	3.7	212	333	338
10	21	managed-object-networked-property-component	1	non_porte	721	2.70	148.0	4.9	175	271	80373
10	22	managed-object-interaction-filter-component	1	non_porte	129	0.48	148.0	0.9	97	118	332
10	23	managed-object-flags-component	2	non_porte	92	0.34	148.0	0.6	149	140	174
10	24	managed-object-looping-sound-component	1	non_porte	436	1.63	148.0	2.9	128	356	253
10	25	managed-object-looping-sound-component	1	non_porte	411	1.54	148.0	2.8	76	270	162100
10	26	managed-object-rtpc-component	1	non_porte	7344	27.50	148.0	49.6	192	322	436
10	27	managed-object-rtpc-component	1	non_porte	6317	23.65	148.0	42.7	165	379	286
10	28	managed-object-rtpc-component	1	non_porte	327	1.22	148.0	2.2	79	263	1570
10	29	managed-object-rtpc-component	1	non_porte	95	0.36	148.0	0.6	422	231	148
10	30	(hors grammaire)	-	hors_grammaire	87	0.33	148.0	0.6	801	204	2365
10	31	(hors grammaire)	-	hors_grammaire	205	0.77	148.0	1.4	65	249	321
10	32	(hors grammaire)	-	hors_grammaire	486	1.82	148.0	3.3	494	419	521
10	33	(hors grammaire)	-	hors_grammaire	98	0.37	148.0	0.7	144	562	991
10	34	(hors grammaire)	-	hors_grammaire	93	0.35	148.0	0.6	124	259	364
10	35	(hors grammaire)	-	hors_grammaire	76	0.28	148.0	0.5	68	281	188
10	36	(hors grammaire)	-	hors_grammaire	318	1.19	148.0	2.1	258	563	351
10	37	(hors grammaire)	-	hors_grammaire	82	0.31	148.0	0.6	168	414	268
10	38	(hors grammaire)	-	hors_grammaire	3107	11.63	148.0	21.0	113	481	575
10	39	(hors grammaire)	-	hors_grammaire	140	0.52	148.0	0.9	428	466	198
10	40	(hors grammaire)	-	hors_grammaire	156	0.58	148.0	1.1	168	559	397
10	41	(hors grammaire)	-	hors_grammaire	130	0.49	148.0	0.9	271	402	245
10	42	(hors grammaire)	-	hors_grammaire	137	0.51	148.0	0.9	140	365	652
10	43	(hors grammaire)	-	hors_grammaire	132	0.49	148.0	0.9	222	367	244
10	44	(hors grammaire)	-	hors_grammaire	89	0.33	148.0	0.6	129	318	255
10	45	(hors grammaire)	-	hors_grammaire	123	0.46	148.0	0.8	1378	204	419
10	46	(hors grammaire)	-	hors_grammaire	75	0.28	148.0	0.5	116	267	251
10	47	(hors grammaire)	-	hors_grammaire	151	0.57	148.0	1.0	614	333	381
10	48	(hors grammaire)	-	hors_grammaire	241	0.90	148.0	1.6	330	502	350
10	49	(hors grammaire)	-	hors_grammaire	60	0.22	148.0	0.4	76	276	226
10	50	(hors grammaire)	-	hors_grammaire	144	0.54	148.0	1.0	148	244	272
10	51	(hors grammaire)	-	hors_grammaire	45	0.17	148.0	0.3	68	241	221
10	52	(hors grammaire)	-	hors_grammaire	226	0.85	148.0	1.5	273	496	242
10	53	(hors grammaire)	-	hors_grammaire	143	0.54	148.0	1.0	228	559	513
10	54	(hors grammaire)	-	hors_grammaire	88	0.33	148.0	0.6	102	332	1182
10	55	(hors grammaire)	-	hors_grammaire	196	0.73	148.0	1.3	111	866	472
10	56	(hors grammaire)	-	hors_grammaire	95	0.36	148.0	0.6	90	602	349
10	57	(hors grammaire)	-	hors_grammaire	162	0.61	148.0	1.1	89	680	1584
10	58	(hors grammaire)	-	hors_grammaire	162	0.61	148.0	1.1	237	539	463
10	59	(hors grammaire)	-	hors_grammaire	111	0.42	148.0	0.8	180	589	1661
10	60	(hors grammaire)	-	hors_grammaire	182	0.68	148.0	1.2	156	2352	385
10	61	(hors grammaire)	-	hors_grammaire	75	0.28	148.0	0.5	530	354	203
10	62	(hors grammaire)	-	hors_grammaire	79	0.30	148.0	0.5	123	300	232
10	63	(hors grammaire)	-	hors_grammaire	61	0.23	148.0	0.4	183	233	143
12	0	managed-navpoint-sub-type-component	0	porte	150	1.70	25.0	6.0	454	1435	158100
12	1	managed-navpoint-flags-component	1	non_porte	84	0.95	25.0	3.4	281	569	134758
12	2	managed-navpoint-visibility-distance-filters-component	1	non_porte	35	0.40	25.0	1.4	194	443	254
12	3	managed-navpoint-visible-offscreen-filters-component	3	non_porte	53	0.60	25.0	2.1	121	405	239
12	4	managed-navpoint-can-be-occluded-filters-component	2	non_porte	58	0.66	25.0	2.3	451	898	1881
12	5	managed-navpoint-visibility-filter-component	2	non_porte	21	0.24	25.0	0.8	642	481	46843
12	6	managed-navpoint-docking-filter-component	2	non_porte	237	2.69	25.0	9.5	94	276	233
12	7	managed-navpoint-docking-order-component	2	non_porte	23	0.26	25.0	0.9	102	443	129
12	8	managed-navpoint-docking-group-name-component	1	non_porte	45	0.51	25.0	1.8	459	685	764
12	9	managed-navpoint-formatted-text-component	1	non_porte	47	0.53	25.0	1.9	266	570	1098
12	10	managed-navpoint-timers-component	1	non_porte	24	0.27	25.0	1.0	250	442	297
12	11	managed-navpoint-manual-timer-initial-duration-component	1	non_porte	40	0.45	25.0	1.6	149	327	244
12	12	managed-navpoint-manual-timer-current-duration-component	1	non_porte	78	0.89	25.0	3.1	214	417	185
12	13	managed-navpoint-top-progress	1	non_porte	22	0.25	25.0	0.9	801	374	524
12	14	managed-navpoint-radial-progress	1	non_porte	7233	82.09	25.0	289.3	93	273	191
