ti	archetype_present	composants	records_image_cle	slots_distincts	slots_bande	slots
10	true	30	459	57	57	1399,1401,1403,1405,1407,1478,1481,1510,1532,1536,1552,1565,1576,1608,1626,1628,1663,1680,1709,1722,1727,1751,1753,1803,1872,1873,1914,1941,1954,1956,1958,1982,2033,2079,2142,2173,2195,2210,2244,2265,2269,2271,2273,2275,2303,2321,2364,2399,2440,2442,2487,2508,2510,2512,2544,2578,2613
12	true	28	164	15	15	1398,1400,1402,1404,1406,1477,1484,1580,1609,1613,1660,1932,2235,2250,2410
23	true	33	0	0	0	
11	true	34	25	1	1	1469
13	true	34	530	20	20	1383,1384,1385,1386,1387,1388,1389,1390,1391,1392,1393,1394,1395,1396,1397,1470,1471,1472,1473,1474
47	true	3	216	9	9	1284,1286,1288,1290,1292,1294,1296,1298,2413
4	true	1	27	1	1	123
6	false	0	1344	48	0	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
17	false	0	924	33	0	84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116
5	false	0	896	32	0	52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
