ti	i	composant	niveau	statut	annonces	pct_records_ti	plancher_bruit	exces_sur_plancher	temoin_vide	temoin_inconnu	temoin_occupe
10	0	managed-object-boundary-visibility-component	0	porte	862	5.25	168.5	5.1	1238	3330	234791
10	1	managed-object-boundary-color-component	1	non_porte	1095	6.67	168.5	6.5	857	938	209112
10	2	managed-object-navpoint-component	2	non_porte	299	1.82	168.5	1.8	593	1001	602
10	3	managed-object-navpoint-component	1	non_porte	120	0.73	168.5	0.7	380	533	275
10	4	managed-object-navpoint-component	1	non_porte	347	2.11	168.5	2.1	1363	1847	2511
10	5	managed-object-navpoint-component	1	non_porte	281	1.71	168.5	1.7	1255	963	94044
10	6	managed-object-navpoint-component	1	non_porte	87	0.53	168.5	0.5	643	633	429
10	7	managed-object-navpoint-component	1	non_porte	174	1.06	168.5	1.0	744	1212	494
10	8	managed-object-navpoint-component	1	non_porte	169	1.03	168.5	1.0	878	956	507
10	9	managed-object-navpoint-component	1	non_porte	189	1.15	168.5	1.1	492	1006	865
10	10	managed-object-navpoint-component	1	non_porte	172	1.05	168.5	1.0	682	740	327
10	11	managed-object-navpoint-component	1	non_porte	112	0.68	168.5	0.7	200	374	1886
10	12	managed-object-navpoint-component	1	non_porte	85	0.52	168.5	0.5	473	511	348
10	13	managed-object-navpoint-component	1	non_porte	391	2.38	168.5	2.3	1038	545	447
10	14	managed-object-navpoint-component	1	non_porte	74	0.45	168.5	0.4	174	409	204
10	15	managed-object-navpoint-component	1	non_porte	102	0.62	168.5	0.6	261	322	369
10	16	managed-object-navpoint-component	1	non_porte	214	1.30	168.5	1.3	4175	972	485
10	17	managed-object-navpoint-component	1	non_porte	125	0.76	168.5	0.7	258	1150	423
10	18	managed-object-networked-property-component	1	non_porte	162	0.99	168.5	1.0	681	501	339
10	19	managed-object-networked-property-component	1	non_porte	93	0.57	168.5	0.6	142	374	203
10	20	managed-object-networked-property-component	1	non_porte	191	1.16	168.5	1.1	296	695	2018
10	21	managed-object-networked-property-component	1	non_porte	92	0.56	168.5	0.5	274	557	178677
10	22	managed-object-interaction-filter-component	1	non_porte	82	0.50	168.5	0.5	244	319	541
10	23	managed-object-flags-component	2	non_porte	74	0.45	168.5	0.4	85	388	160
10	24	managed-object-looping-sound-component	1	non_porte	483	2.94	168.5	2.9	126	510	221
10	25	managed-object-looping-sound-component	1	non_porte	485	2.96	168.5	2.9	252	505	236622
10	26	managed-object-rtpc-component	1	non_porte	6680	40.70	168.5	39.6	706	706	553
10	27	managed-object-rtpc-component	1	non_porte	1081	6.59	168.5	6.4	1418	917	782
10	28	managed-object-rtpc-component	1	non_porte	207	1.26	168.5	1.2	352	858	2586
10	29	managed-object-rtpc-component	1	non_porte	144	0.88	168.5	0.9	951	820	228
10	30	(hors grammaire)	-	hors_grammaire	92	0.56	168.5	0.5	261	724	2310
10	31	(hors grammaire)	-	hors_grammaire	239	1.46	168.5	1.4	238	539	523
10	32	(hors grammaire)	-	hors_grammaire	232	1.41	168.5	1.4	818	3150	468
10	33	(hors grammaire)	-	hors_grammaire	126	0.77	168.5	0.7	284	1569	518
10	34	(hors grammaire)	-	hors_grammaire	165	1.01	168.5	1.0	330	399	267
10	35	(hors grammaire)	-	hors_grammaire	251	1.53	168.5	1.5	201	346	387
10	36	(hors grammaire)	-	hors_grammaire	264	1.61	168.5	1.6	527	3035	321
10	37	(hors grammaire)	-	hors_grammaire	89	0.54	168.5	0.5	256	530	296
10	38	(hors grammaire)	-	hors_grammaire	107	0.65	168.5	0.6	336	370	524
10	39	(hors grammaire)	-	hors_grammaire	139	0.85	168.5	0.8	692	365	301
10	40	(hors grammaire)	-	hors_grammaire	193	1.18	168.5	1.1	302	832	450
10	41	(hors grammaire)	-	hors_grammaire	122	0.74	168.5	0.7	290	622	382
10	42	(hors grammaire)	-	hors_grammaire	117	0.71	168.5	0.7	528	525	443
10	43	(hors grammaire)	-	hors_grammaire	199	1.21	168.5	1.2	442	499	230
10	44	(hors grammaire)	-	hors_grammaire	73	0.44	168.5	0.4	244	458	373
10	45	(hors grammaire)	-	hors_grammaire	94	0.57	168.5	0.6	2186	573	310
10	46	(hors grammaire)	-	hors_grammaire	168	1.02	168.5	1.0	214	1111	233
10	47	(hors grammaire)	-	hors_grammaire	329	2.00	168.5	2.0	441	590	621
10	48	(hors grammaire)	-	hors_grammaire	194	1.18	168.5	1.2	948	954	406
10	49	(hors grammaire)	-	hors_grammaire	69	0.42	168.5	0.4	247	688	222
10	50	(hors grammaire)	-	hors_grammaire	110	0.67	168.5	0.7	254	499	274
10	51	(hors grammaire)	-	hors_grammaire	169	1.03	168.5	1.0	205	477	233
10	52	(hors grammaire)	-	hors_grammaire	224	1.36	168.5	1.3	315	914	369
10	53	(hors grammaire)	-	hors_grammaire	144	0.88	168.5	0.9	219	1021	528
10	54	(hors grammaire)	-	hors_grammaire	98	0.60	168.5	0.6	282	600	3323
10	55	(hors grammaire)	-	hors_grammaire	322	1.96	168.5	1.9	1601	1898	1076
10	56	(hors grammaire)	-	hors_grammaire	149	0.91	168.5	0.9	281	1172	551
10	57	(hors grammaire)	-	hors_grammaire	214	1.30	168.5	1.3	1055	1456	2644
10	58	(hors grammaire)	-	hors_grammaire	411	2.50	168.5	2.4	1018	1177	929
10	59	(hors grammaire)	-	hors_grammaire	400	2.44	168.5	2.4	1905	1283	2948
10	60	(hors grammaire)	-	hors_grammaire	361	2.20	168.5	2.1	1652	4111	842
10	61	(hors grammaire)	-	hors_grammaire	147	0.90	168.5	0.9	1368	962	400
10	62	(hors grammaire)	-	hors_grammaire	148	0.90	168.5	0.9	375	829	334
