bande	i	composant	tag	chunk	paquet	bit_charge	slot	gen	bits_bruts_hex	pay_bits	payload
reelle	1	managed-object-property-component	0	7	1924	33	1553	1	0E2D59B889A8592C	0	0	[non chaine]
reelle	1	managed-object-property-component	0	7	2176	33	1557	1	002D59B889A8592C	0	0	[non chaine]
reelle	1	managed-object-property-component	0	36	1512	1889	1566	2	00DFBE0407418C10	0	0	[non chaine]
reelle	1	managed-object-property-component	1	19	1502	620	1555	2	139B2C806DBA2464	4	3	[non chaine]
reelle	1	managed-object-property-component	1	19	1712	626	1555	2	12A6000E50D973F6	4	2	[CHAINE]
reelle	1	managed-object-property-component	2	34	2334	2056	1624	0	2734434020C1C257	1	0	[non chaine]
reelle	1	managed-object-property-component	3	15	808	1037	1558	1	37E80105D7DF041B	24	8290320	[non chaine]
reelle	1	managed-object-property-component	4	3	238	2605	1623	1	40000000099750B5	32	0	[CHAINE]
reelle	1	managed-object-property-component	4	3	280	4503	1623	1	4FFFFFFFF998918C	32	4294967295	[CHAINE]
reelle	1	managed-object-property-component	4	3	988	1639	1623	1	400000001998918C	32	1	[CHAINE]
reelle	1	managed-object-property-component	5	11	132	1156	1622	1	578F81557995D082	32	2029524311	[CHAINE]
reelle	1	managed-object-property-component	5	13	1416	2339	1622	1	58727C0FF995D082	32	2267529471	[CHAINE]
reelle	1	managed-object-property-component	5	20	554	1726	1622	1	528B76E9D995D082	32	683110045	[CHAINE]
reelle	1	managed-object-property-component	8	16	1610	345	1566	1	800350222D065DE4	0	0	[non chaine]
reelle	1	managed-object-property-component	9	2	1960	851	1558	2	9D7A3C7D8FDA2054	0	0	[non chaine]
reelle	1	managed-object-property-component	9	4	1282	1067	1567	0	920723001083C347	0	0	[non chaine]
reelle	1	managed-object-property-component	9	6	542	1516	1559	3	96E751DA62205BF5	0	0	[non chaine]
reelle	1	managed-object-property-component	14	26	700	149	1561	2	ED058004E40F6840	0	0	[non chaine]
reelle	3	player-masked-property (i3)	0	7	2018	207	1553	1	0E2D59B889A8592C	0	0	[non chaine]
reelle	3	player-masked-property (i3)	0	7	2268	33	1557	1	002D59B889A8592C	0	0	[non chaine]
reelle	3	player-masked-property (i3)	0	8	1484	33	1563	1	062D59B889A8592C	0	0	[non chaine]
reelle	3	player-masked-property (i3)	1	32	1730	799	1566	2	113EA400115903BE	0	0	[non chaine]
reelle	3	player-masked-property (i3)	1	37	1090	742	1559	3	1F3C1175C9BA2934	0	0	[non chaine]
