ti	i	composant	niveau	statut	annonces	pct_records_ti	plancher_bruit	exces_sur_plancher	temoin_vide	temoin_inconnu	temoin_occupe
10	0	managed-object-boundary-visibility-component	0	porte	954	10.91	76.5	12.5	856	2571	160090
10	1	managed-object-boundary-color-component	1	non_porte	468	5.35	76.5	6.1	338	786	139859
10	2	managed-object-navpoint-component	2	non_porte	91	1.04	76.5	1.2	324	855	2763
10	3	managed-object-navpoint-component	1	non_porte	71	0.81	76.5	0.9	164	959	199
10	4	managed-object-navpoint-component	1	non_porte	485	5.54	76.5	6.3	830	1546	1365
10	5	managed-object-navpoint-component	1	non_porte	135	1.54	76.5	1.8	267	1084	52810
10	6	managed-object-navpoint-component	1	non_porte	130	1.49	76.5	1.7	300	713	274
10	7	managed-object-navpoint-component	1	non_porte	324	3.70	76.5	4.2	332	1193	245
10	8	managed-object-navpoint-component	1	non_porte	133	1.52	76.5	1.7	1252	1235	1010
10	9	managed-object-navpoint-component	1	non_porte	76	0.87	76.5	1.0	946	938	774
10	10	managed-object-navpoint-component	1	non_porte	159	1.82	76.5	2.1	688	1012	979
10	11	managed-object-navpoint-component	1	non_porte	63	0.72	76.5	0.8	180	657	621
10	12	managed-object-navpoint-component	1	non_porte	52	0.59	76.5	0.7	184	817	222
10	13	managed-object-navpoint-component	1	non_porte	59	0.67	76.5	0.8	2879	726	200
10	14	managed-object-navpoint-component	1	non_porte	95	1.09	76.5	1.2	225	734	253
10	15	managed-object-navpoint-component	1	non_porte	43	0.49	76.5	0.6	119	607	324
10	16	managed-object-navpoint-component	1	non_porte	152	1.74	76.5	2.0	409	1156	764
10	17	managed-object-navpoint-component	1	non_porte	85	0.97	76.5	1.1	343	1257	462
10	18	managed-object-networked-property-component	1	non_porte	86	0.98	76.5	1.1	332	1014	427
10	19	managed-object-networked-property-component	1	non_porte	66	0.75	76.5	0.9	216	985	183
10	20	managed-object-networked-property-component	1	non_porte	170	1.94	76.5	2.2	380	1198	751
10	21	managed-object-networked-property-component	1	non_porte	40	0.46	76.5	0.5	229	677	91747
10	22	managed-object-interaction-filter-component	1	non_porte	50	0.57	76.5	0.7	538	632	367
10	23	managed-object-flags-component	2	non_porte	49	0.56	76.5	0.6	181	929	177
10	24	managed-object-looping-sound-component	1	non_porte	288	3.29	76.5	3.8	245	879	288
10	25	managed-object-looping-sound-component	1	non_porte	139	1.59	76.5	1.8	219	506	162092
10	26	managed-object-rtpc-component	1	non_porte	3908	44.67	76.5	51.1	503	757	408
10	27	managed-object-rtpc-component	1	non_porte	92	1.05	76.5	1.2	251	633	284
10	28	managed-object-rtpc-component	1	non_porte	39	0.45	76.5	0.5	188	781	1247
10	29	managed-object-rtpc-component	1	non_porte	42	0.48	76.5	0.5	771	544	220
10	30	(hors grammaire)	-	hors_grammaire	64	0.73	76.5	0.8	198	471	1053
10	31	(hors grammaire)	-	hors_grammaire	35	0.40	76.5	0.5	299	464	436
10	32	(hors grammaire)	-	hors_grammaire	252	2.88	76.5	3.3	514	902	783
10	33	(hors grammaire)	-	hors_grammaire	56	0.64	76.5	0.7	280	515	1218
10	34	(hors grammaire)	-	hors_grammaire	42	0.48	76.5	0.5	306	469	414
10	35	(hors grammaire)	-	hors_grammaire	53	0.61	76.5	0.7	160	488	758
10	36	(hors grammaire)	-	hors_grammaire	162	1.85	76.5	2.1	291	796	458
10	37	(hors grammaire)	-	hors_grammaire	65	0.74	76.5	0.8	267	606	187
10	38	(hors grammaire)	-	hors_grammaire	57	0.65	76.5	0.7	528	675	240
10	39	(hors grammaire)	-	hors_grammaire	53	0.61	76.5	0.7	230	883	281
10	40	(hors grammaire)	-	hors_grammaire	75	0.86	76.5	1.0	277	1110	309
10	41	(hors grammaire)	-	hors_grammaire	63	0.72	76.5	0.8	250	777	304
10	42	(hors grammaire)	-	hors_grammaire	60	0.69	76.5	0.8	368	1322	476
10	43	(hors grammaire)	-	hors_grammaire	77	0.88	76.5	1.0	350	618	274
10	44	(hors grammaire)	-	hors_grammaire	53	0.61	76.5	0.7	260	792	338
10	45	(hors grammaire)	-	hors_grammaire	46	0.53	76.5	0.6	959	583	446
10	46	(hors grammaire)	-	hors_grammaire	30	0.34	76.5	0.4	142	560	172
10	47	(hors grammaire)	-	hors_grammaire	225	2.57	76.5	2.9	364	775	443
10	48	(hors grammaire)	-	hors_grammaire	120	1.37	76.5	1.6	294	1208	382
10	49	(hors grammaire)	-	hors_grammaire	61	0.70	76.5	0.8	125	557	254
10	50	(hors grammaire)	-	hors_grammaire	60	0.69	76.5	0.8	229	584	184
10	51	(hors grammaire)	-	hors_grammaire	100	1.14	76.5	1.3	166	421	187
10	52	(hors grammaire)	-	hors_grammaire	123	1.41	76.5	1.6	302	1033	303
10	53	(hors grammaire)	-	hors_grammaire	89	1.02	76.5	1.2	210	716	354
10	54	(hors grammaire)	-	hors_grammaire	30	0.34	76.5	0.4	214	527	4205
10	55	(hors grammaire)	-	hors_grammaire	148	1.69	76.5	1.9	346	1769	430
10	56	(hors grammaire)	-	hors_grammaire	75	0.86	76.5	1.0	228	1218	394
10	57	(hors grammaire)	-	hors_grammaire	104	1.19	76.5	1.4	228	786	1227
10	58	(hors grammaire)	-	hors_grammaire	61	0.70	76.5	0.8	335	624	244
10	59	(hors grammaire)	-	hors_grammaire	120	1.37	76.5	1.6	239	686	1190
10	60	(hors grammaire)	-	hors_grammaire	193	2.21	76.5	2.5	222	2745	530
10	61	(hors grammaire)	-	hors_grammaire	85	0.97	76.5	1.1	707	657	185
10	62	(hors grammaire)	-	hors_grammaire	82	0.94	76.5	1.1	99	606	195
10	63	(hors grammaire)	-	hors_grammaire	54	0.62	76.5	0.7	183	650	185
12	0	managed-navpoint-sub-type-component	0	porte	135	8.98	23.5	5.7	856	2571	160090
12	1	managed-navpoint-flags-component	1	non_porte	76	5.06	23.5	3.2	338	786	139859
12	2	managed-navpoint-visibility-distance-filters-component	1	non_porte	24	1.60	23.5	1.0	324	855	2763
12	3	managed-navpoint-visible-offscreen-filters-component	3	non_porte	39	2.59	23.5	1.7	164	959	199
12	4	managed-navpoint-can-be-occluded-filters-component	2	non_porte	53	3.53	23.5	2.3	830	1546	1365
12	5	managed-navpoint-visibility-filter-component	2	non_porte	99	6.59	23.5	4.2	267	1084	52810
12	6	managed-navpoint-docking-filter-component	2	non_porte	36	2.40	23.5	1.5	300	713	274
12	7	managed-navpoint-docking-order-component	2	non_porte	21	1.40	23.5	0.9	332	1193	245
12	8	managed-navpoint-docking-group-name-component	1	non_porte	32	2.13	23.5	1.4	1252	1235	1010
12	9	managed-navpoint-formatted-text-component	1	non_porte	24	1.60	23.5	1.0	946	938	774
