ti	archetype_present	composants	records_image_cle	slots_distincts	slots_bande	slots
10	true	30	288	48	48	1413,1415,1482,1484,1485,1496,1504,1505,1522,1527,1538,1560,1566,1593,1607,1640,1657,1664,1671,1690,1697,1746,1763,1815,1844,1932,1934,2000,2001,2006,2021,2029,2045,2049,2052,2083,2092,2100,2101,2102,2127,2137,2173,2198,2224,2267,2298,2338
12	true	28	141	17	17	1412,1414,1469,1470,1481,1537,1931,1933,1987,1988,1999,2098,2183,2229,2230,2270,2339
23	true	33	0	0	0	
11	true	34	115	10	10	1471,1477,1478,1479,1480,1989,1995,1996,1997,1998
13	true	34	398	24	24	1404,1405,1406,1407,1408,1409,1410,1411,1416,1417,1418,1472,1473,1474,1475,1476,1935,1936,1937,1990,1991,1992,1993,1994
47	true	3	208	8	8	1326,1328,1330,1332,1334,1336,1338,1340
4	true	1	26	2	2	123,124
38	false	0	1454	112	0	1286,1287,1288,1289,1290,1291,1292,1293,1294,1295,1296,1297,1298,1299,1300,1301,1302,1303,1304,1305,1306,1307,1308,1309,1310,1311,1312,1313,1314,1315,1316,1317,1318,1319,1320,1321,1322,1323,1324,1374,1375,1376,1377,1378,1380,1381,1382,1383,1384,1385,1386,1388,1390,1392,1401,1486,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1907,1908,1909,1910,1911,1912,1913,1915,1917,1919,1928,2004
6	false	0	1295	48	0	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
17	false	0	891	33	0	84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116
