ti	i	composant	niveau	statut	annonces	pct_records_ti	plancher_bruit	exces_sur_plancher	temoin_vide	temoin_inconnu	temoin_occupe
10	0	managed-object-boundary-visibility-component	0	porte	711	5.03	150.0	4.7	654	1150	141370
10	1	managed-object-boundary-color-component	1	non_porte	404	2.86	150.0	2.7	322	572	115464
10	2	managed-object-navpoint-component	2	non_porte	459	3.24	150.0	3.1	330	456	1094
10	3	managed-object-navpoint-component	1	non_porte	369	2.61	150.0	2.5	149	426	354
10	4	managed-object-navpoint-component	1	non_porte	407	2.88	150.0	2.7	565	683	1707
10	5	managed-object-navpoint-component	1	non_porte	150	1.06	150.0	1.0	179	417	41773
10	6	managed-object-navpoint-component	1	non_porte	123	0.87	150.0	0.8	460	214	353
10	7	managed-object-navpoint-component	1	non_porte	1655	11.70	150.0	11.0	126	377	265
10	8	managed-object-navpoint-component	1	non_porte	239	1.69	150.0	1.6	466	890	887
10	9	managed-object-navpoint-component	1	non_porte	124	0.88	150.0	0.8	144	580	720
10	10	managed-object-navpoint-component	1	non_porte	161	1.14	150.0	1.1	227	411	458
10	11	managed-object-navpoint-component	1	non_porte	115	0.81	150.0	0.8	194	278	229
10	12	managed-object-navpoint-component	1	non_porte	121	0.86	150.0	0.8	131	381	199
10	13	managed-object-navpoint-component	1	non_porte	186	1.31	150.0	1.2	1574	349	441
10	14	managed-object-navpoint-component	1	non_porte	1469	10.38	150.0	9.8	113	199	372
10	15	managed-object-navpoint-component	1	non_porte	146	1.03	150.0	1.0	70	224	279
10	16	managed-object-navpoint-component	1	non_porte	187	1.32	150.0	1.2	310	611	795
10	17	managed-object-navpoint-component	1	non_porte	123	0.87	150.0	0.8	274	554	430
10	18	managed-object-networked-property-component	1	non_porte	182	1.29	150.0	1.2	232	312	6056
10	19	managed-object-networked-property-component	1	non_porte	153	1.08	150.0	1.0	245	206	269
10	20	managed-object-networked-property-component	1	non_porte	297	2.10	150.0	2.0	284	479	676
10	21	managed-object-networked-property-component	1	non_porte	139	0.98	150.0	0.9	217	299	76225
10	22	managed-object-interaction-filter-component	1	non_porte	740	5.23	150.0	4.9	267	141	330
10	23	managed-object-flags-component	2	non_porte	598	4.23	150.0	4.0	128	244	351
10	24	managed-object-looping-sound-component	1	non_porte	509	3.60	150.0	3.4	187	319	312
10	25	managed-object-looping-sound-component	1	non_porte	182	1.29	150.0	1.2	139	345	144240
10	26	managed-object-rtpc-component	1	non_porte	6216	43.93	150.0	41.4	329	398	586
10	27	managed-object-rtpc-component	1	non_porte	825	5.83	150.0	5.5	621	382	454
10	28	managed-object-rtpc-component	1	non_porte	263	1.86	150.0	1.8	86	311	1267
10	29	managed-object-rtpc-component	1	non_porte	134	0.95	150.0	0.9	3474	331	178
10	30	(hors grammaire)	-	hors_grammaire	84	0.59	150.0	0.6	124	268	1243
10	31	(hors grammaire)	-	hors_grammaire	79	0.56	150.0	0.5	115	326	324
10	32	(hors grammaire)	-	hors_grammaire	134	0.95	150.0	0.9	472	504	459
10	33	(hors grammaire)	-	hors_grammaire	95	0.67	150.0	0.6	141	468	1272
10	34	(hors grammaire)	-	hors_grammaire	146	1.03	150.0	1.0	250	362	482
10	35	(hors grammaire)	-	hors_grammaire	108	0.76	150.0	0.7	178	201	247
10	36	(hors grammaire)	-	hors_grammaire	348	2.46	150.0	2.3	340	403	387
10	37	(hors grammaire)	-	hors_grammaire	533	3.77	150.0	3.6	219	364	186
10	38	(hors grammaire)	-	hors_grammaire	102	0.72	150.0	0.7	210	265	191
10	39	(hors grammaire)	-	hors_grammaire	91	0.64	150.0	0.6	174	358	173
10	40	(hors grammaire)	-	hors_grammaire	113	0.80	150.0	0.8	274	692	300
10	41	(hors grammaire)	-	hors_grammaire	88	0.62	150.0	0.6	141	645	320
10	42	(hors grammaire)	-	hors_grammaire	162	1.14	150.0	1.1	184	278	574
10	43	(hors grammaire)	-	hors_grammaire	142	1.00	150.0	0.9	347	504	690
10	44	(hors grammaire)	-	hors_grammaire	67	0.47	150.0	0.4	162	272	210
10	45	(hors grammaire)	-	hors_grammaire	150	1.06	150.0	1.0	1622	243	255
10	46	(hors grammaire)	-	hors_grammaire	97	0.69	150.0	0.6	134	215	185
10	47	(hors grammaire)	-	hors_grammaire	347	2.45	150.0	2.3	832	312	338
10	48	(hors grammaire)	-	hors_grammaire	106	0.75	150.0	0.7	268	420	323
10	49	(hors grammaire)	-	hors_grammaire	75	0.53	150.0	0.5	152	347	341
10	50	(hors grammaire)	-	hors_grammaire	89	0.63	150.0	0.6	188	221	205
10	51	(hors grammaire)	-	hors_grammaire	99	0.70	150.0	0.7	145	198	159
10	52	(hors grammaire)	-	hors_grammaire	312	2.21	150.0	2.1	264	324	292
10	53	(hors grammaire)	-	hors_grammaire	125	0.88	150.0	0.8	279	460	421
10	54	(hors grammaire)	-	hors_grammaire	79	0.56	150.0	0.5	212	237	1849
10	55	(hors grammaire)	-	hors_grammaire	268	1.89	150.0	1.8	402	786	1022
10	56	(hors grammaire)	-	hors_grammaire	95	0.67	150.0	0.6	203	453	377
10	57	(hors grammaire)	-	hors_grammaire	199	1.41	150.0	1.3	174	741	1915
10	58	(hors grammaire)	-	hors_grammaire	238	1.68	150.0	1.6	422	441	531
10	59	(hors grammaire)	-	hors_grammaire	321	2.27	150.0	2.1	494	404	1608
10	60	(hors grammaire)	-	hors_grammaire	318	2.25	150.0	2.1	264	2452	1019
10	61	(hors grammaire)	-	hors_grammaire	62	0.44	150.0	0.4	897	312	227
10	62	(hors grammaire)	-	hors_grammaire	131	0.93	150.0	0.9	133	304	286
10	63	(hors grammaire)	-	hors_grammaire	70	0.49	150.0	0.5	215	272	158
12	0	managed-navpoint-sub-type-component	0	porte	249	6.07	45.0	5.5	654	1150	141370
12	1	managed-navpoint-flags-component	1	non_porte	148	3.61	45.0	3.3	322	572	115464
12	2	managed-navpoint-visibility-distance-filters-component	1	non_porte	90	2.20	45.0	2.0	330	456	1094
12	3	managed-navpoint-visible-offscreen-filters-component	3	non_porte	154	3.76	45.0	3.4	149	426	354
12	4	managed-navpoint-can-be-occluded-filters-component	2	non_porte	195	4.76	45.0	4.3	565	683	1707
12	5	managed-navpoint-visibility-filter-component	2	non_porte	226	5.51	45.0	5.0	179	417	41773
12	6	managed-navpoint-docking-filter-component	2	non_porte	158	3.85	45.0	3.5	460	214	353
12	7	managed-navpoint-docking-order-component	2	non_porte	40	0.98	45.0	0.9	126	377	265
12	8	managed-navpoint-docking-group-name-component	1	non_porte	90	2.20	45.0	2.0	466	890	887
12	9	managed-navpoint-formatted-text-component	1	non_porte	46	1.12	45.0	1.0	144	580	720
12	10	managed-navpoint-timers-component	1	non_porte	71	1.73	45.0	1.6	227	411	458
12	11	managed-navpoint-manual-timer-initial-duration-component	1	non_porte	25	0.61	45.0	0.6	194	278	229
12	12	managed-navpoint-manual-timer-current-duration-component	1	non_porte	29	0.71	45.0	0.6	131	381	199
12	13	managed-navpoint-top-progress	1	non_porte	45	1.10	45.0	1.0	1574	349	441
12	14	managed-navpoint-radial-progress	1	non_porte	1367	33.34	45.0	30.4	113	199	372
12	15	managed-navpoint-bottom-progress	1	non_porte	32	0.78	45.0	0.7	70	224	279
12	16	managed-navpoint-override-flags	1	non_porte	105	2.56	45.0	2.3	310	611	795
12	17	managed-navpoint-object-marker	1	non_porte	45	1.10	45.0	1.0	274	554	430
12	18	managed-navpoint-position-offset	1	non_porte	138	3.37	45.0	3.1	232	312	6056
12	19	managed-navpoint-visual-states-component	1	non_porte	43	1.05	45.0	1.0	245	206	269
12	20	managed-navpoint-visual-state-groups-component-0	2	non_porte	87	2.12	45.0	1.9	284	479	676
12	21	managed-navpoint-visual-state-groups-component-1	1	non_porte	210	5.12	45.0	4.7	217	299	76225
12	22	managed-navpoint-visual-state-groups-component-2	1	non_porte	286	6.98	45.0	6.4	267	141	330
12	23	managed-navpoint-visual-state-groups-component-3	1	non_porte	61	1.49	45.0	1.4	128	244	351
12	24	managed-navpoint-visual-state-groups-component-4	1	non_porte	33	0.80	45.0	0.7	187	319	312
12	25	managed-navpoint-visual-state-groups-component-5	1	non_porte	18	0.44	45.0	0.4	139	345	144240
12	26	managed-navpoint-visual-state-groups-component-6	1	non_porte	62	1.51	45.0	1.4	329	398	586
12	27	managed-navpoint-visual-state-groups-component-7	1	non_porte	48	1.17	45.0	1.1	621	382	454
12	28	(hors grammaire)	-	hors_grammaire	25	0.61	45.0	0.6	86	311	1267
12	29	(hors grammaire)	-	hors_grammaire	33	0.80	45.0	0.7	3474	331	178
12	30	(hors grammaire)	-	hors_grammaire	27	0.66	45.0	0.6	124	268	1243
12	31	(hors grammaire)	-	hors_grammaire	47	1.15	45.0	1.0	115	326	324
12	32	(hors grammaire)	-	hors_grammaire	70	1.71	45.0	1.6	472	504	459
12	33	(hors grammaire)	-	hors_grammaire	37	0.90	45.0	0.8	141	468	1272
