ti	i	composant	statut	annonces_fenetre	annonces_hors	secondes_fenetre	secondes_hors	densite_fenetre	densite_hors	rapport	rapport_serre_1s
10	0	managed-object-boundary-visibility-component	porte	333	378	215.7	271.1	1.544	1.394	1.11x	1.68x
10	1	managed-object-boundary-color-component	non_porte	106	298	215.7	271.1	0.491	1.099	0.45x	0.70x
10	2	managed-object-navpoint-component	non_porte	254	205	215.7	271.1	1.178	0.756	1.56x	2.01x
10	3	managed-object-navpoint-component	non_porte	135	234	215.7	271.1	0.626	0.863	0.73x	0.99x
10	4	managed-object-navpoint-component	non_porte	123	284	215.7	271.1	0.570	1.048	0.54x	0.80x
10	5	managed-object-navpoint-component	non_porte	87	63	215.7	271.1	0.403	0.232	1.74x	1.95x
10	6	managed-object-navpoint-component	non_porte	54	69	215.7	271.1	0.250	0.255	0.98x	1.22x
10	7	managed-object-navpoint-component	non_porte	262	1393	215.7	271.1	1.215	5.138	0.24x	0.24x
10	8	managed-object-navpoint-component	non_porte	92	147	215.7	271.1	0.427	0.542	0.79x	1.04x
10	9	managed-object-navpoint-component	non_porte	56	68	215.7	271.1	0.260	0.251	1.04x	1.21x
10	10	managed-object-navpoint-component	non_porte	68	93	215.7	271.1	0.315	0.343	0.92x	1.24x
10	11	managed-object-navpoint-component	non_porte	41	74	215.7	271.1	0.190	0.273	0.70x	0.58x
10	12	managed-object-navpoint-component	non_porte	65	56	215.7	271.1	0.301	0.207	1.46x	1.08x
10	13	managed-object-navpoint-component	non_porte	82	104	215.7	271.1	0.380	0.384	0.99x	1.07x
10	14	managed-object-navpoint-component	non_porte	120	1349	215.7	271.1	0.556	4.976	0.11x	0.03x
10	15	managed-object-navpoint-component	non_porte	26	120	215.7	271.1	0.121	0.443	0.27x	0.37x
10	16	managed-object-navpoint-component	non_porte	101	86	215.7	271.1	0.468	0.317	1.48x	0.96x
10	17	managed-object-navpoint-component	non_porte	89	34	215.7	271.1	0.413	0.125	3.29x	1.52x
10	18	managed-object-networked-property-component	non_porte	92	90	215.7	271.1	0.427	0.332	1.28x	1.06x
10	19	managed-object-networked-property-component	non_porte	63	90	215.7	271.1	0.292	0.332	0.88x	1.19x
10	20	managed-object-networked-property-component	non_porte	126	171	215.7	271.1	0.584	0.631	0.93x	0.63x
10	21	managed-object-networked-property-component	non_porte	81	58	215.7	271.1	0.376	0.214	1.76x	0.95x
10	22	managed-object-interaction-filter-component	non_porte	72	668	215.7	271.1	0.334	2.464	0.14x	0.22x
10	23	managed-object-flags-component	non_porte	75	523	215.7	271.1	0.348	1.929	0.18x	0.25x
10	24	managed-object-looping-sound-component	non_porte	218	291	215.7	271.1	1.011	1.073	0.94x	0.64x
10	25	managed-object-looping-sound-component	non_porte	90	92	215.7	271.1	0.417	0.339	1.23x	1.40x
10	26	managed-object-rtpc-component	non_porte	2963	3253	215.7	271.1	13.737	11.999	1.14x	1.05x
10	27	managed-object-rtpc-component	non_porte	154	671	215.7	271.1	0.714	2.475	0.29x	0.47x
