ti	archetype_present	composants	records_image_cle	slots_distincts	slots_bande	slots
10	true	30	414	77	77	1385,1387,1389,1391,1394,1396,1398,1418,1420,1496,1520,1533,1603,1622,1623,1624,1629,1630,1631,1642,1648,1656,1694,1711,1768,1769,1770,1786,1795,1797,1803,1824,1840,1847,1848,1849,1854,1895,1916,1965,1967,1969,1993,2013,2014,2015,2031,2060,2146,2147,2148,2151,2174,2187,2189,2191,2193,2211,2212,2241,2246,2248,2310,2315,2381,2385,2414,2415,2416,2441,2442,2443,2475,2506,2532,2551,2553
12	true	28	266	19	19	1384,1386,1388,1390,1393,1395,1397,1411,1412,1413,1414,1495,1620,1621,1703,1800,1975,2058,2149
23	true	33	0	0	0	
11	true	34	115	5	5	1383,1399,1400,1415,1416
13	true	34	445	19	19	1375,1376,1377,1378,1379,1380,1381,1382,1392,1401,1402,1403,1404,1405,1406,1407,1408,1409,1410
47	true	3	192	8	8	1284,1286,1288,1290,1292,1294,1296,1298
4	true	1	24	1	1	123
6	false	0	1200	48	0	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
17	false	0	825	33	0	84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116
5	false	0	800	32	0	52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
