largeur_slot	classe	records	slots_peuples	records_par_slot	hors_grammaire_pct	plancher_bruit
11	ti=10	35070	47	746.2	49.79	393.5
11	ti=12	7332	17	431.3	59.93	155.0
11	ti=23	0	0	0.0	0.00	0.0
11	ti=11	1851	5	370.2	58.89	37.0
11	ti=13	8388	19	441.5	53.24	149.5
11	ti=47	10325	8	1290.6	94.98	148.0
11	ti=4	1272	1	1272.0	99.69	5.0
11	temoin_VIDE	0	0	0.0	0.00	0.0
11	temoin_INCONNU	94147	129	729.8	0.00	1414.5
11	temoin_OCCUPE	78118	129	605.6	0.00	1339.5
12	ti=10	38772	77	503.5	60.09	442.5
12	ti=12	6082	19	320.1	52.53	117.5
12	ti=23	0	0	0.0	0.00	0.0
12	ti=11	928	5	185.6	48.71	19.0
12	ti=13	4002	19	210.6	56.02	69.0
12	ti=47	3347	8	418.4	96.18	40.0
12	ti=4	110	1	110.0	98.18	2.0
12	temoin_VIDE	0	0	0.0	0.00	0.0
12	temoin_INCONNU	29764	129	230.7	0.00	640.5
12	temoin_OCCUPE	95398	129	739.5	0.00	1626.0
13	ti=10	14149	77	183.8	30.84	150.0
13	ti=12	4100	19	215.8	34.22	45.0
13	ti=23	0	0	0.0	0.00	0.0
13	ti=11	677	5	135.4	39.44	9.0
13	ti=13	2855	19	150.3	39.05	34.5
13	ti=47	6967	8	870.9	21.96	18.0
13	ti=4	28647	1	28647.0	0.21	1.0
13	temoin_VIDE	18800	129	145.7	0.00	223.0
13	temoin_INCONNU	18086	129	140.2	0.00	360.0
13	temoin_OCCUPE	168502	129	1306.2	0.00	382.0
14	ti=10	2706	77	35.1	65.26	59.0
14	ti=12	879	19	46.3	62.57	18.5
14	ti=23	0	0	0.0	0.00	0.0
14	ti=11	136	5	27.2	63.24	2.0
14	ti=13	782	19	41.2	61.64	14.5
14	ti=47	1438	8	179.8	91.93	17.0
14	ti=4	21	1	21.0	100.00	0.0
14	temoin_VIDE	56919	129	441.2	0.00	138.5
14	temoin_INCONNU	38064	129	295.1	0.00	659.0
14	temoin_OCCUPE	15951	129	123.7	0.00	250.0
15	ti=10	1452	77	18.9	56.34	29.0
15	ti=12	644	19	33.9	60.87	9.5
15	ti=23	0	0	0.0	0.00	0.0
15	ti=11	98	5	19.6	58.16	1.5
15	ti=13	547	19	28.8	48.08	10.0
15	ti=47	477	8	59.6	97.90	4.0
15	ti=4	15	1	15.0	100.00	0.0
15	temoin_VIDE	2940	129	22.8	0.00	70.0
15	temoin_INCONNU	6116	129	47.4	0.00	125.0
15	temoin_OCCUPE	8144	129	63.1	0.00	151.0
