bande	i	composant	tag	chunk	paquet	bit_charge	slot	gen	bits_bruts_hex	pay_bits	payload
reelle	1	managed-object-property-component	0	6	1030	1362	1409	2	09513442A9000556	0	0	[non chaine]
reelle	1	managed-object-property-component	0	6	1032	891	1377	2	07914442A9000556	0	0	[non chaine]
reelle	1	managed-object-property-component	0	23	390	377	1379	3	0AD7244A49400455	0	0	[non chaine]
reelle	1	managed-object-property-component	1	3	1996	297	1377	1	199E944049400455	4	9	[non chaine]
reelle	1	managed-object-property-component	1	4	980	1499	1404	3	10008D6D54BFABA2	4	0	[non chaine]
reelle	1	managed-object-property-component	1	6	1012	965	1377	2	1950A442A9000556	4	9	[non chaine]
reelle	1	managed-object-property-component	2	3	2018	382	1377	1	20DF444049400455	1	0	[non chaine]
reelle	1	managed-object-property-component	3	6	2388	805	1410	1	3800831961909DF5	24	8390705	[CHAINE]
reelle	1	managed-object-property-component	3	6	2400	1038	1410	1	3800DA7961909DF1	24	8392103	[CHAINE]
reelle	1	managed-object-property-component	3	7	26	999	1410	1	380147B961909DED	24	8393851	[CHAINE]
reelle	1	managed-object-property-component	4	6	232	8184	1401	1	400000001960D10A	32	1	[CHAINE]
reelle	1	managed-object-property-component	4	6	614	8372	1406	1	400000001961510A	32	1	[CHAINE]
reelle	1	managed-object-property-component	4	6	1468	3379	1406	1	400000003961108A	32	3	[CHAINE]
reelle	1	managed-object-property-component	5	24	1584	13379	1380	1	514CFA4829595082	32	349152386	[CHAINE]
reelle	1	managed-object-property-component	5	24	1584	13442	1381	1	51340FA6395A5130	32	323025507	[CHAINE]
reelle	4	player-masked-property (i4)	0	3	1720	226	1405	1	0284500000E0C404	0	0	[non chaine]
reelle	4	player-masked-property (i4)	0	17	554	1624	1403	1	0B7DD4103DFBE041	0	0	[non chaine]
reelle	4	player-masked-property (i4)	3	9	540	386	1381	0	3A900055641AE2E7	0	0	[non chaine]
reelle	4	player-masked-property (i4)	3	9	1154	226	1401	1	348C055906B8A98C	0	0	[non chaine]
reelle	4	player-masked-property (i4)	5	8	1904	480	1405	0	5E49910EA4001559	0	0	[CHAINE]
reelle	4	player-masked-property (i4)	5	11	1478	455	1401	1	588C005906459A27	0	0	[non chaine]
reelle	4	player-masked-property (i4)	5	22	34	651	1404	1	512AA5001155641A	0	0	[non chaine]
reelle	4	player-masked-property (i4)	6	16	1674	227	1381	0	6E940055676069EA	0	0	[non chaine]
reelle	4	player-masked-property (i4)	8	10	164	4020	1392	1	80000000195D518A	32	1	[CHAINE]
reelle	4	player-masked-property (i4)	8	10	752	2151	1392	1	80000000095D518A	32	0	[CHAINE]
reelle	4	player-masked-property (i4)	8	17	1900	8341	1392	1	80000000195D518A	32	1	[CHAINE]
reelle	4	player-masked-property (i4)	9	21	2218	1458	1376	3	925D2748C00421AA	32	634549388	[non chaine]
reelle	4	player-masked-property (i4)	10	22	1202	291	1381	1	A0900055641ADDAA	1	0	[non chaine]
reelle	4	player-masked-property (i4)	10	25	204	1795	1392	1	0000000000000000	1	0	[CHAINE]
reelle	4	player-masked-property (i4)	11	24	1026	424	1404	0	BC8C0159068C9A4A	4	12	[non chaine]
reelle	4	player-masked-property (i4)	13	15	1080	725	1404	2	DDFAAA688E928008	4	13	[non chaine]
reelle	4	player-masked-property (i4)	15	8	2336	3168	1377	0	F05FE06710EA4001	4	0	[non chaine]
reelle	7	player-masked-property (i7)	0	5	1434	1488	1409	1	0592E48208C00421	0	0	[non chaine]
reelle	7	player-masked-property (i7)	0	19	1950	847	1382	0	0928021495C74AD2	0	0	[non chaine]
reelle	7	player-masked-property (i7)	0	23	1570	518	1376	0	08003F4380896912	0	0	[non chaine]
reelle	7	player-masked-property (i7)	1	10	2208	129	1406	3	111225001155641B	0	0	[non chaine]
reelle	7	player-masked-property (i7)	5	16	1782	223	1381	1	5F102EBD61420000	0	0	[non chaine]
reelle	7	player-masked-property (i7)	5	17	1296	712	1404	1	5120A20190643296	0	0	[non chaine]
reelle	7	player-masked-property (i7)	6	7	2188	1713	1408	2	6E797652B05F4C40	0	0	[non chaine]
reelle	7	player-masked-property (i7)	8	13	1638	8496	1392	1	80000000195D518A	32	1	[CHAINE]
reelle	7	player-masked-property (i7)	8	14	288	9234	1392	1	80000000095D518A	32	0	[CHAINE]
reelle	7	player-masked-property (i7)	8	19	480	3911	1392	1	80000000195CD08A	32	1	[CHAINE]
reelle	7	player-masked-property (i7)	9	23	222	888	1378	2	912D2400555906CA	32	315768837	[non chaine]
reelle	7	player-masked-property (i7)	13	8	2402	327	1404	1	D10EA400155906BA	4	1	[non chaine]
reelle	7	player-masked-property (i7)	15	21	564	1462	1376	1	FFFA49518008435B	4	15	[non chaine]
reelle	8	player-masked-property (i8)	0	9	1800	3315	1408	0	00010209BD920008	0	0	[non chaine]
reelle	8	player-masked-property (i8)	0	13	2006	1564	1403	0	063427159259F160	0	0	[non chaine]
reelle	8	player-masked-property (i8)	0	20	348	1895	1376	1	062B191C4037E701	0	0	[non chaine]
reelle	8	player-masked-property (i8)	1	12	812	364	1376	0	1F17888E0222D480	0	0	[non chaine]
reelle	8	player-masked-property (i8)	1	13	74	1837	1402	3	1D70A4889EED1000	0	0	[non chaine]
reelle	8	player-masked-property (i8)	1	17	1302	682	1404	1	1120A300164190F6	0	0	[non chaine]
reelle	8	player-masked-property (i8)	2	5	1368	1434	1404	0	208C00421AF1A683	0	0	[non chaine]
