ti	i	composant	niveau	statut	annonces	pct_records_ti	plancher_bruit	exces_sur_plancher	temoin_vide	temoin_inconnu	temoin_occupe
10	0	managed-object-boundary-visibility-component	0	porte	1932	4.13	679.0	2.8	1454	3752	251772
10	1	managed-object-boundary-color-component	1	non_porte	2174	4.65	679.0	3.2	1383	1985	220160
10	2	managed-object-navpoint-component	2	non_porte	1149	2.46	679.0	1.7	813	1978	29988
10	3	managed-object-navpoint-component	1	non_porte	1023	2.19	679.0	1.5	851	1903	30701
10	4	managed-object-navpoint-component	1	non_porte	1711	3.66	679.0	2.5	1438	5469	3789
10	5	managed-object-navpoint-component	1	non_porte	1143	2.44	679.0	1.7	470	1424	53716
10	6	managed-object-navpoint-component	1	non_porte	794	1.70	679.0	1.2	870	2643	1232
10	7	managed-object-navpoint-component	1	non_porte	731	1.56	679.0	1.1	252	2456	1146
10	8	managed-object-navpoint-component	1	non_porte	1120	2.40	679.0	1.6	1621	2752	1897
10	9	managed-object-navpoint-component	1	non_porte	1321	2.83	679.0	1.9	687	1397	1408
10	10	managed-object-navpoint-component	1	non_porte	764	1.63	679.0	1.1	408	1687	1034
10	11	managed-object-navpoint-component	1	non_porte	525	1.12	679.0	0.8	241	1268	1069
10	12	managed-object-navpoint-component	1	non_porte	645	1.38	679.0	0.9	351	1611	1500
10	13	managed-object-navpoint-component	1	non_porte	629	1.35	679.0	0.9	1511	1185	1128
10	14	managed-object-navpoint-component	1	non_porte	489	1.05	679.0	0.7	340	1154	1010
10	15	managed-object-navpoint-component	1	non_porte	419	0.90	679.0	0.6	230	900	1063
10	16	managed-object-navpoint-component	1	non_porte	1370	2.93	679.0	2.0	454	2056	2757
10	17	managed-object-navpoint-component	1	non_porte	1080	2.31	679.0	1.6	319	1587	2512
10	18	managed-object-networked-property-component	1	non_porte	759	1.62	679.0	1.1	328	3517	1267
10	19	managed-object-networked-property-component	1	non_porte	489	1.05	679.0	0.7	213	1303	1044
10	20	managed-object-networked-property-component	1	non_porte	717	1.53	679.0	1.1	647	2015	1480
10	21	managed-object-networked-property-component	1	non_porte	325	0.70	679.0	0.5	200	942	155301
10	22	managed-object-interaction-filter-component	1	non_porte	420	0.90	679.0	0.6	263	807	1017
10	23	managed-object-flags-component	2	non_porte	452	0.97	679.0	0.7	196	1133	908
10	24	managed-object-looping-sound-component	1	non_porte	938	2.01	679.0	1.4	324	1544	1225
10	25	managed-object-looping-sound-component	1	non_porte	705	1.51	679.0	1.0	298	1076	273976
10	26	managed-object-rtpc-component	1	non_porte	13964	29.87	679.0	20.6	942	1487	1443
10	27	managed-object-rtpc-component	1	non_porte	1523	3.26	679.0	2.2	1268	1492	1753
10	28	managed-object-rtpc-component	1	non_porte	564	1.21	679.0	0.8	250	1244	2605
10	29	managed-object-rtpc-component	1	non_porte	709	1.52	679.0	1.0	517	1339	753
10	30	(hors grammaire)	-	hors_grammaire	509	1.09	679.0	0.7	278	1015	2788
10	31	(hors grammaire)	-	hors_grammaire	861	1.84	679.0	1.3	213	1058	1293
10	32	(hors grammaire)	-	hors_grammaire	1491	3.19	679.0	2.2	640	1791	2102
10	33	(hors grammaire)	-	hors_grammaire	808	1.73	679.0	1.2	253	1750	2336
10	34	(hors grammaire)	-	hors_grammaire	698	1.49	679.0	1.0	399	1214	1252
10	35	(hors grammaire)	-	hors_grammaire	491	1.05	679.0	0.7	216	1082	1105
10	36	(hors grammaire)	-	hors_grammaire	869	1.86	679.0	1.3	661	2605	1419
10	37	(hors grammaire)	-	hors_grammaire	382	0.82	679.0	0.6	235	1934	1465
10	38	(hors grammaire)	-	hors_grammaire	419	0.90	679.0	0.6	220	1049	923
10	39	(hors grammaire)	-	hors_grammaire	591	1.26	679.0	0.9	183	1269	1082
10	40	(hors grammaire)	-	hors_grammaire	525	1.12	679.0	0.8	505	2046	1568
10	41	(hors grammaire)	-	hors_grammaire	447	0.96	679.0	0.7	235	1097	1005
10	42	(hors grammaire)	-	hors_grammaire	678	1.45	679.0	1.0	452	1060	1743
10	43	(hors grammaire)	-	hors_grammaire	540	1.15	679.0	0.8	575	1258	1134
10	44	(hors grammaire)	-	hors_grammaire	400	0.86	679.0	0.6	311	1453	1114
10	45	(hors grammaire)	-	hors_grammaire	467	1.00	679.0	0.7	634	1383	1024
10	46	(hors grammaire)	-	hors_grammaire	335	0.72	679.0	0.5	149	1178	883
10	47	(hors grammaire)	-	hors_grammaire	539	1.15	679.0	0.8	1103	1349	1509
10	48	(hors grammaire)	-	hors_grammaire	1420	3.04	679.0	2.1	574	2237	1632
10	49	(hors grammaire)	-	hors_grammaire	457	0.98	679.0	0.7	249	1609	1297
10	50	(hors grammaire)	-	hors_grammaire	431	0.92	679.0	0.6	287	4490	972
10	51	(hors grammaire)	-	hors_grammaire	301	0.64	679.0	0.4	360	1882	1161
10	52	(hors grammaire)	-	hors_grammaire	680	1.45	679.0	1.0	646	2267	1234
10	53	(hors grammaire)	-	hors_grammaire	552	1.18	679.0	0.8	350	2034	1601
10	54	(hors grammaire)	-	hors_grammaire	363	0.78	679.0	0.5	249	1260	2549
10	55	(hors grammaire)	-	hors_grammaire	1110	2.37	679.0	1.6	1982	2323	1834
10	56	(hors grammaire)	-	hors_grammaire	439	0.94	679.0	0.6	477	1627	1622
10	57	(hors grammaire)	-	hors_grammaire	825	1.76	679.0	1.2	1456	1960	2857
10	58	(hors grammaire)	-	hors_grammaire	955	2.04	679.0	1.4	767	2322	1470
10	59	(hors grammaire)	-	hors_grammaire	1265	2.71	679.0	1.9	1242	1941	3149
10	60	(hors grammaire)	-	hors_grammaire	965	2.06	679.0	1.4	1811	3344	1435
10	61	(hors grammaire)	-	hors_grammaire	625	1.34	679.0	0.9	762	1651	1177
10	62	(hors grammaire)	-	hors_grammaire	487	1.04	679.0	0.7	375	1658	944
10	63	(hors grammaire)	-	hors_grammaire	496	1.06	679.0	0.7	235	1258	1712
12	0	managed-navpoint-sub-type-component	0	porte	146	2.88	58.5	2.5	1454	3752	251772
12	1	managed-navpoint-flags-component	1	non_porte	136	2.68	58.5	2.3	1383	1985	220160
12	2	managed-navpoint-visibility-distance-filters-component	1	non_porte	63	1.24	58.5	1.1	813	1978	29988
12	3	managed-navpoint-visible-offscreen-filters-component	3	non_porte	111	2.19	58.5	1.9	851	1903	30701
12	4	managed-navpoint-can-be-occluded-filters-component	2	non_porte	212	4.18	58.5	3.6	1438	5469	3789
12	5	managed-navpoint-visibility-filter-component	2	non_porte	294	5.80	58.5	5.0	470	1424	53716
12	6	managed-navpoint-docking-filter-component	2	non_porte	232	4.58	58.5	4.0	870	2643	1232
12	7	managed-navpoint-docking-order-component	2	non_porte	98	1.93	58.5	1.7	252	2456	1146
12	8	managed-navpoint-docking-group-name-component	1	non_porte	124	2.45	58.5	2.1	1621	2752	1897
12	9	managed-navpoint-formatted-text-component	1	non_porte	134	2.64	58.5	2.3	687	1397	1408
12	10	managed-navpoint-timers-component	1	non_porte	66	1.30	58.5	1.1	408	1687	1034
12	11	managed-navpoint-manual-timer-initial-duration-component	1	non_porte	45	0.89	58.5	0.8	241	1268	1069
12	12	managed-navpoint-manual-timer-current-duration-component	1	non_porte	92	1.81	58.5	1.6	351	1611	1500
12	13	managed-navpoint-top-progress	1	non_porte	81	1.60	58.5	1.4	1511	1185	1128
12	14	managed-navpoint-radial-progress	1	non_porte	1822	35.94	58.5	31.1	340	1154	1010
12	15	managed-navpoint-bottom-progress	1	non_porte	54	1.07	58.5	0.9	230	900	1063
12	16	managed-navpoint-override-flags	1	non_porte	108	2.13	58.5	1.8	454	2056	2757
