ti	i	composant	statut	annonces_fenetre	annonces_hors	secondes_fenetre	secondes_hors	densite_fenetre	densite_hors	rapport	rapport_serre_1s
10	0	managed-object-boundary-visibility-component	porte	632	1300	218.2	547.4	2.897	2.375	1.22x	1.36x
10	1	managed-object-boundary-color-component	non_porte	387	1787	218.2	547.4	1.774	3.264	0.54x	0.55x
10	2	managed-object-navpoint-component	non_porte	403	746	218.2	547.4	1.847	1.363	1.36x	1.60x
10	3	managed-object-navpoint-component	non_porte	297	726	218.2	547.4	1.361	1.326	1.03x	1.22x
10	4	managed-object-navpoint-component	non_porte	591	1120	218.2	547.4	2.709	2.046	1.32x	1.51x
10	5	managed-object-navpoint-component	non_porte	380	763	218.2	547.4	1.742	1.394	1.25x	1.56x
10	6	managed-object-navpoint-component	non_porte	280	514	218.2	547.4	1.284	0.939	1.37x	1.30x
10	7	managed-object-navpoint-component	non_porte	214	517	218.2	547.4	0.981	0.944	1.04x	1.14x
10	8	managed-object-navpoint-component	non_porte	363	757	218.2	547.4	1.664	1.383	1.20x	1.22x
10	9	managed-object-navpoint-component	non_porte	275	1046	218.2	547.4	1.261	1.911	0.66x	0.72x
10	10	managed-object-navpoint-component	non_porte	278	486	218.2	547.4	1.274	0.888	1.44x	1.54x
10	11	managed-object-navpoint-component	non_porte	149	376	218.2	547.4	0.683	0.687	0.99x	0.92x
10	12	managed-object-navpoint-component	non_porte	223	422	218.2	547.4	1.022	0.771	1.33x	1.49x
10	13	managed-object-navpoint-component	non_porte	154	475	218.2	547.4	0.706	0.868	0.81x	1.02x
10	14	managed-object-navpoint-component	non_porte	132	357	218.2	547.4	0.605	0.652	0.93x	0.96x
10	15	managed-object-navpoint-component	non_porte	118	301	218.2	547.4	0.541	0.550	0.98x	1.14x
10	16	managed-object-navpoint-component	non_porte	429	941	218.2	547.4	1.967	1.719	1.14x	1.25x
10	17	managed-object-navpoint-component	non_porte	368	712	218.2	547.4	1.687	1.301	1.30x	1.33x
10	18	managed-object-networked-property-component	non_porte	223	536	218.2	547.4	1.022	0.979	1.04x	1.15x
10	19	managed-object-networked-property-component	non_porte	124	365	218.2	547.4	0.568	0.667	0.85x	1.02x
10	20	managed-object-networked-property-component	non_porte	238	479	218.2	547.4	1.091	0.875	1.25x	1.48x
10	21	managed-object-networked-property-component	non_porte	98	227	218.2	547.4	0.449	0.415	1.08x	1.44x
10	22	managed-object-interaction-filter-component	non_porte	134	286	218.2	547.4	0.614	0.522	1.18x	1.34x
10	23	managed-object-flags-component	non_porte	129	323	218.2	547.4	0.591	0.590	1.00x	1.25x
10	24	managed-object-looping-sound-component	non_porte	247	691	218.2	547.4	1.132	1.262	0.90x	0.83x
