ti	archetype_present	composants	records_image_cle	slots_distincts	slots_bande	slots
10	true	30	1156	118	118	1427,1429,1432,1434,1436,1456,1458,1542,1544,1545,1547,1548,1550,1560,1571,1586,1630,1637,1647,1651,1652,1655,1656,1657,1667,1673,1674,1675,1697,1735,1739,1755,1759,1760,1786,1789,1790,1794,1795,1796,1800,1801,1802,1807,1858,1870,1886,1888,1893,1915,2023,2025,2028,2044,2047,2051,2068,2085,2092,2116,2143,2144,2145,2175,2181,2182,2183,2190,2206,2224,2225,2228,2275,2281,2293,2307,2309,2311,2313,2332,2382,2421,2422,2423,2433,2455,2524,2629,2630,2631,2652,2666,2668,2696,2812,2813,2814,2816,2818,2821,2842,2858,2883,2891,2892,2893,2895,2927,2939,2981,2982,2983,2995,3016,3061,3063,3065,3068
12	true	28	340	16	16	1426,1428,1431,1433,1435,1449,1450,1451,1452,1578,1806,2112,2942,2969,2970,3050
23	true	33	0	0	0	
11	true	34	185	5	5	1425,1437,1438,1453,1454
13	true	34	711	19	19	1417,1418,1419,1420,1421,1422,1423,1424,1430,1439,1440,1441,1442,1443,1444,1445,1446,1447,1448
47	true	3	304	8	8	1291,1293,1295,1297,1299,1301,1303,1305
4	true	1	38	1	1	123
38	false	0	2123	82	0	1280,1281,1282,1283,1284,1285,1286,1287,1288,1289,1339,1340,1341,1342,1343,1344,1345,1346,1347,1348,1349,1351,1355,1356,1357,1358,1359,1360,1361,1362,1363,1364,1365,1366,1367,1368,1369,1370,1371,1373,1379,1381,1383,1385,1387,1389,1394,1396,1401,1403,1405,1407,1459,1460,1461,1462,1631,1632,1740,1741,1756,1757,2048,2049,2093,2094,2220,2221,2276,2277,2282,2283,2456,2457,2697,2698,2928,2929,2940,2941,3017,3018
6	false	0	1868	48	0	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
43	false	0	1368	36	0	1350,1352,1353,1354,1372,1374,1375,1376,1377,1378,1380,1382,1384,1386,1388,1390,1391,1392,1393,1395,1397,1398,1399,1400,1402,1404,1406,1408,1409,1410,1411,1412,1413,1414,1415,1416
