ti	i	composant	niveau	statut	annonces	pct_records_ti	plancher_bruit	exces_sur_plancher	temoin_vide	temoin_inconnu	temoin_occupe
10	0	managed-object-boundary-visibility-component	0	porte	68	1.36	22.0	3.1	245	756	61641
10	1	managed-object-boundary-color-component	1	non_porte	41	0.82	22.0	1.9	267	284	51604
10	2	managed-object-navpoint-component	2	non_porte	65	1.30	22.0	3.0	95	207	984
10	3	managed-object-navpoint-component	1	non_porte	14	0.28	22.0	0.6	52	156	203
10	4	managed-object-navpoint-component	1	non_porte	133	2.66	22.0	6.0	237	494	852
10	5	managed-object-navpoint-component	1	non_porte	68	1.36	22.0	3.1	98	300	17720
10	6	managed-object-navpoint-component	1	non_porte	18	0.36	22.0	0.8	46	195	363
10	7	managed-object-navpoint-component	1	non_porte	21	0.42	22.0	1.0	47	135	171
10	8	managed-object-navpoint-component	1	non_porte	48	0.96	22.0	2.2	134	310	337
10	9	managed-object-navpoint-component	1	non_porte	17	0.34	22.0	0.8	58	141	108
10	10	managed-object-navpoint-component	1	non_porte	29	0.58	22.0	1.3	119	150	94
10	11	managed-object-navpoint-component	1	non_porte	72	1.44	22.0	3.3	63	108	249
10	12	managed-object-navpoint-component	1	non_porte	24	0.48	22.0	1.1	39	235	110
10	13	managed-object-navpoint-component	1	non_porte	14	0.28	22.0	0.6	131	247	82
10	14	managed-object-navpoint-component	1	non_porte	7	0.14	22.0	0.3	31	99	63
10	15	managed-object-navpoint-component	1	non_porte	19	0.38	22.0	0.9	16	161	91
10	16	managed-object-navpoint-component	1	non_porte	49	0.98	22.0	2.2	305	206	159
10	17	managed-object-navpoint-component	1	non_porte	45	0.90	22.0	2.0	56	153	171
10	18	managed-object-networked-property-component	1	non_porte	16	0.32	22.0	0.7	58	101	72
10	19	managed-object-networked-property-component	1	non_porte	14	0.28	22.0	0.6	95	89	1963
10	20	managed-object-networked-property-component	1	non_porte	57	1.14	22.0	2.6	61	170	491
10	21	managed-object-networked-property-component	1	non_porte	11	0.22	22.0	0.5	30	106	29705
10	22	managed-object-interaction-filter-component	1	non_porte	39	0.78	22.0	1.8	60	98	115
10	23	managed-object-flags-component	2	non_porte	15	0.30	22.0	0.7	15	91	59
10	24	managed-object-looping-sound-component	1	non_porte	82	1.64	22.0	3.7	108	196	95
10	25	managed-object-looping-sound-component	1	non_porte	86	1.72	22.0	3.9	18	117	63237
10	26	managed-object-rtpc-component	1	non_porte	2503	50.08	22.0	113.8	44	113	165
10	27	managed-object-rtpc-component	1	non_porte	668	13.37	22.0	30.4	57	107	136
10	28	managed-object-rtpc-component	1	non_porte	121	2.42	22.0	5.5	56	130	418
10	29	managed-object-rtpc-component	1	non_porte	21	0.42	22.0	1.0	96	91	40
10	30	(hors grammaire)	-	hors_grammaire	9	0.18	22.0	0.4	47	56	557
10	31	(hors grammaire)	-	hors_grammaire	33	0.66	22.0	1.5	35	117	137
10	32	(hors grammaire)	-	hors_grammaire	27	0.54	22.0	1.2	320	184	111
10	33	(hors grammaire)	-	hors_grammaire	23	0.46	22.0	1.0	61	161	660
10	34	(hors grammaire)	-	hors_grammaire	49	0.98	22.0	2.2	42	110	136
10	35	(hors grammaire)	-	hors_grammaire	15	0.30	22.0	0.7	40	49	83
10	36	(hors grammaire)	-	hors_grammaire	53	1.06	22.0	2.4	55	198	103
10	37	(hors grammaire)	-	hors_grammaire	15	0.30	22.0	0.7	17	69	44
10	38	(hors grammaire)	-	hors_grammaire	694	13.89	22.0	31.5	53	53	50
10	39	(hors grammaire)	-	hors_grammaire	11	0.22	22.0	0.5	180	70	67
10	40	(hors grammaire)	-	hors_grammaire	18	0.36	22.0	0.8	45	394	136
10	41	(hors grammaire)	-	hors_grammaire	15	0.30	22.0	0.7	19	112	223
10	42	(hors grammaire)	-	hors_grammaire	18	0.36	22.0	0.8	20	81	167
10	43	(hors grammaire)	-	hors_grammaire	14	0.28	22.0	0.6	56	54	65
10	44	(hors grammaire)	-	hors_grammaire	10	0.20	22.0	0.5	21	162	155
10	45	(hors grammaire)	-	hors_grammaire	5	0.10	22.0	0.2	163	181	58
10	46	(hors grammaire)	-	hors_grammaire	4	0.08	22.0	0.2	14	63	69
10	47	(hors grammaire)	-	hors_grammaire	9	0.18	22.0	0.4	142	81	135
10	48	(hors grammaire)	-	hors_grammaire	17	0.34	22.0	0.8	43	231	113
10	49	(hors grammaire)	-	hors_grammaire	17	0.34	22.0	0.8	58	84	55
10	50	(hors grammaire)	-	hors_grammaire	13	0.26	22.0	0.6	25	85	70
10	51	(hors grammaire)	-	hors_grammaire	16	0.32	22.0	0.7	69	65	99
10	52	(hors grammaire)	-	hors_grammaire	29	0.58	22.0	1.3	103	212	132
10	53	(hors grammaire)	-	hors_grammaire	34	0.68	22.0	1.5	22	182	140
10	54	(hors grammaire)	-	hors_grammaire	9	0.18	22.0	0.4	53	107	1245
10	55	(hors grammaire)	-	hors_grammaire	81	1.62	22.0	3.7	149	252	182
10	56	(hors grammaire)	-	hors_grammaire	9	0.18	22.0	0.4	84	207	396
10	57	(hors grammaire)	-	hors_grammaire	70	1.40	22.0	3.2	21	158	372
10	58	(hors grammaire)	-	hors_grammaire	61	1.22	22.0	2.8	116	134	231
10	59	(hors grammaire)	-	hors_grammaire	65	1.30	22.0	3.0	73	201	511
10	60	(hors grammaire)	-	hors_grammaire	31	0.62	22.0	1.4	115	798	245
10	61	(hors grammaire)	-	hors_grammaire	33	0.66	22.0	1.5	94	170	105
10	62	(hors grammaire)	-	hors_grammaire	10	0.20	22.0	0.5	23	210	99
10	63	(hors grammaire)	-	hors_grammaire	17	0.34	22.0	0.8	30	96	54
12	0	managed-navpoint-sub-type-component	0	porte	22	0.94	7.5	2.9	245	756	61641
12	1	managed-navpoint-flags-component	1	non_porte	34	1.46	7.5	4.5	267	284	51604
12	2	managed-navpoint-visibility-distance-filters-component	1	non_porte	62	2.66	7.5	8.3	95	207	984
12	3	managed-navpoint-visible-offscreen-filters-component	3	non_porte	15	0.64	7.5	2.0	52	156	203
12	4	managed-navpoint-can-be-occluded-filters-component	2	non_porte	47	2.02	7.5	6.3	237	494	852
12	5	managed-navpoint-visibility-filter-component	2	non_porte	22	0.94	7.5	2.9	98	300	17720
12	6	managed-navpoint-docking-filter-component	2	non_porte	72	3.09	7.5	9.6	46	195	363
12	7	managed-navpoint-docking-order-component	2	non_porte	5	0.21	7.5	0.7	47	135	171
12	8	managed-navpoint-docking-group-name-component	1	non_porte	20	0.86	7.5	2.7	134	310	337
12	9	managed-navpoint-formatted-text-component	1	non_porte	12	0.51	7.5	1.6	58	141	108
12	10	managed-navpoint-timers-component	1	non_porte	12	0.51	7.5	1.6	119	150	94
12	11	managed-navpoint-manual-timer-initial-duration-component	1	non_porte	2	0.09	7.5	0.3	63	108	249
12	12	managed-navpoint-manual-timer-current-duration-component	1	non_porte	7	0.30	7.5	0.9	39	235	110
12	13	managed-navpoint-top-progress	1	non_porte	9	0.39	7.5	1.2	131	247	82
12	14	managed-navpoint-radial-progress	1	non_porte	1841	78.98	7.5	245.5	31	99	63
12	15	managed-navpoint-bottom-progress	1	non_porte	5	0.21	7.5	0.7	16	161	91
12	16	managed-navpoint-override-flags	1	non_porte	13	0.56	7.5	1.7	305	206	159
12	17	managed-navpoint-object-marker	1	non_porte	10	0.43	7.5	1.3	56	153	171
12	18	managed-navpoint-position-offset	1	non_porte	6	0.26	7.5	0.8	58	101	72
12	19	managed-navpoint-visual-states-component	1	non_porte	5	0.21	7.5	0.7	95	89	1963
12	20	managed-navpoint-visual-state-groups-component-0	2	non_porte	39	1.67	7.5	5.2	61	170	491
12	21	managed-navpoint-visual-state-groups-component-1	1	non_porte	56	2.40	7.5	7.5	30	106	29705
12	22	managed-navpoint-visual-state-groups-component-2	1	non_porte	33	1.42	7.5	4.4	60	98	115
12	24	managed-navpoint-visual-state-groups-component-4	1	non_porte	5	0.21	7.5	0.7	108	196	95
12	25	managed-navpoint-visual-state-groups-component-5	1	non_porte	3	0.13	7.5	0.4	18	117	63237
12	26	managed-navpoint-visual-state-groups-component-6	1	non_porte	15	0.64	7.5	2.0	44	113	165
12	27	managed-navpoint-visual-state-groups-component-7	1	non_porte	3	0.13	7.5	0.4	57	107	136
12	28	(hors grammaire)	-	hors_grammaire	5	0.21	7.5	0.7	56	130	418
12	29	(hors grammaire)	-	hors_grammaire	3	0.13	7.5	0.4	96	91	40
12	30	(hors grammaire)	-	hors_grammaire	4	0.17	7.5	0.5	47	56	557
