ti	archetype_present	composants	records_image_cle	slots_distincts	slots_bande	slots
10	true	30	149	30	30	1429,1431,1433,1435,1505,1525,1528,1557,1575,1579,1666,1682,1683,1693,1714,1722,1724,1726,1728,1736,1752,1784,1788,1873,1881,1883,1939,1941,1943,1945
12	true	28	59	10	10	1428,1430,1432,1434,1504,1515,1697,1787,1795,1842
23	true	33	0	0	0	
11	true	34	10	1	1	1496
13	true	34	230	20	20	1413,1414,1415,1416,1417,1418,1419,1420,1421,1422,1423,1424,1425,1426,1427,1497,1498,1499,1500,1501
47	true	3	96	9	9	1303,1305,1307,1309,1311,1313,1315,1317,1806
4	true	1	12	1	1	123
38	false	0	704	63	0	1282,1283,1284,1285,1286,1287,1288,1289,1290,1291,1292,1293,1294,1295,1296,1297,1298,1299,1300,1301,1353,1354,1355,1356,1357,1358,1359,1360,1361,1362,1368,1369,1370,1371,1372,1373,1374,1375,1376,1377,1378,1379,1380,1381,1382,1383,1384,1387,1391,1393,1397,1399,1401,1403,1405,1409,1411,1502,1503,1679,1680,1785,1786
6	false	0	624	48	0	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
17	false	0	429	33	0	84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116
