ti	i	composant	statut	annonces_fenetre	annonces_hors	secondes_fenetre	secondes_hors	densite_fenetre	densite_hors	rapport	rapport_serre_1s
10	0	managed-object-boundary-visibility-component	porte	1605	2106	350.0	500.9	4.585	4.204	1.09x	1.18x
10	1	managed-object-boundary-color-component	non_porte	1318	1943	350.0	500.9	3.765	3.879	0.97x	0.99x
10	2	managed-object-navpoint-component	non_porte	1495	807	350.0	500.9	4.271	1.611	2.65x	2.03x
10	3	managed-object-navpoint-component	non_porte	339	552	350.0	500.9	0.968	1.102	0.88x	0.76x
10	4	managed-object-navpoint-component	non_porte	503	778	350.0	500.9	1.437	1.553	0.93x	0.86x
10	5	managed-object-navpoint-component	non_porte	459	468	350.0	500.9	1.311	0.934	1.40x	1.43x
10	6	managed-object-navpoint-component	non_porte	295	324	350.0	500.9	0.843	0.647	1.30x	0.97x
10	7	managed-object-navpoint-component	non_porte	265	283	350.0	500.9	0.757	0.565	1.34x	0.90x
10	8	managed-object-navpoint-component	non_porte	540	820	350.0	500.9	1.543	1.637	0.94x	0.98x
10	9	managed-object-navpoint-component	non_porte	345	406	350.0	500.9	0.986	0.810	1.22x	1.12x
10	10	managed-object-navpoint-component	non_porte	332	423	350.0	500.9	0.948	0.844	1.12x	0.99x
10	11	managed-object-navpoint-component	non_porte	195	284	350.0	500.9	0.557	0.567	0.98x	1.06x
10	12	managed-object-navpoint-component	non_porte	200	269	350.0	500.9	0.571	0.537	1.06x	1.01x
10	13	managed-object-navpoint-component	non_porte	262	388	350.0	500.9	0.748	0.775	0.97x	0.84x
10	14	managed-object-navpoint-component	non_porte	260	236	350.0	500.9	0.743	0.471	1.58x	1.04x
10	15	managed-object-navpoint-component	non_porte	197	227	350.0	500.9	0.563	0.453	1.24x	1.14x
10	16	managed-object-navpoint-component	non_porte	427	513	350.0	500.9	1.220	1.024	1.19x	1.08x
10	17	managed-object-navpoint-component	non_porte	268	313	350.0	500.9	0.766	0.625	1.23x	1.10x
10	18	managed-object-networked-property-component	non_porte	234	426	350.0	500.9	0.668	0.850	0.79x	0.79x
10	19	managed-object-networked-property-component	non_porte	196	257	350.0	500.9	0.560	0.513	1.09x	0.88x
10	20	managed-object-networked-property-component	non_porte	302	435	350.0	500.9	0.863	0.868	0.99x	0.84x
10	21	managed-object-networked-property-component	non_porte	190	256	350.0	500.9	0.543	0.511	1.06x	1.08x
