ti	archetype_present	composants	records_image_cle	slots_distincts	slots_bande	slots
10	true	30	882	157	157	1386,1388,1390,1392,1394,1396,1398,1418,1420,1490,1492,1499,1523,1547,1584,1587,1614,1616,1630,1632,1633,1634,1648,1677,1680,1681,1682,1704,1722,1724,1726,1739,1740,1741,1763,1780,1786,1792,1793,1794,1807,1812,1823,1841,1843,1845,1886,1887,1888,1903,1945,1955,1957,1998,2102,2104,2142,2143,2144,2205,2211,2226,2227,2228,2274,2276,2281,2317,2318,2349,2377,2379,2383,2413,2429,2430,2431,2445,2447,2470,2491,2494,2495,2496,2522,2576,2581,2611,2612,2613,2623,2644,2655,2680,2681,2682,2700,2716,2748,2749,2750,2752,2756,2758,2780,2784,2785,2786,2787,2797,2805,2828,2829,2830,2842,2846,2862,2869,2877,2882,2901,2902,2903,2923,2934,2936,2947,2960,2981,2983,2985,2987,3062,3064,3066,3068,3070,3072,3074,3094,3096,3166,3171,3189,3200,3214,3215,3216,3217,3218,3219,3233,3235,3258,3291,3292,3313
12	true	28	550	34	34	1385,1387,1389,1391,1393,1395,1397,1411,1412,1413,1414,1590,1612,1719,1721,2066,2095,2096,2289,2699,2933,3061,3063,3065,3067,3069,3071,3073,3087,3088,3089,3090,3170,3282
23	true	33	0	0	0	
11	true	34	201	10	10	1383,1399,1400,1415,1416,3059,3075,3076,3091,3092
13	true	34	777	30	30	1375,1376,1377,1378,1379,1380,1381,1382,1384,1401,1402,1403,1404,1405,1406,1407,1408,1409,1410,3060,3077,3078,3079,3080,3081,3082,3083,3084,3085,3086
47	true	3	336	8	8	1284,1286,1288,1290,1292,1294,1296,1298
4	true	1	42	2	2	123,125
6	false	0	2049	48	0	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
17	false	0	1419	33	0	84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116
5	false	0	1376	32	0	52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
