ti	i	composant	niveau	statut	annonces	pct_records_ti	plancher_bruit	exces_sur_plancher	temoin_vide	temoin_inconnu	temoin_occupe
10	0	managed-object-boundary-visibility-component	0	porte	1031	2.94	187.5	5.5	1298	1350	178210
10	1	managed-object-boundary-color-component	1	non_porte	697	1.98	187.5	3.7	1139	434	153375
10	2	managed-object-navpoint-component	2	non_porte	570	1.62	187.5	3.0	395	456	1509
10	3	managed-object-navpoint-component	1	non_porte	175	0.50	187.5	0.9	202	397	539
10	4	managed-object-navpoint-component	1	non_porte	555	1.58	187.5	3.0	703	1253	2890
10	5	managed-object-navpoint-component	1	non_porte	251	0.71	187.5	1.3	467	649	53011
10	6	managed-object-navpoint-component	1	non_porte	316	0.90	187.5	1.7	381	319	410
10	7	managed-object-navpoint-component	1	non_porte	211	0.60	187.5	1.1	165	698	242
10	8	managed-object-navpoint-component	1	non_porte	489	1.39	187.5	2.6	460	844	1310
10	9	managed-object-navpoint-component	1	non_porte	204	0.58	187.5	1.1	264	618	1335
10	10	managed-object-navpoint-component	1	non_porte	262	0.75	187.5	1.4	244	350	404
10	11	managed-object-navpoint-component	1	non_porte	133	0.38	187.5	0.7	241	528	2147
10	12	managed-object-navpoint-component	1	non_porte	236	0.67	187.5	1.3	277	622	563
10	13	managed-object-navpoint-component	1	non_porte	149	0.42	187.5	0.8	1410	604	927
10	14	managed-object-navpoint-component	1	non_porte	106	0.30	187.5	0.6	225	445	442
10	15	managed-object-navpoint-component	1	non_porte	107	0.30	187.5	0.6	138	369	462
10	16	managed-object-navpoint-component	1	non_porte	252	0.72	187.5	1.3	4025	672	664
10	17	managed-object-navpoint-component	1	non_porte	113	0.32	187.5	0.6	182	709	506
10	18	managed-object-networked-property-component	1	non_porte	183	0.52	187.5	1.0	438	363	323
10	19	managed-object-networked-property-component	1	non_porte	130	0.37	187.5	0.7	162	307	270
10	20	managed-object-networked-property-component	1	non_porte	270	0.77	187.5	1.4	345	379	2614
10	21	managed-object-networked-property-component	1	non_porte	112	0.32	187.5	0.6	170	294	108993
10	22	managed-object-interaction-filter-component	1	non_porte	116	0.33	187.5	0.6	198	230	526
10	23	managed-object-flags-component	2	non_porte	102	0.29	187.5	0.5	247	182	423
10	24	managed-object-looping-sound-component	1	non_porte	549	1.56	187.5	2.9	238	311	608
10	25	managed-object-looping-sound-component	1	non_porte	532	1.51	187.5	2.8	114	308	179587
10	26	managed-object-rtpc-component	1	non_porte	6948	19.78	187.5	37.1	439	419	563
10	27	managed-object-rtpc-component	1	non_porte	18395	52.38	187.5	98.1	182	387	585
10	28	managed-object-rtpc-component	1	non_porte	117	0.33	187.5	0.6	164	344	1720
10	29	managed-object-rtpc-component	1	non_porte	113	0.32	187.5	0.6	931	305	223
10	30	(hors grammaire)	-	hors_grammaire	115	0.33	187.5	0.6	1361	212	2386
10	31	(hors grammaire)	-	hors_grammaire	146	0.42	187.5	0.8	174	290	357
10	32	(hors grammaire)	-	hors_grammaire	236	0.67	187.5	1.3	1637	489	2484
10	33	(hors grammaire)	-	hors_grammaire	230	0.65	187.5	1.2	211	466	2151
10	34	(hors grammaire)	-	hors_grammaire	120	0.34	187.5	0.6	1077	170	680
10	35	(hors grammaire)	-	hors_grammaire	112	0.32	187.5	0.6	183	217	2839
10	36	(hors grammaire)	-	hors_grammaire	281	0.80	187.5	1.5	308	380	382
10	37	(hors grammaire)	-	hors_grammaire	109	0.31	187.5	0.6	205	368	313
10	38	(hors grammaire)	-	hors_grammaire	110	0.31	187.5	0.6	376	347	4588
10	39	(hors grammaire)	-	hors_grammaire	133	0.38	187.5	0.7	1272	301	255
10	40	(hors grammaire)	-	hors_grammaire	230	0.65	187.5	1.2	205	781	877
10	41	(hors grammaire)	-	hors_grammaire	141	0.40	187.5	0.8	212	370	557
10	42	(hors grammaire)	-	hors_grammaire	112	0.32	187.5	0.6	195	406	653
10	43	(hors grammaire)	-	hors_grammaire	306	0.87	187.5	1.6	299	306	459
10	44	(hors grammaire)	-	hors_grammaire	92	0.26	187.5	0.5	233	299	384
10	45	(hors grammaire)	-	hors_grammaire	157	0.45	187.5	0.8	2521	276	749
10	46	(hors grammaire)	-	hors_grammaire	89	0.25	187.5	0.5	117	221	214
10	47	(hors grammaire)	-	hors_grammaire	161	0.46	187.5	0.9	326	371	447
10	48	(hors grammaire)	-	hors_grammaire	211	0.60	187.5	1.1	376	529	557
10	49	(hors grammaire)	-	hors_grammaire	105	0.30	187.5	0.6	95	261	383
10	50	(hors grammaire)	-	hors_grammaire	176	0.50	187.5	0.9	164	250	263
10	51	(hors grammaire)	-	hors_grammaire	154	0.44	187.5	0.8	85	220	264
10	52	(hors grammaire)	-	hors_grammaire	265	0.75	187.5	1.4	241	354	401
10	53	(hors grammaire)	-	hors_grammaire	138	0.39	187.5	0.7	226	775	454
10	54	(hors grammaire)	-	hors_grammaire	101	0.29	187.5	0.5	125	270	2955
10	55	(hors grammaire)	-	hors_grammaire	192	0.55	187.5	1.0	502	1031	1140
10	56	(hors grammaire)	-	hors_grammaire	136	0.39	187.5	0.7	116	690	528
10	57	(hors grammaire)	-	hors_grammaire	208	0.59	187.5	1.1	373	756	2110
10	58	(hors grammaire)	-	hors_grammaire	575	1.64	187.5	3.1	696	457	779
10	59	(hors grammaire)	-	hors_grammaire	1255	3.57	187.5	6.7	309	565	2454
10	60	(hors grammaire)	-	hors_grammaire	976	2.78	187.5	5.2	402	1634	789
10	61	(hors grammaire)	-	hors_grammaire	600	1.71	187.5	3.2	1297	434	334
10	62	(hors grammaire)	-	hors_grammaire	502	1.43	187.5	2.7	95	341	398
10	63	(hors grammaire)	-	hors_grammaire	356	1.01	187.5	1.9	147	357	290
12	0	managed-navpoint-sub-type-component	0	porte	89	0.48	20.0	4.5	1298	1350	178210
12	1	managed-navpoint-flags-component	1	non_porte	58	0.31	20.0	2.9	1139	434	153375
12	2	managed-navpoint-visibility-distance-filters-component	1	non_porte	40	0.21	20.0	2.0	395	456	1509
12	3	managed-navpoint-visible-offscreen-filters-component	3	non_porte	29	0.16	20.0	1.4	202	397	539
12	4	managed-navpoint-can-be-occluded-filters-component	2	non_porte	127	0.68	20.0	6.3	703	1253	2890
12	5	managed-navpoint-visibility-filter-component	2	non_porte	45	0.24	20.0	2.2	467	649	53011
12	6	managed-navpoint-docking-filter-component	2	non_porte	415	2.22	20.0	20.8	381	319	410
12	7	managed-navpoint-docking-order-component	2	non_porte	20	0.11	20.0	1.0	165	698	242
12	8	managed-navpoint-docking-group-name-component	1	non_porte	33	0.18	20.0	1.6	460	844	1310
12	9	managed-navpoint-formatted-text-component	1	non_porte	25	0.13	20.0	1.2	264	618	1335
12	10	managed-navpoint-timers-component	1	non_porte	28	0.15	20.0	1.4	244	350	404
12	11	managed-navpoint-manual-timer-initial-duration-component	1	non_porte	15	0.08	20.0	0.8	241	528	2147
12	12	managed-navpoint-manual-timer-current-duration-component	1	non_porte	23	0.12	20.0	1.1	277	622	563
12	13	managed-navpoint-top-progress	1	non_porte	13	0.07	20.0	0.7	1410	604	927
12	14	managed-navpoint-radial-progress	1	non_porte	17369	93.07	20.0	868.5	225	445	442
12	15	managed-navpoint-bottom-progress	1	non_porte	14	0.08	20.0	0.7	138	369	462
12	16	managed-navpoint-override-flags	1	non_porte	51	0.27	20.0	2.5	4025	672	664
12	17	managed-navpoint-object-marker	1	non_porte	24	0.13	20.0	1.2	182	709	506
12	18	managed-navpoint-position-offset	1	non_porte	23	0.12	20.0	1.1	438	363	323
12	19	managed-navpoint-visual-states-component	1	non_porte	16	0.09	20.0	0.8	162	307	270
12	20	managed-navpoint-visual-state-groups-component-0	2	non_porte	54	0.29	20.0	2.7	345	379	2614
12	21	managed-navpoint-visual-state-groups-component-1	1	non_porte	198	1.06	20.0	9.9	170	294	108993
12	22	managed-navpoint-visual-state-groups-component-2	1	non_porte	284	1.52	20.0	14.2	198	230	526
12	23	managed-navpoint-visual-state-groups-component-3	1	non_porte	18	0.10	20.0	0.9	247	182	423
12	24	managed-navpoint-visual-state-groups-component-4	1	non_porte	18	0.10	20.0	0.9	238	311	608
12	25	managed-navpoint-visual-state-groups-component-5	1	non_porte	38	0.20	20.0	1.9	114	308	179587
12	26	managed-navpoint-visual-state-groups-component-6	1	non_porte	19	0.10	20.0	0.9	439	419	563
12	27	managed-navpoint-visual-state-groups-component-7	1	non_porte	19	0.10	20.0	0.9	182	387	585
