ti	i	composant	statut	annonces_fenetre	annonces_hors	secondes_fenetre	secondes_hors	densite_fenetre	densite_hors	rapport	rapport_serre_1s
10	0	managed-object-boundary-visibility-component	porte	514	517	251.8	321.5	2.041	1.608	1.27x	1.33x
10	1	managed-object-boundary-color-component	non_porte	361	336	251.8	321.5	1.434	1.045	1.37x	0.87x
10	2	managed-object-navpoint-component	non_porte	282	288	251.8	321.5	1.120	0.896	1.25x	1.47x
10	3	managed-object-navpoint-component	non_porte	110	65	251.8	321.5	0.437	0.202	2.16x	1.98x
10	4	managed-object-navpoint-component	non_porte	293	262	251.8	321.5	1.164	0.815	1.43x	1.50x
10	5	managed-object-navpoint-component	non_porte	137	114	251.8	321.5	0.544	0.355	1.53x	1.42x
10	6	managed-object-navpoint-component	non_porte	161	155	251.8	321.5	0.639	0.482	1.33x	0.93x
10	7	managed-object-navpoint-component	non_porte	130	81	251.8	321.5	0.516	0.252	2.05x	2.26x
10	8	managed-object-navpoint-component	non_porte	204	285	251.8	321.5	0.810	0.887	0.91x	0.76x
10	9	managed-object-navpoint-component	non_porte	114	90	251.8	321.5	0.453	0.280	1.62x	1.48x
10	10	managed-object-navpoint-component	non_porte	137	125	251.8	321.5	0.544	0.389	1.40x	1.77x
10	11	managed-object-navpoint-component	non_porte	71	62	251.8	321.5	0.282	0.193	1.46x	1.44x
10	12	managed-object-navpoint-component	non_porte	90	146	251.8	321.5	0.357	0.454	0.79x	1.17x
10	13	managed-object-navpoint-component	non_porte	87	62	251.8	321.5	0.346	0.193	1.79x	2.58x
10	14	managed-object-navpoint-component	non_porte	53	53	251.8	321.5	0.210	0.165	1.28x	0.95x
10	15	managed-object-navpoint-component	non_porte	45	62	251.8	321.5	0.179	0.193	0.93x	1.36x
10	16	managed-object-navpoint-component	non_porte	104	148	251.8	321.5	0.413	0.460	0.90x	0.94x
10	17	managed-object-navpoint-component	non_porte	68	45	251.8	321.5	0.270	0.140	1.93x	1.87x
10	18	managed-object-networked-property-component	non_porte	66	117	251.8	321.5	0.262	0.364	0.72x	0.90x
