bande	i	composant	tag	chunk	paquet	bit_charge	slot	gen	bits_bruts_hex	pay_bits	payload
reelle	1	managed-object-property-component	0	7	1402	278	1540	1	087E810321E8592C	0	0	[CHAINE]
reelle	1	managed-object-property-component	0	11	412	564	1522	2	0940030002818421	0	0	[non chaine]
reelle	1	managed-object-property-component	0	16	1066	403	1536	3	050806DB22374800	0	0	[non chaine]
reelle	1	managed-object-property-component	1	6	786	1061	1540	1	1800B20CA4B45BB5	4	8	[non chaine]
reelle	1	managed-object-property-component	1	10	2256	1465	1525	0	10008C9FB49CB5D6	4	0	[non chaine]
reelle	1	managed-object-property-component	1	15	1430	1503	1522	3	130F678E8F548002	4	3	[non chaine]
reelle	1	managed-object-property-component	2	12	1414	1113	1522	3	2DDD74205AFBE082	1	1	[non chaine]
reelle	1	managed-object-property-component	3	3	242	1088	1537	1	380025798210B40D	24	8389207	[CHAINE]
reelle	1	managed-object-property-component	3	3	254	1222	1537	1	380070599550B6F9	24	8390405	[CHAINE]
reelle	1	managed-object-property-component	3	3	266	1534	1537	1	3800BB499550B6F9	24	8391604	[CHAINE]
reelle	1	managed-object-property-component	4	3	242	1025	1536	1	4000000009805082	32	0	[CHAINE]
reelle	1	managed-object-property-component	4	3	1070	1709	1531	1	40000000197F1082	32	1	[CHAINE]
reelle	1	managed-object-property-component	4	3	1074	7775	1535	1	4000000009945092	32	0	[CHAINE]
reelle	1	managed-object-property-component	5	28	2354	12053	1525	1	567F43AC397D9082	32	1744059075	[CHAINE]
reelle	1	managed-object-property-component	5	28	2354	12116	1526	1	5D690D6B497DD082	32	3599816372	[CHAINE]
reelle	1	managed-object-property-component	5	28	2354	12179	1527	1	5F2F9EB279821130	32	4076464935	[CHAINE]
reelle	1	managed-object-property-component	7	10	1504	1294	1523	0	7FBDF8AEE92F5180	0	0	[non chaine]
reelle	1	managed-object-property-component	7	16	938	360	1537	0	76446E9000556418	0	0	[non chaine]
reelle	1	managed-object-property-component	8	5	506	648	1545	2	802041C187428C22	0	0	[non chaine]
reelle	1	managed-object-property-component	8	14	1750	149	1547	3	86833A7E00264209	0	0	[non chaine]
reelle	1	managed-object-property-component	10	6	2210	356	1542	1	AE034006908E220F	0	0	[non chaine]
reelle	1	managed-object-property-component	10	24	1250	984	1530	0	A5124212000056CF	0	0	[non chaine]
reelle	1	managed-object-property-component	11	10	1718	1977	1537	3	B11E6D8558B3FDA4	0	0	[non chaine]
reelle	1	managed-object-property-component	12	4	310	1724	1536	0	C00003A0201BF000	0	0	[non chaine]
reelle	1	managed-object-property-component	12	13	1410	326	1536	3	C9A3F000067431D2	0	0	[non chaine]
reelle	1	managed-object-property-component	14	4	1282	2193	1536	0	E00003A0201AFFC0	0	0	[non chaine]
reelle	1	managed-object-property-component	14	27	1012	149	1539	3	E4C2BA8617263FC9	0	0	[non chaine]
reelle	2	player-masked-property (i2)	0	5	516	1694	1536	0	000003A0203BF3E4	0	0	[non chaine]
reelle	2	player-masked-property (i2)	0	7	1424	33	1540	1	087E810321E8592C	0	0	[CHAINE]
reelle	2	player-masked-property (i2)	0	8	2374	1937	1545	2	05447E03BE5FC5A9	0	0	[non chaine]
reelle	2	player-masked-property (i2)	1	7	856	2500	1545	2	1681A15150200093	0	0	[non chaine]
reelle	2	player-masked-property (i2)	1	8	1148	199	1536	0	1EC87EEB3A213460	0	0	[non chaine]
reelle	2	player-masked-property (i2)	1	11	2090	585	1531	2	1CF8B2BA141622AA	0	0	[non chaine]
reelle	2	player-masked-property (i2)	2	5	2124	1763	1536	0	200003A0203A03E0	0	0	[non chaine]
reelle	2	player-masked-property (i2)	3	25	1708	769	1547	0	3C897D28008AAB20	0	0	[non chaine]
reelle	2	player-masked-property (i2)	5	4	1632	1462	1528	2	50011556418F9690	0	0	[non chaine]
reelle	2	player-masked-property (i2)	5	11	592	746	1522	3	578203BF3E0816BE	0	0	[non chaine]
reelle	2	player-masked-property (i2)	6	18	716	1161	1534	3	6064209C01A874CA	0	0	[non chaine]
reelle	2	player-masked-property (i2)	7	21	1908	174	1539	2	7E14B8C892928008	24	14764940	[CHAINE]
reelle	2	player-masked-property (i2)	8	25	928	470	1524	0	89C000199844BA90	32	2617246105	[non chaine]
reelle	2	player-masked-property (i2)	9	10	2310	702	1522	0	92622300108650D9	32	639774721	[non chaine]
reelle	2	player-masked-property (i2)	11	23	524	2499	1530	2	BAA101DC00040B5F	4	10	[non chaine]
reelle	2	player-masked-property (i2)	12	6	1834	65	1534	0	C1B204E00600550E	4	1	[non chaine]
reelle	2	player-masked-property (i2)	12	24	976	149	1538	0	CBC4B00017A648C9	4	11	[non chaine]
reelle	2	player-masked-property (i2)	13	15	1420	1492	1523	1	DDC0E75A8F548002	4	13	[non chaine]
reelle	2	player-masked-property (i2)	15	5	1222	886	1547	0	FC88311802B20BF5	4	12	[CHAINE]
reelle	2	player-masked-property (i2)	15	22	576	690	1522	3	F6D5262208311D37	4	6	[non chaine]
reelle	3	player-masked-property (i3)	0	7	1446	33	1540	1	087E810321E8592C	0	0	[CHAINE]
reelle	3	player-masked-property (i3)	0	9	488	1407	1536	0	000003A0201AF800	0	0	[non chaine]
reelle	3	player-masked-property (i3)	0	9	638	1739	1536	0	000003A0201BF3E0	0	0	[non chaine]
reelle	3	player-masked-property (i3)	2	8	30	1656	1536	0	200003A08E2A8000	0	0	[non chaine]
reelle	3	player-masked-property (i3)	2	8	682	1911	1536	0	200003A13AEA2001	0	0	[non chaine]
reelle	3	player-masked-property (i3)	2	27	1236	394	1547	0	2089891800B20C9C	0	0	[non chaine]
reelle	3	player-masked-property (i3)	4	7	1940	1455	1536	0	400003A139F22083	0	0	[non chaine]
reelle	3	player-masked-property (i3)	5	16	2274	793	1545	2	5C941D57A9042C00	0	0	[non chaine]
reelle	3	player-masked-property (i3)	6	9	2286	149	1538	2	6D84BA860026559A	0	0	[non chaine]
reelle	3	player-masked-property (i3)	8	27	1334	357	1547	0	8289892000AAC832	32	681087488	[non chaine]
reelle	3	player-masked-property (i3)	8	27	1336	394	1547	0	8489892000AAC832	32	1217958400	[non chaine]
reelle	3	player-masked-property (i3)	8	27	1338	357	1545	0	8689892000AAC832	32	1754829312	[non chaine]
reelle	3	player-masked-property (i3)	11	12	200	1003	1522	3	B9DD29288A52000A	4	9	[non chaine]
reelle	3	player-masked-property (i3)	11	13	1564	1114	1535	0	BE68945122001196	4	14	[non chaine]
reelle	3	player-masked-property (i3)	12	3	2188	1854	1536	3	C19060228A3DCC95	4	1	[non chaine]
reelle	3	player-masked-property (i3)	12	9	284	183	1535	0	C359910CA3015641	4	3	[non chaine]
reelle	3	player-masked-property (i3)	13	28	1458	183	1526	0	D96B913224001159	4	9	[non chaine]
reelle	4	player-masked-property (i4)	0	7	1468	33	1540	1	087E810321E8592C	0	0	[CHAINE]
reelle	4	player-masked-property (i4)	0	16	1638	67	1545	2	0F6840D488C12800	0	0	[CHAINE]
reelle	4	player-masked-property (i4)	0	6	768	2101	1536	0	000003A0201BF000	0	0	[non chaine]
reelle	4	player-masked-property (i4)	1	6	1802	382	1546	2	1E8C0059063889B6	0	0	[non chaine]
reelle	4	player-masked-property (i4)	1	8	1146	199	1536	0	1ED67F2B32213460	0	0	[non chaine]
reelle	4	player-masked-property (i4)	2	6	300	1422	1536	0	200003A0201AFBE0	0	0	[non chaine]
reelle	4	player-masked-property (i4)	2	6	358	1251	1536	0	200003A0201AFBE0	0	0	[non chaine]
reelle	4	player-masked-property (i4)	2	6	1802	817	1546	2	268806417CAE7FBE	0	0	[non chaine]
reelle	4	player-masked-property (i4)	4	6	1492	1768	1545	2	4829C4510008C949	0	0	[non chaine]
reelle	4	player-masked-property (i4)	4	8	2242	1486	1523	3	41068815D5822864	0	0	[non chaine]
reelle	4	player-masked-property (i4)	4	10	62	1706	1540	1	480000000D200000	0	0	[non chaine]
reelle	4	player-masked-property (i4)	5	13	872	378	1546	1	5688064192525A26	0	0	[non chaine]
reelle	4	player-masked-property (i4)	5	20	1134	2543	1537	2	55907683DA89101D	0	0	[non chaine]
reelle	4	player-masked-property (i4)	6	14	474	1517	1541	0	6090005564186668	0	0	[non chaine]
reelle	4	player-masked-property (i4)	6	14	1514	434	1545	3	609000456418FBA8	0	0	[non chaine]
reelle	4	player-masked-property (i4)	6	14	1530	434	1546	0	608C0159063F3A26	0	0	[non chaine]
reelle	4	player-masked-property (i4)	7	10	1740	1353	1540	1	780000000D200000	24	8388608	[non chaine]
reelle	4	player-masked-property (i4)	7	10	1740	1493	1540	1	740000000D200000	24	4194304	[non chaine]
reelle	4	player-masked-property (i4)	7	10	1740	1633	1540	1	708000000D200000	24	524288	[non chaine]
reelle	4	player-masked-property (i4)	8	19	292	213	1546	0	829000456419A366	32	687866966	[non chaine]
reelle	4	player-masked-property (i4)	8	19	1284	652	1541	0	8E900055641982A9	32	3909092694	[non chaine]
reelle	4	player-masked-property (i4)	8	19	1446	393	1540	0	8A90005564199C26	32	2835350870	[non chaine]
reelle	4	player-masked-property (i4)	9	15	2216	1310	1534	3	965DD2329000420C	32	1708991273	[non chaine]
reelle	4	player-masked-property (i4)	9	17	1126	1717	1542	0	9E11041A7AFD2AE9	32	3775938983	[non chaine]
reelle	4	player-masked-property (i4)	9	20	390	1559	1545	0	909000556418BCA9	32	150996310	[non chaine]
reelle	4	player-masked-property (i4)	10	7	1424	149	1547	3	A7413A86C3A99232	1	0	[non chaine]
reelle	4	player-masked-property (i4)	11	25	224	708	1545	3	B89000456419A466	4	8	[non chaine]
reelle	4	player-masked-property (i4)	12	3	1322	199	1542	0	C5B12F3B5CFF0181	4	5	[non chaine]
reelle	4	player-masked-property (i4)	12	27	36	543	1545	3	C48C0059065D1A12	4	4	[non chaine]
reelle	4	player-masked-property (i4)	12	27	164	1008	1547	3	C48C005906523A1E	4	4	[non chaine]
reelle	4	player-masked-property (i4)	14	3	1488	749	1537	1	E3AE5BCF7DA5440A	4	3	[non chaine]
reelle	4	player-masked-property (i4)	14	6	2340	1395	1536	0	E00003A0201BF7C4	4	0	[non chaine]
reelle	4	player-masked-property (i4)	15	12	1186	2118	1541	1	F431240010831906	4	4	[non chaine]
reelle	5	player-masked-property (i5)	0	7	1490	33	1540	1	087E810321E8592C	0	0	[CHAINE]
reelle	5	player-masked-property (i5)	0	7	2234	1731	1536	0	000003A0201AFFC0	0	0	[non chaine]
reelle	5	player-masked-property (i5)	0	8	208	1689	1536	0	000003A0201AF800	0	0	[non chaine]
reelle	5	player-masked-property (i5)	1	6	258	1234	1540	1	102CB4B4CAA85B7C	0	0	[non chaine]
reelle	5	player-masked-property (i5)	2	3	72	1493	1523	3	2735332EA13C0AC2	0	0	[non chaine]
reelle	5	player-masked-property (i5)	2	9	114	2897	1536	0	200003A13CBA4001	0	0	[non chaine]
reelle	5	player-masked-property (i5)	2	9	246	1804	1536	0	200003A0201BF3E0	0	0	[non chaine]
reelle	5	player-masked-property (i5)	3	22	1954	3094	1546	0	3B43B181F08887AA	0	0	[non chaine]
reelle	5	player-masked-property (i5)	4	9	954	1442	1536	0	400003A0201AF804	0	0	[non chaine]
reelle	5	player-masked-property (i5)	5	21	1574	850	1536	0	551EDF13CA47D127	0	0	[non chaine]
reelle	5	player-masked-property (i5)	6	18	838	692	1540	3	6012A0FC7C036891	0	0	[non chaine]
reelle	5	player-masked-property (i5)	6	25	84	149	1539	3	6B01AC0A03A664C9	0	0	[non chaine]
reelle	5	player-masked-property (i5)	6	28	726	312	1540	2	601210CBDBB55011	0	0	[non chaine]
reelle	5	player-masked-property (i5)	7	7	1694	1230	1541	2	74E181102C08806F	24	5117969	[non chaine]
reelle	5	player-masked-property (i5)	7	22	266	2095	1534	2	787DD59FA031A2A5	24	8904025	[CHAINE]
