ti	i	composant	niveau	statut	annonces	pct_records_ti	plancher_bruit	exces_sur_plancher	temoin_vide	temoin_inconnu	temoin_occupe
10	0	managed-object-boundary-visibility-component	0	porte	1347	3.50	317.0	4.2	1389	1975	180863
10	1	managed-object-boundary-color-component	1	non_porte	1194	3.10	317.0	3.8	945	530	156700
10	2	managed-object-navpoint-component	2	non_porte	435	1.13	317.0	1.4	726	472	1491
10	3	managed-object-navpoint-component	1	non_porte	322	0.84	317.0	1.0	241	476	724
10	4	managed-object-navpoint-component	1	non_porte	966	2.51	317.0	3.0	804	1767	3236
10	5	managed-object-navpoint-component	1	non_porte	593	1.54	317.0	1.9	254	689	67421
10	6	managed-object-navpoint-component	1	non_porte	437	1.13	317.0	1.4	541	669	378
10	7	managed-object-navpoint-component	1	non_porte	329	0.85	317.0	1.0	232	743	311
10	8	managed-object-navpoint-component	1	non_porte	487	1.26	317.0	1.5	353	874	932
10	9	managed-object-navpoint-component	1	non_porte	351	0.91	317.0	1.1	336	611	1908
10	10	managed-object-navpoint-component	1	non_porte	960	2.49	317.0	3.0	279	465	468
10	11	managed-object-navpoint-component	1	non_porte	289	0.75	317.0	0.9	297	412	2997
10	12	managed-object-navpoint-component	1	non_porte	361	0.94	317.0	1.1	364	654	232
10	13	managed-object-navpoint-component	1	non_porte	263	0.68	317.0	0.8	1059	494	943
10	14	managed-object-navpoint-component	1	non_porte	306	0.79	317.0	1.0	215	301	333
10	15	managed-object-navpoint-component	1	non_porte	328	0.85	317.0	1.0	151	388	414
10	16	managed-object-navpoint-component	1	non_porte	375	0.97	317.0	1.2	3099	671	981
10	17	managed-object-navpoint-component	1	non_porte	267	0.69	317.0	0.8	226	778	677
10	18	managed-object-networked-property-component	1	non_porte	346	0.90	317.0	1.1	404	479	413
10	19	managed-object-networked-property-component	1	non_porte	305	0.79	317.0	1.0	150	398	317
10	20	managed-object-networked-property-component	1	non_porte	378	0.98	317.0	1.2	384	525	3233
10	21	managed-object-networked-property-component	1	non_porte	132	0.34	317.0	0.4	139	373	110094
10	22	managed-object-interaction-filter-component	1	non_porte	272	0.71	317.0	0.9	182	172	566
10	23	managed-object-flags-component	2	non_porte	188	0.49	317.0	0.6	168	186	223
10	24	managed-object-looping-sound-component	1	non_porte	639	1.66	317.0	2.0	169	399	751
10	25	managed-object-looping-sound-component	1	non_porte	610	1.58	317.0	1.9	160	313	182550
