ti	i	composant	statut	annonces_fenetre	annonces_hors	secondes_fenetre	secondes_hors	densite_fenetre	densite_hors	rapport	rapport_serre_1s
10	0	managed-object-boundary-visibility-component	porte	565	782	249.0	359.2	2.269	2.177	1.04x	0.96x
10	1	managed-object-boundary-color-component	non_porte	524	670	249.0	359.2	2.104	1.865	1.13x	1.32x
10	2	managed-object-navpoint-component	non_porte	212	223	249.0	359.2	0.851	0.621	1.37x	1.19x
10	3	managed-object-navpoint-component	non_porte	180	142	249.0	359.2	0.723	0.395	1.83x	1.69x
10	4	managed-object-navpoint-component	non_porte	496	470	249.0	359.2	1.992	1.309	1.52x	1.52x
10	5	managed-object-navpoint-component	non_porte	258	335	249.0	359.2	1.036	0.933	1.11x	1.37x
10	6	managed-object-navpoint-component	non_porte	203	234	249.0	359.2	0.815	0.652	1.25x	1.28x
10	7	managed-object-navpoint-component	non_porte	133	196	249.0	359.2	0.534	0.546	0.98x	0.91x
10	8	managed-object-navpoint-component	non_porte	246	241	249.0	359.2	0.988	0.671	1.47x	1.17x
10	9	managed-object-navpoint-component	non_porte	165	186	249.0	359.2	0.663	0.518	1.28x	0.99x
10	10	managed-object-navpoint-component	non_porte	328	632	249.0	359.2	1.317	1.760	0.75x	0.83x
10	11	managed-object-navpoint-component	non_porte	103	186	249.0	359.2	0.414	0.518	0.80x	0.66x
10	12	managed-object-navpoint-component	non_porte	200	161	249.0	359.2	0.803	0.448	1.79x	1.32x
10	13	managed-object-navpoint-component	non_porte	84	179	249.0	359.2	0.337	0.498	0.68x	0.65x
10	14	managed-object-navpoint-component	non_porte	130	176	249.0	359.2	0.522	0.490	1.07x	1.12x
10	15	managed-object-navpoint-component	non_porte	89	239	249.0	359.2	0.357	0.665	0.54x	0.41x
10	16	managed-object-navpoint-component	non_porte	174	201	249.0	359.2	0.699	0.560	1.25x	0.78x
10	17	managed-object-navpoint-component	non_porte	106	161	249.0	359.2	0.426	0.448	0.95x	0.91x
10	18	managed-object-networked-property-component	non_porte	139	207	249.0	359.2	0.558	0.576	0.97x	0.86x
10	19	managed-object-networked-property-component	non_porte	137	168	249.0	359.2	0.550	0.468	1.18x	1.72x
10	20	managed-object-networked-property-component	non_porte	173	205	249.0	359.2	0.695	0.571	1.22x	1.94x
10	21	managed-object-networked-property-component	non_porte	57	75	249.0	359.2	0.229	0.209	1.10x	1.61x
10	22	managed-object-interaction-filter-component	non_porte	133	139	249.0	359.2	0.534	0.387	1.38x	0.83x
10	23	managed-object-flags-component	non_porte	90	98	249.0	359.2	0.361	0.273	1.32x	1.30x
10	24	managed-object-looping-sound-component	non_porte	331	308	249.0	359.2	1.329	0.858	1.55x	1.46x
10	25	managed-object-looping-sound-component	non_porte	318	292	249.0	359.2	1.277	0.813	1.57x	1.42x
10	26	managed-object-rtpc-component	non_porte	3028	3494	249.0	359.2	12.160	9.728	1.25x	1.18x
10	27	managed-object-rtpc-component	non_porte	10422	6333	249.0	359.2	41.852	17.633	2.37x	1.73x
10	28	managed-object-rtpc-component	non_porte	72	173	249.0	359.2	0.289	0.482	0.60x	0.54x
10	29	managed-object-rtpc-component	non_porte	103	193	249.0	359.2	0.414	0.537	0.77x	0.78x
10	30	(hors grammaire)	hors_grammaire	102	147	249.0	359.2	0.410	0.409	1.00x	1.11x
10	31	(hors grammaire)	hors_grammaire	145	168	249.0	359.2	0.582	0.468	1.24x	1.19x
10	32	(hors grammaire)	hors_grammaire	194	236	249.0	359.2	0.779	0.657	1.19x	0.94x
10	33	(hors grammaire)	hors_grammaire	217	235	249.0	359.2	0.871	0.654	1.33x	1.00x
10	34	(hors grammaire)	hors_grammaire	137	226	249.0	359.2	0.550	0.629	0.87x	0.64x
10	35	(hors grammaire)	hors_grammaire	108	152	249.0	359.2	0.434	0.423	1.02x	1.30x
10	36	(hors grammaire)	hors_grammaire	385	498	249.0	359.2	1.546	1.387	1.12x	0.92x
10	37	(hors grammaire)	hors_grammaire	87	138	249.0	359.2	0.349	0.384	0.91x	1.04x
10	38	(hors grammaire)	hors_grammaire	102	182	249.0	359.2	0.410	0.507	0.81x	0.82x
10	39	(hors grammaire)	hors_grammaire	138	183	249.0	359.2	0.554	0.510	1.09x	0.82x
10	40	(hors grammaire)	hors_grammaire	120	159	249.0	359.2	0.482	0.443	1.09x	0.86x
10	41	(hors grammaire)	hors_grammaire	109	145	249.0	359.2	0.438	0.404	1.08x	1.18x
10	42	(hors grammaire)	hors_grammaire	314	469	249.0	359.2	1.261	1.306	0.97x	1.07x
10	43	(hors grammaire)	hors_grammaire	134	233	249.0	359.2	0.538	0.649	0.83x	0.92x
10	44	(hors grammaire)	hors_grammaire	62	100	249.0	359.2	0.249	0.278	0.89x	0.73x
10	45	(hors grammaire)	hors_grammaire	355	405	249.0	359.2	1.426	1.128	1.26x	1.29x
10	46	(hors grammaire)	hors_grammaire	60	96	249.0	359.2	0.241	0.267	0.90x	0.80x
10	47	(hors grammaire)	hors_grammaire	121	130	249.0	359.2	0.486	0.362	1.34x	1.79x
10	48	(hors grammaire)	hors_grammaire	108	105	249.0	359.2	0.434	0.292	1.48x	1.00x
10	49	(hors grammaire)	hors_grammaire	77	68	249.0	359.2	0.309	0.189	1.63x	1.43x
10	50	(hors grammaire)	hors_grammaire	94	93	249.0	359.2	0.377	0.259	1.46x	1.73x
10	51	(hors grammaire)	hors_grammaire	100	123	249.0	359.2	0.402	0.342	1.17x	1.70x
10	52	(hors grammaire)	hors_grammaire	161	173	249.0	359.2	0.647	0.482	1.34x	1.42x
10	53	(hors grammaire)	hors_grammaire	83	140	249.0	359.2	0.333	0.390	0.86x	0.79x
10	54	(hors grammaire)	hors_grammaire	86	79	249.0	359.2	0.345	0.220	1.57x	1.42x
10	55	(hors grammaire)	hors_grammaire	120	121	249.0	359.2	0.482	0.337	1.43x	1.32x
10	56	(hors grammaire)	hors_grammaire	108	126	249.0	359.2	0.434	0.351	1.24x	1.45x
10	57	(hors grammaire)	hors_grammaire	123	93	249.0	359.2	0.494	0.259	1.91x	1.32x
10	58	(hors grammaire)	hors_grammaire	238	223	249.0	359.2	0.956	0.621	1.54x	1.59x
10	59	(hors grammaire)	hors_grammaire	207	117	249.0	359.2	0.831	0.326	2.55x	1.88x
10	60	(hors grammaire)	hors_grammaire	130	145	249.0	359.2	0.522	0.404	1.29x	1.25x
10	61	(hors grammaire)	hors_grammaire	161	248	249.0	359.2	0.647	0.691	0.94x	0.92x
10	62	(hors grammaire)	hors_grammaire	43	73	249.0	359.2	0.173	0.203	0.85x	0.69x
10	63	(hors grammaire)	hors_grammaire	35	88	249.0	359.2	0.141	0.245	0.57x	0.70x
12	0	managed-navpoint-sub-type-component	porte	98	118	249.0	359.2	0.394	0.329	1.20x	1.06x
12	1	managed-navpoint-flags-component	non_porte	135	181	249.0	359.2	0.542	0.504	1.08x	1.08x
12	2	managed-navpoint-visibility-distance-filters-component	non_porte	61	83	249.0	359.2	0.245	0.231	1.06x	1.26x
12	3	managed-navpoint-visible-offscreen-filters-component	non_porte	125	113	249.0	359.2	0.502	0.315	1.60x	1.68x
12	4	managed-navpoint-can-be-occluded-filters-component	non_porte	109	98	249.0	359.2	0.438	0.273	1.60x	2.34x
12	5	managed-navpoint-visibility-filter-component	non_porte	59	65	249.0	359.2	0.237	0.181	1.31x	1.31x
12	6	managed-navpoint-docking-filter-component	non_porte	295	300	249.0	359.2	1.185	0.835	1.42x	1.38x
12	7	managed-navpoint-docking-order-component	non_porte	71	110	249.0	359.2	0.285	0.306	0.93x	0.57x
12	8	managed-navpoint-docking-group-name-component	non_porte	88	139	249.0	359.2	0.353	0.387	0.91x	1.00x
12	9	managed-navpoint-formatted-text-component	non_porte	99	107	249.0	359.2	0.398	0.298	1.33x	1.85x
12	10	managed-navpoint-timers-component	non_porte	85	113	249.0	359.2	0.341	0.315	1.08x	1.13x
12	11	managed-navpoint-manual-timer-initial-duration-component	non_porte	79	61	249.0	359.2	0.317	0.170	1.87x	1.07x
12	12	managed-navpoint-manual-timer-current-duration-component	non_porte	60	79	249.0	359.2	0.241	0.220	1.10x	0.38x
12	13	managed-navpoint-top-progress	non_porte	41	93	249.0	359.2	0.165	0.259	0.64x	0.85x
12	14	managed-navpoint-radial-progress	non_porte	10408	6380	249.0	359.2	41.795	17.764	2.35x	1.75x
12	15	managed-navpoint-bottom-progress	non_porte	52	83	249.0	359.2	0.209	0.231	0.90x	1.12x
12	16	managed-navpoint-override-flags	non_porte	57	77	249.0	359.2	0.229	0.214	1.07x	0.79x
12	17	managed-navpoint-object-marker	non_porte	55	65	249.0	359.2	0.221	0.181	1.22x	0.61x
12	18	managed-navpoint-position-offset	non_porte	41	78	249.0	359.2	0.165	0.217	0.76x	0.67x
12	19	managed-navpoint-visual-states-component	non_porte	58	62	249.0	359.2	0.233	0.173	1.35x	1.37x
12	20	managed-navpoint-visual-state-groups-component-0	non_porte	120	142	249.0	359.2	0.482	0.395	1.22x	1.92x
12	21	managed-navpoint-visual-state-groups-component-1	non_porte	141	106	249.0	359.2	0.566	0.295	1.92x	2.97x
12	22	managed-navpoint-visual-state-groups-component-2	non_porte	200	160	249.0	359.2	0.803	0.445	1.80x	2.57x
12	23	managed-navpoint-visual-state-groups-component-3	non_porte	21	50	249.0	359.2	0.084	0.139	0.61x	0.90x
12	24	managed-navpoint-visual-state-groups-component-4	non_porte	34	44	249.0	359.2	0.137	0.123	1.11x	1.64x
12	25	managed-navpoint-visual-state-groups-component-5	non_porte	38	57	249.0	359.2	0.153	0.159	0.96x	1.37x
12	26	managed-navpoint-visual-state-groups-component-6	non_porte	45	66	249.0	359.2	0.181	0.184	0.98x	0.73x
12	27	managed-navpoint-visual-state-groups-component-7	non_porte	42	82	249.0	359.2	0.169	0.228	0.74x	0.33x
12	28	(hors grammaire)	hors_grammaire	35	67	249.0	359.2	0.141	0.187	0.75x	1.25x
12	29	(hors grammaire)	hors_grammaire	22	61	249.0	359.2	0.088	0.170	0.52x	0.67x
12	30	(hors grammaire)	hors_grammaire	37	80	249.0	359.2	0.149	0.223	0.67x	1.13x
12	31	(hors grammaire)	hors_grammaire	52	56	249.0	359.2	0.209	0.156	1.34x	1.65x
12	32	(hors grammaire)	hors_grammaire	65	56	249.0	359.2	0.261	0.156	1.67x	1.97x
12	33	(hors grammaire)	hors_grammaire	50	49	249.0	359.2	0.201	0.136	1.47x	1.47x
12	34	(hors grammaire)	hors_grammaire	60	46	249.0	359.2	0.241	0.128	1.88x	1.78x
12	35	(hors grammaire)	hors_grammaire	53	59	249.0	359.2	0.213	0.164	1.30x	1.26x
12	36	(hors grammaire)	hors_grammaire	58	110	249.0	359.2	0.233	0.306	0.76x	0.96x
12	37	(hors grammaire)	hors_grammaire	27	84	249.0	359.2	0.108	0.234	0.46x	0.60x
12	38	(hors grammaire)	hors_grammaire	72	63	249.0	359.2	0.289	0.175	1.65x	1.37x
12	39	(hors grammaire)	hors_grammaire	35	49	249.0	359.2	0.141	0.136	1.03x	1.60x
12	40	(hors grammaire)	hors_grammaire	31	50	249.0	359.2	0.124	0.139	0.89x	0.95x
12	41	(hors grammaire)	hors_grammaire	12	38	249.0	359.2	0.048	0.106	0.46x	1.04x
12	42	(hors grammaire)	hors_grammaire	33	50	249.0	359.2	0.133	0.139	0.95x	0.67x
12	43	(hors grammaire)	hors_grammaire	17	68	249.0	359.2	0.068	0.189	0.36x	0.49x
12	44	(hors grammaire)	hors_grammaire	36	59	249.0	359.2	0.145	0.164	0.88x	0.72x
12	45	(hors grammaire)	hors_grammaire	33	55	249.0	359.2	0.133	0.153	0.87x	0.40x
12	46	(hors grammaire)	hors_grammaire	37	53	249.0	359.2	0.149	0.148	1.01x	1.37x
12	47	(hors grammaire)	hors_grammaire	26	55	249.0	359.2	0.104	0.153	0.68x	0.44x
12	48	(hors grammaire)	hors_grammaire	42	55	249.0	359.2	0.169	0.153	1.10x	1.51x
12	49	(hors grammaire)	hors_grammaire	28	66	249.0	359.2	0.112	0.184	0.61x	0.65x
12	50	(hors grammaire)	hors_grammaire	39	44	249.0	359.2	0.157	0.123	1.28x	1.11x
12	51	(hors grammaire)	hors_grammaire	39	37	249.0	359.2	0.157	0.103	1.52x	1.46x
12	52	(hors grammaire)	hors_grammaire	87	108	249.0	359.2	0.349	0.301	1.16x	0.84x
12	53	(hors grammaire)	hors_grammaire	63	78	249.0	359.2	0.253	0.217	1.16x	1.61x
12	54	(hors grammaire)	hors_grammaire	33	54	249.0	359.2	0.133	0.150	0.88x	0.79x
12	55	(hors grammaire)	hors_grammaire	57	68	249.0	359.2	0.229	0.189	1.21x	0.98x
12	56	(hors grammaire)	hors_grammaire	52	59	249.0	359.2	0.209	0.164	1.27x	1.06x
12	57	(hors grammaire)	hors_grammaire	66	64	249.0	359.2	0.265	0.178	1.49x	1.18x
12	58	(hors grammaire)	hors_grammaire	61	89	249.0	359.2	0.245	0.248	0.99x	1.09x
12	59	(hors grammaire)	hors_grammaire	22	50	249.0	359.2	0.088	0.139	0.63x	0.41x
12	60	(hors grammaire)	hors_grammaire	66	65	249.0	359.2	0.265	0.181	1.46x	1.04x
12	61	(hors grammaire)	hors_grammaire	29	65	249.0	359.2	0.116	0.181	0.64x	0.24x
12	62	(hors grammaire)	hors_grammaire	37	66	249.0	359.2	0.149	0.184	0.81x	0.59x
12	63	(hors grammaire)	hors_grammaire	17	33	249.0	359.2	0.068	0.092	0.74x	0.48x
13	0	managed-object-property-name-component	porte	62	120	249.0	359.2	0.249	0.334	0.75x	1.30x
13	1	managed-object-property-component	non_porte	2085	1550	249.0	359.2	8.373	4.316	1.94x	1.70x
13	2	managed-object-player-masked-property-component	non_porte	30	38	249.0	359.2	0.120	0.106	1.14x	1.42x
13	3	managed-object-player-masked-property-component	non_porte	57	47	249.0	359.2	0.229	0.131	1.75x	1.30x
13	4	managed-object-player-masked-property-component	non_porte	86	59	249.0	359.2	0.345	0.164	2.10x	0.93x
13	5	managed-object-player-masked-property-component	non_porte	26	38	249.0	359.2	0.104	0.106	0.99x	0.78x
13	6	managed-object-player-masked-property-component	non_porte	24	52	249.0	359.2	0.096	0.145	0.67x	0.39x
13	7	managed-object-player-masked-property-component	non_porte	54	75	249.0	359.2	0.217	0.209	1.04x	0.56x
13	8	managed-object-player-masked-property-component	non_porte	38	101	249.0	359.2	0.153	0.281	0.54x	0.61x
13	9	managed-object-player-masked-property-component	non_porte	36	37	249.0	359.2	0.145	0.103	1.40x	1.08x
13	10	managed-object-player-masked-property-component	non_porte	28	34	249.0	359.2	0.112	0.095	1.19x	1.18x
13	11	managed-object-player-masked-property-component	non_porte	28	28	249.0	359.2	0.112	0.078	1.44x	0.91x
13	12	managed-object-player-masked-property-component	non_porte	38	54	249.0	359.2	0.153	0.150	1.01x	1.07x
13	13	managed-object-player-masked-property-component	non_porte	1805	1542	249.0	359.2	7.248	4.293	1.69x	1.18x
13	14	managed-object-player-masked-property-component	non_porte	100	115	249.0	359.2	0.402	0.320	1.25x	0.96x
13	15	managed-object-player-masked-property-component	non_porte	19	15	249.0	359.2	0.076	0.042	1.83x	1.17x
13	16	managed-object-player-masked-property-component	non_porte	50	65	249.0	359.2	0.201	0.181	1.11x	1.01x
13	17	managed-object-player-masked-property-component	non_porte	869	1172	249.0	359.2	3.490	3.263	1.07x	0.93x
13	18	managed-object-player-masked-property-component	non_porte	26	23	249.0	359.2	0.104	0.064	1.63x	0.91x
13	19	managed-object-player-masked-property-component	non_porte	36	53	249.0	359.2	0.145	0.148	0.98x	0.85x
13	20	managed-object-player-masked-property-component	non_porte	64	89	249.0	359.2	0.257	0.248	1.04x	0.64x
13	21	managed-object-player-masked-property-component	non_porte	1813	1541	249.0	359.2	7.280	4.291	1.70x	1.18x
13	22	managed-object-player-masked-property-component	non_porte	27	26	249.0	359.2	0.108	0.072	1.50x	1.12x
13	23	managed-object-player-masked-property-component	non_porte	29	39	249.0	359.2	0.116	0.109	1.07x	1.82x
