largeur_slot	classe	records	slots_peuples	records_par_slot	hors_grammaire_pct	plancher_bruit
11	ti=10	26049	40	651.2	50.44	381.0
11	ti=12	4365	7	623.6	28.29	32.0
11	ti=23	0	0	0.0	0.00	0.0
11	ti=11	0	0	0.0	0.00	0.0
11	ti=13	18074	26	695.2	49.86	370.0
11	ti=47	6066	8	758.2	88.18	58.0
11	ti=4	220	1	220.0	98.18	4.5
11	temoin_VIDE	0	0	0.0	0.00	0.0
11	temoin_INCONNU	188132	132	1425.2	0.00	1479.5
11	temoin_OCCUPE	137302	132	1040.2	0.00	1713.5
12	ti=10	26997	81	333.3	56.75	506.5
12	ti=12	3046	16	190.4	64.18	56.0
12	ti=23	0	0	0.0	0.00	0.0
12	ti=11	0	0	0.0	0.00	0.0
12	ti=13	9696	26	372.9	39.48	156.0
12	ti=47	4527	8	565.9	96.49	52.0
12	ti=4	126	1	126.0	96.03	1.0
12	temoin_VIDE	0	0	0.0	0.00	0.0
12	temoin_INCONNU	48189	132	365.1	0.00	1045.5
12	temoin_OCCUPE	129516	132	981.2	0.00	1917.0
13	ti=10	38525	81	475.6	22.56	317.0
13	ti=12	22471	16	1404.4	13.98	119.5
13	ti=23	0	0	0.0	0.00	0.0
13	ti=11	0	0	0.0	0.00	0.0
13	ti=13	35687	26	1372.6	70.33	89.5
13	ti=47	16591	8	2073.9	4.71	11.0
13	ti=4	35698	1	35698.0	0.68	2.0
13	temoin_VIDE	26899	132	203.8	0.00	288.0
13	temoin_INCONNU	23725	132	179.7	0.00	444.0
13	temoin_OCCUPE	208172	132	1577.1	0.00	559.5
14	ti=10	17835	81	220.2	86.23	117.0
14	ti=12	825	16	51.6	62.42	16.0
14	ti=23	0	0	0.0	0.00	0.0
14	ti=11	0	0	0.0	0.00	0.0
14	ti=13	1461	26	56.2	55.10	29.5
14	ti=47	780	8	97.5	96.92	5.0
14	ti=4	35	1	35.0	100.00	0.0
14	temoin_VIDE	57359	132	434.5	0.00	127.5
14	temoin_INCONNU	48999	132	371.2	0.00	829.5
14	temoin_OCCUPE	17256	132	130.7	0.00	329.5
15	ti=10	6172	81	76.2	83.00	42.5
15	ti=12	310	16	19.4	61.61	6.0
15	ti=23	0	0	0.0	0.00	0.0
15	ti=11	0	0	0.0	0.00	0.0
15	ti=13	920	26	35.4	47.17	17.0
15	ti=47	500	8	62.5	98.40	3.0
15	ti=4	10	1	10.0	90.00	0.0
15	temoin_VIDE	3850	132	29.2	0.00	74.5
15	temoin_INCONNU	10334	132	78.3	0.00	190.0
15	temoin_OCCUPE	8535	132	64.7	0.00	154.0
