bande	i	composant	tag	chunk	paquet	bit_charge	slot	gen	bits_bruts_hex	pay_bits	payload
reelle	1	managed-object-property-component	0	3	2152	33	1542	1	0C291833A5A8592C	0	0	[non chaine]
reelle	1	managed-object-property-component	0	4	1970	33	1545	1	007E810321E8592C	0	0	[non chaine]
reelle	1	managed-object-property-component	0	4	2026	1913	1536	0	000003A0201A2FC0	0	0	[non chaine]
reelle	1	managed-object-property-component	1	9	128	1238	1546	0	10C230016418F6A7	4	0	[non chaine]
reelle	1	managed-object-property-component	1	9	152	1333	1546	1	10C24001559063B5	4	0	[non chaine]
reelle	1	managed-object-property-component	1	22	390	388	1547	3	1642BE280C2671AA	4	6	[non chaine]
reelle	1	managed-object-property-component	2	5	1104	1597	1536	0	200003A0203BF000	1	0	[non chaine]
reelle	1	managed-object-property-component	2	12	1520	1190	1541	0	20008418CC972F83	1	0	[non chaine]
reelle	1	managed-object-property-component	2	25	2176	631	1528	1	2B00298461131240	1	1	[non chaine]
reelle	1	managed-object-property-component	3	2	2076	1321	1537	1	38003E698210B40D	24	8389606	[CHAINE]
reelle	1	managed-object-property-component	3	2	2088	1394	1537	1	380089599550B6F9	24	8390805	[CHAINE]
reelle	1	managed-object-property-component	3	2	2100	1332	1537	1	3800D4399550B6F9	24	8392003	[CHAINE]
reelle	1	managed-object-property-component	4	2	2076	1258	1536	1	4000000009805082	32	0	[CHAINE]
reelle	1	managed-object-property-component	4	3	1532	5694	1535	1	4000000009945092	32	0	[CHAINE]
reelle	1	managed-object-property-component	4	3	1538	1265	1536	1	4FFFFFFFF9805082	32	4294967295	[CHAINE]
reelle	1	managed-object-property-component	5	30	1742	11953	1525	1	567F43AC397D9082	32	1744059075	[CHAINE]
reelle	1	managed-object-property-component	5	30	1742	12016	1526	1	5D690D6B497DD082	32	3599816372	[CHAINE]
reelle	1	managed-object-property-component	5	30	1742	12079	1527	1	5F2F9EB279821130	32	4076464935	[CHAINE]
reelle	1	managed-object-property-component	6	7	1860	857	1537	0	6BF8109522134C00	32	3212904786	[non chaine]
reelle	1	managed-object-property-component	6	7	1988	972	1536	3	61B7A2B522134A00	32	460991314	[non chaine]
reelle	1	managed-object-property-component	6	10	1918	921	1537	0	68C65AAAA21F4800	32	2355473066	[non chaine]
reelle	1	managed-object-property-component	8	5	1884	1830	1536	0	800003A0201BF3E0	0	0	[non chaine]
reelle	1	managed-object-property-component	8	14	1196	149	1536	3	81C5A1020C26247A	0	0	[non chaine]
reelle	1	managed-object-property-component	8	15	1780	510	1536	1	8524BDA233480022	0	0	[non chaine]
reelle	1	managed-object-property-component	10	9	674	1806	1547	0	AD08EBD1CB4B3BD2	0	0	[non chaine]
reelle	1	managed-object-property-component	10	16	426	935	1523	1	A804582DE9021854	0	0	[non chaine]
reelle	1	managed-object-property-component	10	28	1200	1560	1536	0	A00003A0201B9020	0	0	[non chaine]
reelle	1	managed-object-property-component	12	22	410	149	1539	3	CF42BF3815A6707A	0	0	[non chaine]
reelle	1	managed-object-property-component	13	30	234	149	1539	1	DAC3388C0A265909	0	0	[non chaine]
reelle	1	managed-object-property-component	14	6	602	2586	1536	0	E00003A136C23001	0	0	[non chaine]
reelle	1	managed-object-property-component	14	6	638	2762	1536	0	E00003A0201AE800	0	0	[non chaine]
reelle	1	managed-object-property-component	14	6	866	2216	1536	0	E00003A1373A13C0	0	0	[non chaine]
reelle	1	managed-object-property-component	15	30	300	149	1537	2	F086B81E1FA65959	0	0	[non chaine]
reelle	2	player-masked-property (i2)	0	4	126	33	1542	1	0C7E810321E8592C	0	0	[CHAINE]
reelle	2	player-masked-property (i2)	0	4	1992	33	1545	1	007E810321E8592C	0	0	[non chaine]
reelle	2	player-masked-property (i2)	0	5	2082	33	1538	1	047E810321E8592C	0	0	[non chaine]
reelle	2	player-masked-property (i2)	1	6	910	1452	1529	2	1681A15150200065	0	0	[non chaine]
reelle	2	player-masked-property (i2)	1	9	1170	953	1545	2	1681A1515020001B	0	0	[non chaine]
reelle	2	player-masked-property (i2)	1	12	1656	784	1545	2	1681A1515020008C	0	0	[non chaine]
reelle	2	player-masked-property (i2)	2	12	898	1528	1536	0	200003A0201BF4A0	0	0	[non chaine]
reelle	2	player-masked-property (i2)	2	16	2304	1339	1546	1	20011948689DEBB3	0	0	[non chaine]
reelle	2	player-masked-property (i2)	2	22	206	149	1538	2	25C5A10211A6654A	0	0	[non chaine]
reelle	2	player-masked-property (i2)	3	3	1216	1582	1522	2	3005404B1100A500	0	0	[non chaine]
reelle	2	player-masked-property (i2)	4	11	2322	1562	1536	0	400003A13FC23042	0	0	[non chaine]
reelle	2	player-masked-property (i2)	4	17	310	850	1540	2	4AB8CBB837ED11D2	0	0	[non chaine]
reelle	2	player-masked-property (i2)	4	19	384	1802	1539	2	408FCBFC49569864	0	0	[non chaine]
reelle	2	player-masked-property (i2)	5	25	2246	173	1547	3	5F022102EB7E03A9	0	0	[CHAINE]
reelle	2	player-masked-property (i2)	5	26	60	149	1539	3	59C23F7E13A621E9	0	0	[non chaine]
reelle	2	player-masked-property (i2)	6	6	1886	1563	1536	0	600003A1382A19C0	0	0	[non chaine]
reelle	2	player-masked-property (i2)	6	6	2210	1346	1536	0	600003A0201BF3E0	0	0	[non chaine]
reelle	2	player-masked-property (i2)	6	7	184	1456	1536	0	600003A1389A3001	0	0	[non chaine]
reelle	2	player-masked-property (i2)	7	15	814	1192	1541	2	71D641BA7E8B4427	24	1926171	[non chaine]
reelle	2	player-masked-property (i2)	8	16	1432	5727	1536	0	8A0000000680E200	32	2684354560	[non chaine]
reelle	2	player-masked-property (i2)	8	19	270	149	1538	0	8184BF7E12A600B9	32	407631841	[non chaine]
reelle	2	player-masked-property (i2)	8	25	2238	149	1539	3	82048007C9898273	32	541589628	[non chaine]
reelle	2	player-masked-property (i2)	9	9	2356	327	1537	3	9F62C01280875BCE	32	4130079016	[non chaine]
reelle	2	player-masked-property (i2)	10	24	2088	1962	1536	0	A00003A0201B97C4	1	0	[non chaine]
reelle	2	player-masked-property (i2)	12	7	676	1723	1536	0	C00003A0201BF600	4	0	[non chaine]
reelle	2	player-masked-property (i2)	12	21	284	1012	1545	2	C02121FF07EAD522	4	0	[non chaine]
reelle	2	player-masked-property (i2)	12	25	122	1840	1536	0	C00003A0201BE8C0	4	0	[non chaine]
reelle	2	player-masked-property (i2)	14	9	1830	1729	1537	0	E0514F3C9000420C	4	0	[non chaine]
reelle	3	player-masked-property (i3)	0	4	148	33	1542	1	0C7E810321E8592C	0	0	[CHAINE]
reelle	3	player-masked-property (i3)	0	16	888	317	1524	3	0B5B111925001155	0	0	[CHAINE]
reelle	3	player-masked-property (i3)	0	5	2104	33	1538	1	047E810321E8592C	0	0	[non chaine]
reelle	3	player-masked-property (i3)	1	12	818	321	1545	1	1EB2757E8C6A2254	0	0	[non chaine]
reelle	3	player-masked-property (i3)	3	13	2182	1988	1520	0	3D07F6DD0F08C004	0	0	[non chaine]
reelle	3	player-masked-property (i3)	3	22	1314	149	1546	0	3B4622021D26591A	0	0	[non chaine]
reelle	3	player-masked-property (i3)	4	14	794	1033	1525	0	4558806FCC0203BF	0	0	[non chaine]
reelle	3	player-masked-property (i3)	4	25	1310	1431	1536	0	400003A0201A4800	0	0	[non chaine]
reelle	3	player-masked-property (i3)	4	25	1826	1901	1536	0	400003A1576A4001	0	0	[non chaine]
reelle	3	player-masked-property (i3)	5	15	1006	119	1530	1	5E6003F5E13387AC	0	0	[non chaine]
reelle	3	player-masked-property (i3)	6	7	2140	1778	1536	0	600003A0201B2000	0	0	[non chaine]
reelle	3	player-masked-property (i3)	6	8	810	1548	1536	0	600003A0205BF320	0	0	[non chaine]
reelle	3	player-masked-property (i3)	6	22	1334	149	1536	2	6A47248407A65BAA	0	0	[non chaine]
reelle	3	player-masked-property (i3)	7	9	1764	1467	1523	3	737FCF388810F9E7	24	3669235	[CHAINE]
reelle	3	player-masked-property (i3)	7	9	2094	183	1541	0	7D7F910B24001559	24	14154000	[non chaine]
reelle	3	player-masked-property (i3)	8	9	224	1558	1536	0	800003A13BA213C0	32	14867	[non chaine]
reelle	3	player-masked-property (i3)	8	22	1324	149	1545	2	8E8623841AA65A6A	32	3898751041	[non chaine]
reelle	3	player-masked-property (i3)	10	11	572	1530	1536	0	A00003A0203BF7C0	1	0	[non chaine]
reelle	3	player-masked-property (i3)	10	13	2162	2294	1526	2	AF2DC7DD0F08C004	1	1	[non chaine]
reelle	3	player-masked-property (i3)	11	4	1802	149	1546	3	B28331021A25F229	4	2	[non chaine]
reelle	3	player-masked-property (i3)	11	24	2030	1467	1541	2	BC8349415AA44034	4	12	[non chaine]
reelle	3	player-masked-property (i3)	12	9	896	1932	1536	0	C00003A13C323001	4	0	[non chaine]
reelle	3	player-masked-property (i3)	12	10	606	1331	1536	0	C00003A13DAA4001	4	0	[non chaine]
reelle	3	player-masked-property (i3)	12	10	1118	1490	1536	0	C00003A0201AFFC0	4	0	[non chaine]
reelle	3	player-masked-property (i3)	13	3	1920	1049	1541	0	D3630201AFFC080E	4	3	[non chaine]
reelle	3	player-masked-property (i3)	13	7	1556	394	1547	3	D682A80617265D99	4	6	[non chaine]
reelle	3	player-masked-property (i3)	13	10	1806	149	1539	3	D881587980002B4C	4	8	[non chaine]
reelle	3	player-masked-property (i3)	14	23	48	2121	1536	3	E7476B704058241A	4	7	[non chaine]
reelle	3	player-masked-property (i3)	14	28	116	1358	1536	0	E00003A0203BF3E0	4	0	[non chaine]
reelle	4	player-masked-property (i4)	0	3	712	1075	1541	0	0A88064191626A2E	0	0	[non chaine]
reelle	4	player-masked-property (i4)	0	3	1240	524	1545	3	08900045641886A8	0	0	[non chaine]
reelle	4	player-masked-property (i4)	0	4	176	33	1542	1	0C7E810321E8592C	0	0	[CHAINE]
reelle	4	player-masked-property (i4)	1	29	308	931	1536	0	13044E28C055905F	0	0	[non chaine]
reelle	4	player-masked-property (i4)	2	9	950	1909	1536	0	200003A13C324001	0	0	[non chaine]
reelle	4	player-masked-property (i4)	3	11	102	691	1547	3	3A90005564182127	0	0	[non chaine]
reelle	4	player-masked-property (i4)	3	25	688	790	1545	0	30010863CCA129AE	0	0	[non chaine]
reelle	4	player-masked-property (i4)	4	13	1486	1590	1542	3	4CD730854251A421	0	0	[CHAINE]
reelle	4	player-masked-property (i4)	4	11	1126	512	1547	3	4098004565E7C193	0	0	[non chaine]
reelle	4	player-masked-property (i4)	4	12	1192	614	1546	1	4C9000556419A167	0	0	[non chaine]
reelle	4	player-masked-property (i4)	5	20	840	539	1523	2	5124A30016418062	0	0	[non chaine]
reelle	4	player-masked-property (i4)	6	7	1576	149	1547	3	6641AC0A01265ED9	0	0	[non chaine]
reelle	4	player-masked-property (i4)	6	7	1716	149	1547	3	69C13F7EC3899752	0	0	[non chaine]
reelle	4	player-masked-property (i4)	6	9	2250	1808	1536	0	600003A0201BF3E0	0	0	[non chaine]
reelle	4	player-masked-property (i4)	7	16	1954	562	1540	0	708C0059067F59DA	24	573445	[non chaine]
reelle	4	player-masked-property (i4)	7	17	416	1149	1545	2	76880641813A9086	24	6848612	[non chaine]
reelle	4	player-masked-property (i4)	7	17	1602	731	1540	0	788C00590634C96A	24	8962053	[non chaine]
reelle	4	player-masked-property (i4)	8	19	1406	793	1525	1	8A8C0059066EAA1F	32	2831156624	[non chaine]
reelle	4	player-masked-property (i4)	8	19	1748	1310	1545	1	8894004555905F78	32	2302674005	[non chaine]
reelle	4	player-masked-property (i4)	8	20	22	799	1547	3	8C9000456418D668	32	3372221526	[non chaine]
reelle	4	player-masked-property (i4)	9	20	1030	764	1547	2	928C005906030A45	32	683672976	[non chaine]
reelle	4	player-masked-property (i4)	10	11	1222	1065	1536	0	A00003A0203BF7C0	1	0	[non chaine]
reelle	4	player-masked-property (i4)	10	21	2248	587	1537	1	A2859C004037E981	1	0	[non chaine]
reelle	4	player-masked-property (i4)	10	23	364	497	1541	0	AA8C00590608C98A	1	1	[non chaine]
reelle	4	player-masked-property (i4)	11	23	1388	895	1541	0	B28806418B328FE6	4	2	[non chaine]
reelle	4	player-masked-property (i4)	11	23	1420	788	1546	0	B28806418A7A8F56	4	2	[non chaine]
reelle	4	player-masked-property (i4)	11	24	2078	213	1545	3	B498004415564195	4	4	[non chaine]
reelle	4	player-masked-property (i4)	12	8	144	2101	1536	0	C00003A139EA2001	4	0	[non chaine]
reelle	4	player-masked-property (i4)	12	8	394	1963	1536	0	C00003A13A322001	4	0	[non chaine]
reelle	4	player-masked-property (i4)	12	8	420	1399	1536	0	C00003A13A024001	4	0	[non chaine]
reelle	4	player-masked-property (i4)	13	8	1970	1219	1538	1	D43A39DA12000841	4	4	[non chaine]
reelle	4	player-masked-property (i4)	13	29	436	244	1547	2	D694004555906692	4	6	[non chaine]
reelle	4	player-masked-property (i4)	14	25	1456	1572	1536	0	E00003A0201BF224	4	0	[non chaine]
reelle	4	player-masked-property (i4)	14	25	1792	1417	1536	0	E00003A1575A13C0	4	0	[non chaine]
reelle	5	player-masked-property (i5)	0	4	196	33	1542	1	0C7E810321E8592C	0	0	[CHAINE]
reelle	5	player-masked-property (i5)	0	4	2176	95	1545	1	007E810321E8592C	0	0	[non chaine]
reelle	5	player-masked-property (i5)	0	6	398	33	1538	1	047E810321E8592C	0	0	[non chaine]
reelle	5	player-masked-property (i5)	1	15	2346	1444	1539	3	10C26210DF470230	0	0	[non chaine]
reelle	5	player-masked-property (i5)	2	30	984	1890	1541	0	2578076A3C557DC8	0	0	[non chaine]
reelle	5	player-masked-property (i5)	4	28	374	735	1540	1	41EF404224000062	0	0	[non chaine]
reelle	5	player-masked-property (i5)	5	31	458	387	1547	2	5BBC5041B91B01D2	0	0	[non chaine]
