ti	i	composant	niveau	statut	annonces	pct_records_ti	plancher_bruit	exces_sur_plancher	temoin_vide	temoin_inconnu	temoin_occupe
10	0	managed-object-boundary-visibility-component	0	porte	306	3.42	71.0	4.3	376	721	98568
10	1	managed-object-boundary-color-component	1	non_porte	191	2.13	71.0	2.7	361	185	85117
10	2	managed-object-navpoint-component	2	non_porte	84	0.94	71.0	1.2	103	161	146
10	3	managed-object-navpoint-component	1	non_porte	127	1.42	71.0	1.8	55	215	83
10	4	managed-object-navpoint-component	1	non_porte	548	6.12	71.0	7.7	183	489	977
10	5	managed-object-navpoint-component	1	non_porte	331	3.70	71.0	4.7	189	251	34563
10	6	managed-object-navpoint-component	1	non_porte	56	0.63	71.0	0.8	35	146	145
10	7	managed-object-navpoint-component	1	non_porte	88	0.98	71.0	1.2	50	122	95
10	8	managed-object-navpoint-component	1	non_porte	106	1.18	71.0	1.5	176	362	446
10	9	managed-object-navpoint-component	1	non_porte	72	0.80	71.0	1.0	168	249	187
10	10	managed-object-navpoint-component	1	non_porte	43	0.48	71.0	0.6	96	160	81
10	11	managed-object-navpoint-component	1	non_porte	46	0.51	71.0	0.6	46	103	332
10	12	managed-object-navpoint-component	1	non_porte	45	0.50	71.0	0.6	60	226	344
10	13	managed-object-navpoint-component	1	non_porte	53	0.59	71.0	0.7	172	214	389
10	14	managed-object-navpoint-component	1	non_porte	52	0.58	71.0	0.7	35	53	70
10	15	managed-object-navpoint-component	1	non_porte	51	0.57	71.0	0.7	59	186	119
10	16	managed-object-navpoint-component	1	non_porte	70	0.78	71.0	1.0	630	281	114
10	17	managed-object-navpoint-component	1	non_porte	103	1.15	71.0	1.5	107	277	182
10	18	managed-object-networked-property-component	1	non_porte	104	1.16	71.0	1.5	136	112	167
10	19	managed-object-networked-property-component	1	non_porte	44	0.49	71.0	0.6	38	125	80
10	20	managed-object-networked-property-component	1	non_porte	122	1.36	71.0	1.7	97	171	424
10	21	managed-object-networked-property-component	1	non_porte	58	0.65	71.0	0.8	19	86	62522
10	22	managed-object-interaction-filter-component	1	non_porte	42	0.47	71.0	0.6	44	69	247
10	23	managed-object-flags-component	2	non_porte	46	0.51	71.0	0.6	34	66	86
10	24	managed-object-looping-sound-component	1	non_porte	215	2.40	71.0	3.0	33	164	152
10	25	managed-object-looping-sound-component	1	non_porte	265	2.96	71.0	3.7	59	262	100534
10	26	managed-object-rtpc-component	1	non_porte	2914	32.55	71.0	41.0	87	128	227
10	27	managed-object-rtpc-component	1	non_porte	2313	25.83	71.0	32.6	86	211	256
10	28	managed-object-rtpc-component	1	non_porte	215	2.40	71.0	3.0	49	144	884
10	29	managed-object-rtpc-component	1	non_porte	57	0.64	71.0	0.8	146	152	80
10	30	(hors grammaire)	-	hors_grammaire	49	0.55	71.0	0.7	169	74	1517
10	31	(hors grammaire)	-	hors_grammaire	64	0.71	71.0	0.9	39	163	228
10	32	(hors grammaire)	-	hors_grammaire	86	0.96	71.0	1.2	426	200	379
10	33	(hors grammaire)	-	hors_grammaire	52	0.58	71.0	0.7	58	304	682
10	34	(hors grammaire)	-	hors_grammaire	82	0.92	71.0	1.2	57	105	205
10	35	(hors grammaire)	-	hors_grammaire	31	0.35	71.0	0.4	42	87	129
10	36	(hors grammaire)	-	hors_grammaire	79	0.88	71.0	1.1	95	192	181
10	37	(hors grammaire)	-	hors_grammaire	43	0.48	71.0	0.6	51	72	102
10	38	(hors grammaire)	-	hors_grammaire	38	0.42	71.0	0.5	64	85	262
10	39	(hors grammaire)	-	hors_grammaire	86	0.96	71.0	1.2	557	127	139
10	40	(hors grammaire)	-	hors_grammaire	69	0.77	71.0	1.0	148	242	325
10	41	(hors grammaire)	-	hors_grammaire	33	0.37	71.0	0.5	101	150	140
10	42	(hors grammaire)	-	hors_grammaire	36	0.40	71.0	0.5	30	127	282
10	43	(hors grammaire)	-	hors_grammaire	49	0.55	71.0	0.7	159	77	95
10	44	(hors grammaire)	-	hors_grammaire	49	0.55	71.0	0.7	46	161	205
10	45	(hors grammaire)	-	hors_grammaire	48	0.54	71.0	0.7	1018	99	75
10	46	(hors grammaire)	-	hors_grammaire	44	0.49	71.0	0.6	36	127	95
10	47	(hors grammaire)	-	hors_grammaire	112	1.25	71.0	1.6	624	180	206
10	48	(hors grammaire)	-	hors_grammaire	103	1.15	71.0	1.5	59	287	321
10	49	(hors grammaire)	-	hors_grammaire	46	0.51	71.0	0.6	33	172	82
10	50	(hors grammaire)	-	hors_grammaire	45	0.50	71.0	0.6	46	118	78
10	51	(hors grammaire)	-	hors_grammaire	40	0.45	71.0	0.6	29	119	106
10	52	(hors grammaire)	-	hors_grammaire	69	0.77	71.0	1.0	148	169	101
10	53	(hors grammaire)	-	hors_grammaire	107	1.20	71.0	1.5	82	206	222
10	54	(hors grammaire)	-	hors_grammaire	99	1.11	71.0	1.4	31	161	976
10	55	(hors grammaire)	-	hors_grammaire	290	3.24	71.0	4.1	62	495	184
10	56	(hors grammaire)	-	hors_grammaire	54	0.60	71.0	0.8	33	252	280
10	57	(hors grammaire)	-	hors_grammaire	138	1.54	71.0	1.9	52	403	865
10	58	(hors grammaire)	-	hors_grammaire	103	1.15	71.0	1.5	199	248	224
10	59	(hors grammaire)	-	hors_grammaire	389	4.34	71.0	5.5	128	250	991
10	60	(hors grammaire)	-	hors_grammaire	286	3.19	71.0	4.0	98	602	186
10	61	(hors grammaire)	-	hors_grammaire	68	0.76	71.0	1.0	513	211	87
10	62	(hors grammaire)	-	hors_grammaire	84	0.94	71.0	1.2	33	175	61
10	63	(hors grammaire)	-	hors_grammaire	91	1.02	71.0	1.3	56	96	75
12	0	managed-navpoint-sub-type-component	0	porte	55	1.31	25.0	2.2	376	721	98568
12	1	managed-navpoint-flags-component	1	non_porte	44	1.05	25.0	1.8	361	185	85117
12	2	managed-navpoint-visibility-distance-filters-component	1	non_porte	21	0.50	25.0	0.8	103	161	146
12	3	managed-navpoint-visible-offscreen-filters-component	3	non_porte	28	0.67	25.0	1.1	55	215	83
12	4	managed-navpoint-can-be-occluded-filters-component	2	non_porte	37	0.88	25.0	1.5	183	489	977
12	5	managed-navpoint-visibility-filter-component	2	non_porte	21	0.50	25.0	0.8	189	251	34563
12	6	managed-navpoint-docking-filter-component	2	non_porte	131	3.12	25.0	5.2	35	146	145
12	7	managed-navpoint-docking-order-component	2	non_porte	28	0.67	25.0	1.1	50	122	95
12	8	managed-navpoint-docking-group-name-component	1	non_porte	39	0.93	25.0	1.6	176	362	446
12	9	managed-navpoint-formatted-text-component	1	non_porte	34	0.81	25.0	1.4	168	249	187
12	10	managed-navpoint-timers-component	1	non_porte	20	0.48	25.0	0.8	96	160	81
12	11	managed-navpoint-manual-timer-initial-duration-component	1	non_porte	17	0.40	25.0	0.7	46	103	332
12	12	managed-navpoint-manual-timer-current-duration-component	1	non_porte	22	0.52	25.0	0.9	60	226	344
12	13	managed-navpoint-top-progress	1	non_porte	29	0.69	25.0	1.2	172	214	389
12	14	managed-navpoint-radial-progress	1	non_porte	2974	70.83	25.0	119.0	35	53	70
12	15	managed-navpoint-bottom-progress	1	non_porte	17	0.40	25.0	0.7	59	186	119
12	16	managed-navpoint-override-flags	1	non_porte	29	0.69	25.0	1.2	630	281	114
12	17	managed-navpoint-object-marker	1	non_porte	27	0.64	25.0	1.1	107	277	182
12	18	managed-navpoint-position-offset	1	non_porte	25	0.60	25.0	1.0	136	112	167
12	19	managed-navpoint-visual-states-component	1	non_porte	20	0.48	25.0	0.8	38	125	80
12	20	managed-navpoint-visual-state-groups-component-0	2	non_porte	80	1.91	25.0	3.2	97	171	424
12	21	managed-navpoint-visual-state-groups-component-1	1	non_porte	125	2.98	25.0	5.0	19	86	62522
12	22	managed-navpoint-visual-state-groups-component-2	1	non_porte	129	3.07	25.0	5.2	44	69	247
12	23	managed-navpoint-visual-state-groups-component-3	1	non_porte	19	0.45	25.0	0.8	34	66	86
12	24	managed-navpoint-visual-state-groups-component-4	1	non_porte	36	0.86	25.0	1.4	33	164	152
12	25	managed-navpoint-visual-state-groups-component-5	1	non_porte	30	0.71	25.0	1.2	59	262	100534
12	26	managed-navpoint-visual-state-groups-component-6	1	non_porte	22	0.52	25.0	0.9	87	128	227
12	27	managed-navpoint-visual-state-groups-component-7	1	non_porte	50	1.19	25.0	2.0	86	211	256
12	28	(hors grammaire)	-	hors_grammaire	23	0.55	25.0	0.9	49	144	884
12	29	(hors grammaire)	-	hors_grammaire	17	0.40	25.0	0.7	146	152	80
12	30	(hors grammaire)	-	hors_grammaire	35	0.83	25.0	1.4	169	74	1517
12	31	(hors grammaire)	-	hors_grammaire	14	0.33	25.0	0.6	39	163	228
12	32	(hors grammaire)	-	hors_grammaire	27	0.64	25.0	1.1	426	200	379
12	33	(hors grammaire)	-	hors_grammaire	18	0.43	25.0	0.7	58	304	682
12	34	(hors grammaire)	-	hors_grammaire	18	0.43	25.0	0.7	57	105	205
12	35	(hors grammaire)	-	hors_grammaire	24	0.57	25.0	1.0	42	87	129
12	36	(hors grammaire)	-	hors_grammaire	40	0.95	25.0	1.6	95	192	181
12	37	(hors grammaire)	-	hors_grammaire	20	0.48	25.0	0.8	51	72	102
12	38	(hors grammaire)	-	hors_grammaire	14	0.33	25.0	0.6	64	85	262
12	39	(hors grammaire)	-	hors_grammaire	11	0.26	25.0	0.4	557	127	139
12	40	(hors grammaire)	-	hors_grammaire	17	0.40	25.0	0.7	148	242	325
12	41	(hors grammaire)	-	hors_grammaire	21	0.50	25.0	0.8	101	150	140
12	42	(hors grammaire)	-	hors_grammaire	29	0.69	25.0	1.2	30	127	282
12	43	(hors grammaire)	-	hors_grammaire	23	0.55	25.0	0.9	159	77	95
12	44	(hors grammaire)	-	hors_grammaire	24	0.57	25.0	1.0	46	161	205
12	45	(hors grammaire)	-	hors_grammaire	32	0.76	25.0	1.3	1018	99	75
12	46	(hors grammaire)	-	hors_grammaire	16	0.38	25.0	0.6	36	127	95
12	47	(hors grammaire)	-	hors_grammaire	25	0.60	25.0	1.0	624	180	206
12	48	(hors grammaire)	-	hors_grammaire	27	0.64	25.0	1.1	59	287	321
12	49	(hors grammaire)	-	hors_grammaire	32	0.76	25.0	1.3	33	172	82
12	50	(hors grammaire)	-	hors_grammaire	17	0.40	25.0	0.7	46	118	78
12	51	(hors grammaire)	-	hors_grammaire	26	0.62	25.0	1.0	29	119	106
12	52	(hors grammaire)	-	hors_grammaire	37	0.88	25.0	1.5	148	169	101
