ti	archetype_present	composants	records_image_cle	slots_distincts	slots_bande	slots
10	true	30	244	38	38	1471,1473,1475,1547,1556,1563,1571,1604,1648,1671,1672,1673,1689,1759,1771,1786,1788,1790,1820,1848,1851,1869,1888,1920,1937,1962,2004,2025,2030,2040,2042,2053,2057,2092,2135,2159,2218,2270
12	true	28	67	7	7	1470,1472,1474,1546,1565,1930,2102
23	true	33	0	0	0	
11	true	34	16	1	1	1538
13	true	34	350	20	20	1455,1456,1457,1458,1459,1460,1461,1462,1463,1464,1465,1466,1467,1468,1469,1539,1540,1541,1542,1543
47	true	3	145	10	10	1298,1300,1302,1304,1306,1308,1310,1312,1555,1559
4	true	1	18	1	1	123
38	false	0	1864	118	0	1280,1281,1282,1283,1284,1285,1286,1287,1288,1289,1290,1291,1292,1293,1294,1295,1296,1346,1347,1348,1349,1350,1351,1352,1353,1354,1355,1356,1358,1359,1360,1361,1362,1363,1364,1365,1367,1368,1370,1371,1373,1374,1376,1377,1378,1379,1380,1381,1382,1383,1384,1385,1386,1387,1388,1389,1391,1392,1393,1394,1395,1396,1397,1398,1399,1400,1401,1402,1403,1404,1405,1406,1407,1408,1409,1410,1411,1412,1413,1414,1415,1416,1417,1418,1419,1420,1421,1422,1423,1424,1427,1429,1431,1433,1435,1437,1440,1442,1444,1448,1450,1544,1545,1561,1638,1772,1802,1817,1883,1917,1918,1993,2089,2090,2093,2133,2175,2184
6	false	0	912	48	0	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
17	false	0	627	33	0	84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116
