ti	i	composant	statut	annonces_total	films_presents	annonces_max_film	exces_max	7344d24f	696a9d7c	0a247154	01e1f945	606d9844	8076f97f	64e8adfa	530820e5	53ce4390	24dbb67d	000d5950	
4	0	high-frequency	porte	367975	11	49699	29118.0	35531	33555	46278	32360	14559	21126	49699	28589	44695	31275	30308
10	26	managed-object-rtpc-component	non_porte	67765	10	13964	113.8	6522	6948	6680	7344	2503	2914	10766	6216	13964	3908	0
12	14	managed-navpoint-radial-progress	non_porte	52387	11	17369	868.5	16788	17369	376	7233	1841	2974	2525	1367	1822	87	5
10	27	managed-object-rtpc-component	non_porte	49082	10	18395	98.1	16755	18395	1081	6317	668	2313	1113	825	1523	92	0
13	38	(hors grammaire)	hors_grammaire	48385	11	25277	353.5	22774	25277	36	18	9	82	124	14	21	20	10
47	2	personal-ai-data-component	non_porte	47906	11	13361	1214.6	13361	11543	9028	5923	2634	4439	60	38	184	668	28
47	1	managed-object-networked-splash-message-dynamic-component	porte	37246	11	12068	693.3	2482	2460	340	384	352	378	12068	5410	8065	4853	454
13	1	managed-object-property-component	non_porte	16607	11	4086	88.9	3635	4086	265	3423	368	1311	1351	614	726	808	20
10	0	managed-object-boundary-visibility-component	porte	11473	10	3711	12.5	1347	1031	862	551	68	306	3711	711	1932	954	0
10	1	managed-object-boundary-color-component	non_porte	10347	10	3261	6.5	1194	697	1095	822	41	191	3261	404	2174	468	0
10	4	managed-object-navpoint-component	non_porte	6817	10	1711	7.7	966	555	347	384	133	548	1281	407	1711	485	0
12	1	managed-navpoint-flags-component	non_porte	6086	11	3613	21.8	316	58	1573	84	34	44	3613	148	136	76	4
10	2	managed-object-navpoint-component	non_porte	5682	10	2302	3.9	435	570	299	228	65	84	2302	459	1149	91	0
10	38	(hors grammaire)	hors_grammaire	5368	10	3107	31.5	284	110	107	3107	694	38	450	102	419	57	0
10	59	(hors grammaire)	hors_grammaire	5255	10	1265	6.7	324	1255	400	111	65	389	1005	321	1265	120	0
13	13	managed-object-player-masked-property-component	non_porte	5236	11	3347	37.4	3347	1392	41	42	8	89	162	35	62	42	16
13	21	managed-object-player-masked-property-component	non_porte	5094	11	3354	37.5	3354	1355	27	36	6	43	89	69	76	32	7
10	17	managed-object-navpoint-component	non_porte	4891	10	2369	16.0	267	113	125	2369	45	103	581	123	1080	85	0
10	24	managed-object-looping-sound-component	non_porte	4789	10	938	3.8	639	549	483	436	82	215	650	509	938	288	0
10	8	managed-object-navpoint-component	non_porte	4529	10	1360	2.6	487	489	169	378	48	106	1360	239	1120	133	0
10	60	(hors grammaire)	hors_grammaire	4418	10	976	5.2	275	976	361	182	31	286	831	318	965	193	0
10	36	(hors grammaire)	hors_grammaire	4340	10	1083	2.8	883	281	264	318	53	79	1083	348	869	162	0
10	7	managed-object-navpoint-component	non_porte	4217	10	1655	11.0	329	211	174	136	21	88	548	1655	731	324	0
10	5	managed-object-navpoint-component	non_porte	4063	10	1143	4.7	593	251	281	184	68	331	927	150	1143	135	0
10	32	(hors grammaire)	hors_grammaire	4050	10	1491	3.3	430	236	232	486	27	86	676	134	1491	252	0
10	25	managed-object-looping-sound-component	non_porte	3983	10	705	3.9	610	532	485	411	86	265	568	182	705	139	0
12	0	managed-navpoint-sub-type-component	porte	3954	11	1721	10.4	216	89	1160	150	22	55	1721	249	146	135	11
10	58	(hors grammaire)	hors_grammaire	3881	10	955	3.1	461	575	411	162	61	103	854	238	955	61	0
10	16	managed-object-navpoint-component	non_porte	3861	10	1370	2.2	375	252	214	252	49	70	940	187	1370	152	0
10	55	(hors grammaire)	hors_grammaire	3621	10	1110	4.1	241	192	322	196	81	290	773	268	1110	148	0
13	17	managed-object-player-masked-property-component	non_porte	3566	11	2041	22.8	2041	1057	29	35	19	70	134	48	48	72	13
10	10	managed-object-navpoint-component	non_porte	3517	10	960	3.0	960	262	172	212	29	43	755	161	764	159	0
10	20	managed-object-networked-property-component	non_porte	3490	10	737	3.7	378	270	191	551	57	122	737	297	717	170	0
10	3	managed-object-navpoint-component	non_porte	3265	10	1023	2.5	322	175	120	153	14	127	891	369	1023	71	0
10	9	managed-object-navpoint-component	non_porte	3250	10	1321	1.9	351	204	189	145	17	72	751	124	1321	76	0
10	52	(hors grammaire)	hors_grammaire	3226	10	964	2.1	334	265	224	226	29	69	964	312	680	123	0
10	14	managed-object-navpoint-component	non_porte	3198	10	1469	9.8	306	106	74	104	7	52	496	1469	489	95	0
10	48	(hors grammaire)	hors_grammaire	3142	10	1420	2.1	213	211	194	241	17	103	517	106	1420	120	0
10	13	managed-object-navpoint-component	non_porte	3112	10	718	4.9	263	149	391	718	14	53	650	186	629	59	0
10	6	managed-object-navpoint-component	non_porte	2876	10	794	2.0	437	316	87	296	18	56	619	123	794	130	0
10	61	(hors grammaire)	hors_grammaire	2847	10	743	3.2	409	600	147	75	33	68	743	62	625	85	0
10	57	(hors grammaire)	hors_grammaire	2836	10	825	3.2	216	208	214	162	70	138	700	199	825	104	0
10	18	managed-object-networked-property-component	non_porte	2716	10	759	1.5	346	183	162	218	16	104	660	182	759	86	0
10	42	(hors grammaire)	hors_grammaire	2711	10	783	2.5	783	112	117	137	18	36	608	162	678	60	0
12	22	managed-navpoint-visual-state-groups-component-2	non_porte	2683	11	701	14.2	360	284	254	279	33	129	701	286	334	18	5
