# lot C-bis phase 2a — film 696a9d7c (Strongholds / vagabond)
# ancrage	696a9d7c	records	36677	rejoues	8558	chaines	3777	slots_bande	26
# chainage	696a9d7c	scal	3708	3823	joueur	69	4735	decale	46	8558
structure	696a9d7c	1521	0x00030081 x3	8	1	1
structure	696a9d7c	1522	0x6002C831 x2	0	1	3
structure	696a9d7c	1523	0xFBE080EF x2	6	1	2
structure	696a9d7c	1524	0x8002AB20 x1	6	1	2
structure	696a9d7c	1525	0x6002C830 x1	6	2	4
structure	696a9d7c	1526	0xF00080EF x1	5	1	1
structure	696a9d7c	1527	0x64CD1022 x1	12	1	2
structure	696a9d7c	1529	0xF00080EF x2	15	2	3
structure	696a9d7c	1530	0x6002C82F x1	4	12	14
structure	696a9d7c	1531	0x6002C830 x1	4	36	37
structure	696a9d7c	1532	0xF00080EF x2	3	1075	1077
structure	696a9d7c	1533	(jamais emis)	8	1	1
structure	696a9d7c	1534	0x8002AB20 x1	8	1	1
structure	696a9d7c	1535	0x6002C830 x1	4	16	17
structure	696a9d7c	1536	0x101D7DF0 x5	0	500	544
structure	696a9d7c	1537	0x0F68820D x5	3	1036	1043
structure	696a9d7c	1539	0x06C12806 x1	4	1	2
structure	696a9d7c	1540	0x001F2A50 x1	4	10	14
structure	696a9d7c	1541	0xF3E080EB x1	4	32	33
structure	696a9d7c	1542	0xF80080EF x4	3	912	913
structure	696a9d7c	1545	0x8EEA9EF4 x1	3	277	280
structure	696a9d7c	1546	0x001F2A62 x1	4	8	8
structure	696a9d7c	1547	0xFBE42407 x1	3	283	284
a1_courbe	696a9d7c	0.0	77	60	7	10	0	9
a1_courbe	696a9d7c	2.0	77	65	2	10	0	14
a1_courbe	696a9d7c	5.0	77	66	1	10	0	20
a1_courbe	696a9d7c	10.0	77	67	0	10	0	28
a1_table	696a9d7c	1532	0x00000000	1	0	21	21
a1_table	696a9d7c	1537	0xE2D00983	2	0	23	23
a1_table	696a9d7c	1542	0x00000000	0	0	18	19
a1_verdict	696a9d7c	62	63	0.9841	0.4762	0.5143	TENU
a2_inventaire	696a9d7c	1530	12	2	11	false	0x00000000 x6 0x00000001 x6
a2_inventaire	696a9d7c	1531	36	3	35	false	0xFFFFFFFF x18 0x00000001 x11 0x00000000 x7
a2_inventaire	696a9d7c	1535	16	3	15	false	0x00000000 x8 0x00000001 x7 0x0320C4C1 x1
a2_inventaire	696a9d7c	1536	39	6	38	false	0xFFFFFFFF x18 0x00000000 x11 0x00000001 x7 ...
a2_inventaire	696a9d7c	1537	2	2	1	true	0x20034460 x1 0x6E8C0059 x1
a2_inventaire	696a9d7c	1539	1	1	0	false	0xE8222D48 x1
a2_inventaire	696a9d7c	1540	10	2	9	false	0x00000000 x5 0x00000001 x5
a2_inventaire	696a9d7c	1541	32	3	31	false	0xFFFFFFFF x16 0x00000001 x11 0x00000000 x5
a2_inventaire	696a9d7c	1546	8	2	7	false	0x00000000 x4 0x00000001 x4
a2_slot	696a9d7c	1530	1	vote	11	24	9	15	9	0.1180	0.0768	0.2900
a2_slot	696a9d7c	1531	1	vote	35	24	18	22	21	0.1180	0.2245	0.2900
a2_slot	696a9d7c	1535	2	vote	15	23	14	21	14	0.1116	0.1047	0.2900
a2_slot	696a9d7c	1536	2	vote	38	23	19	23	23	0.1116	0.2457	0.2900
a2_slot	696a9d7c	1540	0	vote	9	19	9	12	9	0.1047	0.0628	0.2900
a2_slot	696a9d7c	1541	0	vote	31	19	16	19	18	0.1047	0.2057	0.2900
a2_slot	696a9d7c	1546	0	vote	7	19	5	5	5	0.1047	0.0421	0.2900
a2_sanscirc	696a9d7c	99	146	0.6781	0.2900
a2_verdict	696a9d7c	90	146	0.6164	0.1114	117	151	0.7748	0.1403	NON TENU
a2_slot_equipe	696a9d7c	1530	1	0	0x00000000	8	8
a2_slot_equipe	696a9d7c	1530	1	1	0x00000001	9	9
a2_slot_equipe	696a9d7c	1531	1	0	0xFFFFFFFF	12	12
a2_slot_equipe	696a9d7c	1531	1	1	0xFFFFFFFF	10	10
a2_slot_equipe	696a9d7c	1535	2	0	0x00000000	10	10
a2_slot_equipe	696a9d7c	1535	2	1	0x00000001	11	11
a2_slot_equipe	696a9d7c	1536	2	0	0xFFFFFFFF	10	10
a2_slot_equipe	696a9d7c	1536	2	1	0xFFFFFFFF	13	13
a2_slot_equipe	696a9d7c	1540	0	0	0x00000000	7	7
a2_slot_equipe	696a9d7c	1540	0	1	0x00000001	6	6
a2_slot_equipe	696a9d7c	1541	0	0	0xFFFFFFFF	13	13
a2_slot_equipe	696a9d7c	1541	0	1	0xFFFFFFFF	6	6
a2_slot_equipe	696a9d7c	1546	0	0	0x00000001	5	5
a2_prop_verdict	696a9d7c	51	120	0.4250	51	56	0.9107	PROPRIETAIRE
a3_periode	696a9d7c	1537	41956	48863	2	0	178	67	504	true
a3_periode	696a9d7c	1532	48863	79760	1	0	2586	1434	5940	true
a3_periode	696a9d7c	1537	70784	102303	2	0	1511	1073	4416	true
a3_periode	696a9d7c	1537	89302	94809	0	0	389	305	1041	true
a3_periode	696a9d7c	1547	90287	173357	2	0	1258	1243	4895	true
a3_periode	696a9d7c	1542	95710	138187	1	0	3688	1853	10726	true
a3_periode	696a9d7c	1545	138187	176794	2	0	1944	874	5018	true
a3_periode	696a9d7c	1537	154671	234556	1	0	5905	3845	17530	true
a3_periode	696a9d7c	1537	220341	226746	2	0	113	88	406	true
a3_periode	696a9d7c	1537	226746	240161	1	0	273	208	702	true
a3_periode	696a9d7c	1532	234654	278498	2	0	2116	1448	6994	true
a3_periode	696a9d7c	1545	259813	270941	0	0	222	139	723	true
a3_periode	696a9d7c	1537	260981	301338	2	0	3379	2301	10638	true
a3_periode	696a9d7c	1532	293213	381203	1	0	1218	1116	4888	true
a3_periode	696a9d7c	1537	296817	365886	0	0	904	883	3874	true
a3_periode	696a9d7c	1545	302539	350070	2	0	1170	1014	4778	true
a3_periode	696a9d7c	1545	346033	355125	1	0	185	178	522	true
a3_periode	696a9d7c	1542	350170	377798	0	0	1309	891	3524	true
a3_periode	696a9d7c	1542	366286	450473	1	0	6922	3954	18753	true
a3_periode	696a9d7c	1542	421544	453884	2	0	474	427	1737	true
a3_periode	696a9d7c	1545	426650	448508	1	0	578	379	1745	true
a3_periode	696a9d7c	1532	438562	478385	2	0	1299	1207	4564	true
a3_periode	696a9d7c	1537	451675	493517	1	0	2764	2355	9863	true
a3_periode	696a9d7c	1532	493517	528654	0	0	621	563	2246	true
a3_periode	696a9d7c	1542	498222	521564	2	0	634	563	2048	true
a3_periode	696a9d7c	1545	502393	522647	0	0	406	320	1294	true
a3_periode	696a9d7c	1542	522647	550777	1	0	440	381	1652	true
a3_periode	696a9d7c	1545	522764	536661	0	0	228	197	833	true
a3_periode	696a9d7c	1532	528753	573246	1	0	1182	786	3672	true
a3_nettete	696a9d7c	2	29	45514	1060631
a3_verdict	696a9d7c	29	1060631	1060631	573246	1.8502	43896	135526	37896	TENU
