# lot C-bis phase 2a — film 7344d24f (Strongholds / vagabond)
# ancrage	7344d24f	records	36082	rejoues	10841	chaines	3702	slots_bande	26
# chainage	7344d24f	scal	3662	3880	joueur	40	6961	decale	38	10841
structure	7344d24f	1520	0x0003010B x3	8	1	1
structure	7344d24f	1521	0x00030081 x6	8	1	1
structure	7344d24f	1522	0xB7E80848 x1	4	1	1
structure	7344d24f	1523	0x000000D2 x1	0	1	2
structure	7344d24f	1525	0x37E60101 x1	8	2	3
structure	7344d24f	1526	0x20262F90 x1	8	1	2
structure	7344d24f	1527	0x6002C831 x1	8	1	3
structure	7344d24f	1528	0x733100DF x1	0	1	2
structure	7344d24f	1530	(jamais emis)	4	16	20
structure	7344d24f	1531	0x85211212 x1	4	36	36
structure	7344d24f	1532	0xBA63839F x1	3	1138	1146
structure	7344d24f	1533	0x35EF8102 x1	6	1	1
structure	7344d24f	1534	0x8002AB20 x1	8	1	1
structure	7344d24f	1535	0x6AA2EB00 x36	4	12	18
structure	7344d24f	1536	0x0000E808 x8	4	39	72
structure	7344d24f	1537	0x3407C101 x1	3	974	984
structure	7344d24f	1538	0xA8E11000 x1	1	5	7
structure	7344d24f	1539	0x7683B816 x1	13	1	3
structure	7344d24f	1540	0x45BB1A09 x1	4	11	14
structure	7344d24f	1541	0xFFC4240B x1	4	32	34
structure	7344d24f	1542	0x000CC322 x1	3	858	859
structure	7344d24f	1545	0x007E8103 x1	3	296	298
structure	7344d24f	1546	0x037DCF29 x1	4	6	13
structure	7344d24f	1547	0x4E730814 x1	3	305	307
a1_courbe	7344d24f	0.0	71	52	10	9	0	8
a1_courbe	7344d24f	2.0	71	57	5	9	0	12
a1_courbe	7344d24f	5.0	71	59	3	9	0	19
a1_courbe	7344d24f	10.0	71	62	0	9	0	29
a1_table	7344d24f	1532	0x00000000	1	0	19	22
a1_table	7344d24f	1537	0x27954600	2	0	18	18
a1_table	7344d24f	1542	0x00000000	0	0	14	15
a1_table	7344d24f	1545	0x00000000	0	0	2	2
a1_table	7344d24f	1547	0x00000000	1	0	1	1
a1_verdict	7344d24f	54	58	0.9310	0.4138	0.5714	TENU
a2_inventaire	7344d24f	1522	1	1	0	false	0x0320CAC3 x1
a2_inventaire	7344d24f	1530	16	2	15	false	0x00000000 x8 0x00000001 x8
a2_inventaire	7344d24f	1531	36	3	35	false	0xFFFFFFFF x18 0x00000000 x10 0x00000001 x8
a2_inventaire	7344d24f	1535	12	2	11	false	0x00000000 x6 0x00000001 x6
a2_inventaire	7344d24f	1536	39	7	37	false	0xFFFFFFFF x17 0x00000001 x10 0x00000000 x7 ...
a2_inventaire	7344d24f	1537	1	1	0	true	0x6680CFAA x1
a2_inventaire	7344d24f	1540	11	2	10	false	0x00000000 x6 0x00000001 x5
a2_inventaire	7344d24f	1541	32	3	31	false	0xFFFFFFFF x16 0x00000000 x8 0x00000001 x8
a2_inventaire	7344d24f	1545	1	1	0	true	0x20F243F0 x1
a2_inventaire	7344d24f	1546	6	2	5	false	0x00000000 x3 0x00000001 x3
a2_slot	7344d24f	1530	1	vote	15	21	14	17	14	0.1118	0.0987	0.2794
a2_slot	7344d24f	1531	1	vote	35	21	18	21	21	0.1118	0.2192	0.2794
a2_slot	7344d24f	1535	2	vote	11	21	10	13	10	0.1116	0.0723	0.2794
a2_slot	7344d24f	1536	2	vote	37	21	20	21	24	0.1116	0.2221	0.2794
a2_slot	7344d24f	1540	0	vote	10	17	8	11	9	0.0921	0.0658	0.2794
a2_slot	7344d24f	1541	0	vote	31	17	14	16	16	0.0921	0.1896	0.2794
a2_slot	7344d24f	1546	0	vote	5	17	1	2	2	0.0921	0.0329	0.2794
a2_sanscirc	7344d24f	96	144	0.6667	0.2794
a2_verdict	7344d24f	85	144	0.5903	0.1054	101	135	0.7481	0.1315	NON TENU
a2_slot_equipe	7344d24f	1530	1	0	0x00000000	9	9
a2_slot_equipe	7344d24f	1530	1	1	0x00000001	10	10
a2_slot_equipe	7344d24f	1531	1	0	0xFFFFFFFF	9	9
a2_slot_equipe	7344d24f	1531	1	1	0xFFFFFFFF	12	12
a2_slot_equipe	7344d24f	1535	2	0	0x00000000	10	10
a2_slot_equipe	7344d24f	1535	2	1	0x00000001	5	5
a2_slot_equipe	7344d24f	1536	2	0	0xFFFFFFFF	14	14
a2_slot_equipe	7344d24f	1536	2	1	0xFFFFFFFF	6	6
a2_slot_equipe	7344d24f	1540	0	0	0x00000000	6	6
a2_slot_equipe	7344d24f	1540	0	1	0x00000001	6	6
a2_slot_equipe	7344d24f	1541	0	0	0xFFFFFFFF	8	8
a2_slot_equipe	7344d24f	1541	0	1	0xFFFFFFFF	8	8
a2_slot_equipe	7344d24f	1546	0	1	0x00000001	2	2
a2_prop_verdict	7344d24f	48	105	0.4571	48	48	1.0000	PROPRIETAIRE
a2_conteste	7344d24f	0x20F243F0	1	0
a2_conteste	7344d24f	0x6680CFAA	0	1
a3_periode	7344d24f	1537	37229	75769	2	0	695	548	2245	true
a3_periode	7344d24f	1547	53690	103914	1	0	899	736	2969	true
a3_periode	7344d24f	1545	54690	75869	2	0	250	210	732	true
a3_periode	7344d24f	1537	75869	84977	0	0	213	144	571	true
a3_periode	7344d24f	1537	84977	112706	1	0	1726	725	3933	true
a3_periode	7344d24f	1532	104298	140636	2	0	665	583	2268	true
a3_periode	7344d24f	1545	105132	129925	0	0	684	599	2205	true
a3_periode	7344d24f	1547	112190	145892	2	0	2778	1785	8163	true
a3_periode	7344d24f	1532	140737	191071	1	0	3681	3165	15083	true
a3_periode	7344d24f	1532	187083	197994	0	0	251	147	762	true
a3_periode	7344d24f	1547	188068	220101	1	0	1076	1030	4068	true
a3_periode	7344d24f	1532	198096	235434	2	0	539	537	1982	true
a3_periode	7344d24f	1537	234234	289655	0	0	1301	1220	4643	true
a3_periode	7344d24f	1545	238705	261562	2	0	2480	1246	6529	true
a3_periode	7344d24f	1545	259580	289655	0	0	605	328	1717	true
a3_periode	7344d24f	1537	261662	338573	1	0	6844	4996	23367	true
a3_periode	7344d24f	1537	328329	342645	2	0	262	221	898	true
a3_periode	7344d24f	1545	342326	371905	0	0	1585	639	3906	true
a3_periode	7344d24f	1542	368368	407413	1	0	1495	1163	5222	true
a3_periode	7344d24f	1537	392000	438647	2	0	1034	1022	4748	true
a3_periode	7344d24f	1545	401658	449856	0	0	950	806	3844	true
a3_periode	7344d24f	1545	437363	497487	1	0	7539	3574	18752	true
a3_periode	7344d24f	1537	497487	501711	2	0	56	39	262	true
a3_periode	7344d24f	1537	501711	543858	1	0	2942	1992	9405	true
a3_periode	7344d24f	1542	523728	532237	0	0	183	117	492	true
a3_periode	7344d24f	1542	532237	565599	1	0	662	314	1813	true
a3_periode	7344d24f	1532	537844	551084	2	0	230	186	645	true
a3_periode	7344d24f	1545	545079	608179	1	0	2416	1386	7007	true
a3_nettete	7344d24f	2	28	57308	959984
a3_verdict	7344d24f	28	959984	959984	608179	1.5785	44041	138231	39183	TENU
