# lot C-ter volet 1 — CT.1.1 — film 01e1f945 (KOTH / catalyst) — 10239 lectures ti=13
# t_ms = ms depuis le premier paquet du film ; t_frame = frame du rejeu (origine 12588 ms, pas 100 ms), -1 hors axe ; film_index = -1 en mode A ; chaine = le record porteur chaine (1) ; bande = stricte (1) ou comblee (0)
slot	mode	tag	film_index	t_ms	t_frame	valeur_brute	valeur_lue	chaine	bande
1472	B	0	30	1	-1	-	-	0	1
1461	B	14	24	15525	29	15	14	0	0
1470	B	14	24	15842	32	15	14	0	1
1471	B	14	24	15859	32	15	14	0	1
1415	B	14	24	18261	56	15	14	0	0
1427	B	14	24	18662	60	15	14	0	0
1448	B	14	24	19362	67	15	14	0	0
1448	B	14	24	19378	67	15	14	0	0
1474	B	14	24	20229	76	15	14	0	1
1474	B	14	24	20246	76	15	14	0	1
1427	B	14	24	22949	103	15	14	0	0
1428	B	14	24	22965	103	15	14	0	0
1428	B	14	24	22982	103	15	14	0	0
1429	B	14	24	22999	104	15	14	0	0
1436	B	14	24	23253	106	15	14	0	0
1437	B	14	24	23266	106	15	14	0	0
1437	B	14	24	23282	106	15	14	0	0
1444	B	14	24	23499	109	15	14	0	0
1444	B	14	24	23516	109	15	14	0	0
1461	B	14	24	24066	114	15	14	0	0
1463	B	14	24	24133	115	15	14	0	0
1464	B	14	24	24167	115	15	14	0	0
1470	B	14	24	24367	117	15	14	0	1
1470	B	14	24	24383	117	15	14	0	1
1471	B	14	24	24400	118	15	14	0	1
1427	B	14	24	27203	146	15	14	0	0
1431	B	14	24	27336	147	15	14	0	0
1431	B	14	24	27353	147	15	14	0	0
1437	B	14	24	27554	149	15	14	0	0
1447	B	14	24	27870	152	15	14	0	0
1448	B	14	24	27904	153	15	14	0	0
1467	B	14	24	28537	159	15	14	0	0
1472	B	14	24	28705	161	15	14	0	1
1472	B	14	24	28721	161	15	14	0	1
1473	B	14	24	28737	161	15	14	0	1
1409	B	14	24	30873	182	15	14	0	0
1409	B	14	24	30889	183	15	14	0	0
1410	B	14	24	30907	183	15	14	0	0
1428	B	14	24	31508	189	15	14	0	0
1429	B	14	24	31540	189	15	14	0	0
1429	B	14	24	31557	189	15	14	0	0
1439	B	14	24	31874	192	15	14	0	0
1439	B	14	24	31891	193	15	14	0	0
1440	B	14	24	31908	193	15	14	0	0
1448	B	14	24	32175	195	15	14	0	0
1448	B	14	24	32191	196	15	14	0	0
1470	B	14	24	32909	203	15	14	0	1
1474	B	14	24	33042	204	15	14	0	1
1474	B	14	24	33059	204	15	14	0	1
1472	A	8	-1	34044	214	-	-	0	1
1472	B	0	2	34044	214	-	-	0	1
1445	B	3	30	34279	216	-	-	0	0
1409	B	15	25	35780	231	3	2	0	0
1473	B	15	25	35796	232	3	2	0	1
1409	B	15	25	35813	232	3	2	0	0
1473	B	15	25	35830	232	3	2	0	1
1473	B	15	25	35846	232	3	2	0	1
1473	B	15	25	35864	232	3	2	0	1
1473	B	15	25	35880	232	3	2	0	1
1473	B	15	25	35897	233	3	2	0	1
1413	B	5	25	36631	240	-	-	0	0
1445	B	5	19	36647	240	-	-	1	0
1386	B	13	18	36880	242	3	2	0	1
1386	A	6	-1	36880	242	2917204	0x002C8354	0	1
1395	A	8	-1	37030	244	-	-	0	1
1395	B	0	2	37030	244	-	-	0	1
1395	A	6	-1	37030	244	2917202	0x002C8352	0	1
1395	B	5	18	37030	244	-	-	0	1
1411	A	6	-1	37297	247	2917200	0x002C8350	0	0
1411	B	6	18	37297	247	-	-	0	0
1468	B	1	1	37348	247	-	-	0	0
1468	B	4	6	37348	247	-	-	0	0
1468	B	4	30	37348	247	-	-	0	0
1437	A	6	-1	37731	251	2917193	0x002C8349	0	0
1437	B	1	2	37731	251	-	-	0	0
1409	B	14	25	39467	268	9	8	0	0
1409	B	14	25	39499	269	9	8	0	0
1473	B	14	25	39517	269	9	8	0	1
1473	B	14	25	39533	269	9	8	0	1
1473	B	14	25	39549	269	9	8	0	1
1473	B	14	25	39566	269	9	8	0	1
1409	B	14	25	39583	269	9	8	0	0
1409	B	14	25	39599	270	9	8	0	0
1409	B	14	25	39617	270	9	8	0	0
1409	B	15	25	39649	270	1	0	0	0
1409	B	15	25	39666	270	1	0	0	0
1409	B	15	25	39683	270	1	0	0	0
1409	B	15	25	39699	271	1	0	0	0
1409	B	15	25	39716	271	2	1	0	0
1409	B	15	25	39733	271	2	1	0	0
1473	B	15	25	39749	271	2	1	0	1
1473	B	15	25	39766	271	3	2	0	1
1473	B	15	25	39783	271	3	2	0	1
1473	B	15	25	39799	272	3	2	0	1
1473	B	15	25	39816	272	3	2	0	1
1473	B	15	25	39833	272	3	2	0	1
1473	B	15	25	39849	272	3	2	0	1
1473	B	15	25	39866	272	3	2	0	1
1473	B	15	25	39883	272	3	2	0	1
1473	B	15	25	39899	273	3	2	0	1
1397	B	5	14	39916	273	-	-	0	1
1397	B	15	22	39916	273	15	14	0	1
1473	B	15	25	39916	273	3	2	0	1
1473	B	15	25	39933	273	3	2	0	1
1473	B	15	25	39950	273	3	2	0	1
1473	B	15	25	39966	273	3	2	0	1
1473	B	15	25	40002	274	3	2	0	1
1473	B	15	25	40007	274	3	2	0	1
1473	B	15	25	40017	274	3	2	0	1
1473	B	15	25	40033	274	3	2	0	1
1473	B	15	25	40050	274	3	2	0	1
1473	B	15	25	40067	274	3	2	0	1
1409	B	15	25	40083	274	3	2	0	0
1409	B	15	25	40100	275	3	2	1	0
1409	B	15	25	40117	275	3	2	0	0
1445	B	0	2	40133	275	-	-	0	0
1409	B	15	25	40133	275	3	2	0	0
1409	B	15	25	40150	275	3	2	0	0
1409	B	15	25	40167	275	3	2	0	0
1409	B	15	25	40184	275	3	2	0	0
1409	B	15	25	40200	276	3	2	0	0
1409	B	15	25	40217	276	3	2	0	0
1409	B	15	25	40234	276	3	2	0	0
1409	B	15	25	40250	276	3	2	0	0
1409	B	15	25	40267	276	3	2	0	0
1409	B	15	25	40284	276	3	2	0	0
1409	B	15	25	40300	277	3	2	0	0
1409	B	15	25	40317	277	3	2	0	0
1409	B	15	25	40334	277	3	2	0	0
1473	B	15	25	40351	277	3	2	0	1
1473	B	15	25	40368	277	3	2	0	1
1473	B	15	25	40384	277	3	2	0	1
1473	B	15	25	40401	278	3	2	0	1
1388	B	11	30	40818	282	5	4	0	1
