# lot C-ter volet 1 — CT.1.1 — film 0a247154 — resume par (slot, mode, tag), calcule sur les lectures CHAINEES ; non_chainees = lectures ecartees ; bande = 1 stricte
slot	bande	mode	tag	emissions	avec_valeur	non_chainees	distinctes	changements	joueurs	t_ms_premiere	t_ms_derniere	frame_premiere	frame_derniere	valeurs_top4
1553	1	A	0	0	0	1	0	0	0	0	0	-1	-1	
1553	1	A	4	0	0	1	0	0	0	0	0	-1	-1	
1553	1	B	0	0	0	58	0	0	0	0	0	-1	-1	
1553	1	B	1	1	0	5	0	0	1	272333	272333	2631	2631	
1553	1	B	2	0	0	3	0	0	0	0	0	-1	-1	
1553	1	B	4	0	0	14	0	0	0	0	0	-1	-1	
1553	1	B	5	0	0	2	0	0	0	0	0	-1	-1	
1553	1	B	6	0	0	5	0	0	0	0	0	-1	-1	
1553	1	B	7	0	0	3	0	0	0	0	0	-1	-1	
1553	1	B	8	25	25	10	5	16	9	57667	785506	484	7763	0x00000001 x8 0x00000002 x8 0x00000003 x4 0x00000004 x4 ...
1553	1	B	9	0	0	1	0	0	0	0	0	-1	-1	
1553	1	B	10	1	1	9	1	0	1	440020	440020	4308	4308	0x00000000 x1
1553	1	B	11	0	0	2	0	0	0	0	0	-1	-1	
1553	1	B	12	0	0	3	0	0	0	0	0	-1	-1	
1553	1	B	13	0	0	6	0	0	0	0	0	-1	-1	
1553	1	B	14	0	0	3	0	0	0	0	0	-1	-1	
1553	1	B	15	0	0	3	0	0	0	0	0	-1	-1	
1554	1	A	0	0	0	1	0	0	0	0	0	-1	-1	
1554	1	B	0	0	0	5	0	0	0	0	0	-1	-1	
1554	1	B	1	0	0	3	0	0	0	0	0	-1	-1	
1554	1	B	2	0	0	3	0	0	0	0	0	-1	-1	
1554	1	B	3	0	0	2	0	0	0	0	0	-1	-1	
1554	1	B	4	1	0	6	0	0	1	485332	485332	4761	4761	
1554	1	B	5	0	0	10	0	0	0	0	0	-1	-1	
1554	1	B	6	0	0	4	0	0	0	0	0	-1	-1	
1554	1	B	7	0	0	1	0	0	0	0	0	-1	-1	
1554	1	B	8	1	1	28	1	0	1	485332	485332	4761	4761	0x002AB207 x1
1554	1	B	9	0	0	2	0	0	0	0	0	-1	-1	
1554	1	B	10	1	1	4	1	0	1	628943	628943	6197	6197	0x00000000 x1
1554	1	B	12	0	0	1	0	0	0	0	0	-1	-1	
1554	1	B	13	0	0	3	0	0	0	0	0	-1	-1	
1554	1	B	14	1	1	1	1	0	1	628943	628943	6197	6197	0x0000000A x1
1555	1	A	1	1	1	1	1	0	1	374285	374285	3650	3650	0x00000002 x1
1555	1	A	9	0	0	1	0	0	0	0	0	-1	-1	
1555	1	A	13	0	0	2	0	0	0	0	0	-1	-1	
1555	1	A	15	0	0	1	0	0	0	0	0	-1	-1	
1555	1	B	0	0	0	8	0	0	0	0	0	-1	-1	
1555	1	B	1	3	0	1	0	0	3	354766	772877	3455	7636	
1555	1	B	2	0	0	3	0	0	0	0	0	-1	-1	
1555	1	B	3	0	0	4	0	0	0	0	0	-1	-1	
1555	1	B	4	1	0	9	0	0	1	405951	405951	3967	3967	
1555	1	B	5	0	0	2	0	0	0	0	0	-1	-1	
1555	1	B	6	0	0	4	0	0	0	0	0	-1	-1	
1555	1	B	7	1	1	2	1	0	1	207401	207401	1981	1981	0x00140588 x1
1555	1	B	8	0	0	3	0	0	0	0	0	-1	-1	
1555	1	B	9	0	0	2	0	0	0	0	0	-1	-1	
1555	1	B	10	0	0	7	0	0	0	0	0	-1	-1	
1555	1	B	11	2	2	9	2	0	2	405951	618332	3967	6091	0x00000003 x1 0x0000000D x1
1555	1	B	12	1	1	0	1	0	1	618332	618332	6091	6091	0x00000007 x1
1555	1	B	13	0	0	5	0	0	0	0	0	-1	-1	
1555	1	B	14	0	0	1	0	0	0	0	0	-1	-1	
1555	1	B	15	0	0	1	0	0	0	0	0	-1	-1	
1556	1	B	0	0	0	4	0	0	0	0	0	-1	-1	
1556	1	B	1	0	0	2	0	0	0	0	0	-1	-1	
1556	1	B	2	0	0	5	0	0	0	0	0	-1	-1	
1556	1	B	3	0	0	1	0	0	0	0	0	-1	-1	
1556	1	B	4	0	0	22	0	0	0	0	0	-1	-1	
1556	1	B	5	0	0	4	0	0	0	0	0	-1	-1	
1556	1	B	6	0	0	10	0	0	0	0	0	-1	-1	
1556	1	B	7	0	0	2	0	0	0	0	0	-1	-1	
1556	1	B	8	0	0	12	0	0	0	0	0	-1	-1	
1556	1	B	9	0	0	3	0	0	0	0	0	-1	-1	
1556	1	B	10	0	0	3	0	0	0	0	0	-1	-1	
1556	1	B	11	0	0	2	0	0	0	0	0	-1	-1	
1556	1	B	12	0	0	5	0	0	0	0	0	-1	-1	
1556	1	B	13	0	0	2	0	0	0	0	0	-1	-1	
1556	1	B	14	0	0	1	0	0	0	0	0	-1	-1	
1556	1	B	15	0	0	1	0	0	0	0	0	-1	-1	
1557	1	A	0	0	0	2	0	0	0	0	0	-1	-1	
1557	1	A	1	0	0	1	0	0	0	0	0	-1	-1	
1557	1	A	3	1	1	0	1	0	1	44704	44704	355	355	0x007D1101 x1
1557	1	A	15	0	0	1	0	0	0	0	0	-1	-1	
1557	1	B	0	0	0	5	0	0	0	0	0	-1	-1	
1557	1	B	1	0	0	3	0	0	0	0	0	-1	-1	
1557	1	B	2	0	0	5	0	0	0	0	0	-1	-1	
1557	1	B	3	0	0	2	0	0	0	0	0	-1	-1	
1557	1	B	4	0	0	10	0	0	0	0	0	-1	-1	
1557	1	B	5	0	0	6	0	0	0	0	0	-1	-1	
1557	1	B	6	0	0	3	0	0	0	0	0	-1	-1	
1557	1	B	7	0	0	1	0	0	0	0	0	-1	-1	
1557	1	B	8	0	0	3	0	0	0	0	0	-1	-1	
1557	1	B	9	0	0	2	0	0	0	0	0	-1	-1	
1557	1	B	10	0	0	9	0	0	0	0	0	-1	-1	
1557	1	B	12	0	0	4	0	0	0	0	0	-1	-1	
1557	1	B	13	0	0	1	0	0	0	0	0	-1	-1	
1558	1	A	3	0	0	1	0	0	0	0	0	-1	-1	
1558	1	A	7	0	0	1	0	0	0	0	0	-1	-1	
1558	1	A	9	0	0	1	0	0	0	0	0	-1	-1	
1558	1	B	0	0	0	5	0	0	0	0	0	-1	-1	
1558	1	B	1	0	0	5	0	0	0	0	0	-1	-1	
1558	1	B	2	0	0	2	0	0	0	0	0	-1	-1	
1558	1	B	3	0	0	2	0	0	0	0	0	-1	-1	
1558	1	B	4	1	0	14	0	0	1	398910	398910	3897	3897	
1558	1	B	5	0	0	2	0	0	0	0	0	-1	-1	
1558	1	B	6	0	0	1	0	0	0	0	0	-1	-1	
1558	1	B	7	0	0	1	0	0	0	0	0	-1	-1	
1558	1	B	8	0	0	4	0	0	0	0	0	-1	-1	
1558	1	B	9	1	1	4	1	0	1	783637	783637	7744	7744	0x4B1D747D x1
1558	1	B	10	0	0	7	0	0	0	0	0	-1	-1	
1558	1	B	11	0	0	3	0	0	0	0	0	-1	-1	
1558	1	B	13	0	0	2	0	0	0	0	0	-1	-1	
1558	1	B	14	0	0	3	0	0	0	0	0	-1	-1	
1559	1	A	9	0	0	1	0	0	0	0	0	-1	-1	
1559	1	A	15	0	0	1	0	0	0	0	0	-1	-1	
1559	1	B	0	0	0	6	0	0	0	0	0	-1	-1	
1559	1	B	1	2	0	10	0	0	2	55682	482896	464	4736	
1559	1	B	2	0	0	7	0	0	0	0	0	-1	-1	
1559	1	B	3	0	0	5	0	0	0	0	0	-1	-1	
1559	1	B	4	0	0	16	0	0	0	0	0	-1	-1	
1559	1	B	5	0	0	6	0	0	0	0	0	-1	-1	
1559	1	B	6	0	0	9	0	0	0	0	0	-1	-1	
1559	1	B	7	1	1	8	1	0	1	40750	40750	315	315	0x0028A068 x1
1559	1	B	8	0	0	12	0	0	0	0	0	-1	-1	
1559	1	B	9	0	0	3	0	0	0	0	0	-1	-1	
1559	1	B	10	1	1	3	1	0	1	556770	556770	5475	5475	0x00000000 x1
1559	1	B	11	0	0	2	0	0	0	0	0	-1	-1	
1559	1	B	12	0	0	2	0	0	0	0	0	-1	-1	
1559	1	B	13	0	0	3	0	0	0	0	0	-1	-1	
1559	1	B	14	0	0	10	0	0	0	0	0	-1	-1	
1559	1	B	15	0	0	7	0	0	0	0	0	-1	-1	
1560	1	A	11	0	0	2	0	0	0	0	0	-1	-1	
1560	1	A	12	0	0	2	0	0	0	0	0	-1	-1	
1560	1	A	15	0	0	1	0	0	0	0	0	-1	-1	
1560	1	B	0	0	0	5	0	0	0	0	0	-1	-1	
1560	1	B	1	0	0	6	0	0	0	0	0	-1	-1	
1560	1	B	3	0	0	3	0	0	0	0	0	-1	-1	
1560	1	B	4	0	0	14	0	0	0	0	0	-1	-1	
1560	1	B	5	0	0	3	0	0	0	0	0	-1	-1	
1560	1	B	6	1	0	6	0	0	1	781502	781502	7722	7722	
1560	1	B	7	1592	1592	0	39	1584	8	49175	784505	399	7753	0x008051EB x44 0x00804189 x44 0x00800831 x44 0x00801062 x44 ...
1560	1	B	8	0	0	7	0	0	0	0	0	-1	-1	
1560	1	B	9	1	1	4	1	0	1	348159	348159	3389	3389	0x8004A43E x1
1560	1	B	10	1	1	3	1	0	1	451030	451030	4418	4418	0x00000001 x1
1560	1	B	11	0	0	8	0	0	0	0	0	-1	-1	
1560	1	B	12	0	0	3	0	0	0	0	0	-1	-1	
1560	1	B	13	0	0	4	0	0	0	0	0	-1	-1	
1560	1	B	14	0	0	2	0	0	0	0	0	-1	-1	
1560	1	B	15	0	0	5	0	0	0	0	0	-1	-1	
1561	1	A	0	0	0	2	0	0	0	0	0	-1	-1	
1561	1	A	2	0	0	1	0	0	0	0	0	-1	-1	
1561	1	A	9	0	0	1	0	0	0	0	0	-1	-1	
1561	1	A	14	0	0	1	0	0	0	0	0	-1	-1	
1561	1	B	0	0	0	12	0	0	0	0	0	-1	-1	
1561	1	B	1	0	0	4	0	0	0	0	0	-1	-1	
1561	1	B	2	0	0	1	0	0	0	0	0	-1	-1	
1561	1	B	3	0	0	3	0	0	0	0	0	-1	-1	
1561	1	B	4	0	0	9	0	0	0	0	0	-1	-1	
1561	1	B	5	0	0	3	0	0	0	0	0	-1	-1	
1561	1	B	6	0	0	4	0	0	0	0	0	-1	-1	
1561	1	B	7	0	0	1	0	0	0	0	0	-1	-1	
1561	1	B	8	0	0	4	0	0	0	0	0	-1	-1	
1561	1	B	9	1	1	2	1	0	1	231792	231792	2225	2225	0xE938488B x1
1561	1	B	10	0	0	5	0	0	0	0	0	-1	-1	
1561	1	B	11	0	0	2	0	0	0	0	0	-1	-1	
1561	1	B	12	0	0	1	0	0	0	0	0	-1	-1	
1561	1	B	14	0	0	1	0	0	0	0	0	-1	-1	
1561	1	B	15	0	0	2	0	0	0	0	0	-1	-1	
1562	1	B	0	0	0	3	0	0	0	0	0	-1	-1	
1562	1	B	2	0	0	4	0	0	0	0	0	-1	-1	
1562	1	B	3	0	0	2	0	0	0	0	0	-1	-1	
1562	1	B	4	0	0	20	0	0	0	0	0	-1	-1	
1562	1	B	5	0	0	1	0	0	0	0	0	-1	-1	
1562	1	B	6	0	0	1	0	0	0	0	0	-1	-1	
1562	1	B	7	1588	1588	6	39	1580	8	49175	784505	399	7753	0x00808312 x44 0x0080AC08 x44 0x0080A3D7 x44 0x0080CCCD x44 ...
1562	1	B	8	0	0	3	0	0	0	0	0	-1	-1	
