# lot C-ter volet 1 — CT.1.1 — film 0a247154 (KOTH / solitude) — 7742 lectures ti=13
# t_ms = ms depuis le premier paquet du film ; t_frame = frame du rejeu (origine 9204 ms, pas 100 ms), -1 hors axe ; film_index = -1 en mode A ; chaine = le record porteur chaine (1) ; bande = stricte (1) ou comblee (0)
slot	mode	tag	film_index	t_ms	t_frame	valeur_brute	valeur_lue	chaine	bande
1624	B	5	24	1	-1	-	-	0	1
1599	B	0	2	1	-1	-	-	0	0
1599	B	10	30	1	-1	0	0	0	0
1599	B	0	2	1	-1	-	-	0	0
1599	B	10	30	1	-1	0	0	0	0
1556	B	12	7	1	-1	12	11	0	1
1556	B	2	26	1	-1	-	-	0	1
1566	B	1	8	1	-1	-	-	0	1
1566	B	0	30	1	-1	-	-	0	1
1624	B	5	24	1	-1	-	-	0	1
1596	B	6	25	1	-1	-	-	0	0
1624	B	5	24	1	-1	-	-	0	1
1567	B	12	7	1	-1	2	1	0	1
1561	B	12	7	1	-1	2	1	0	1
1602	B	11	2	1	-1	12	11	0	0
1617	B	9	16	9287	0	3867810816	0xE68A1C00	0	0
1574	B	13	29	30857	216	11	10	0	0
1601	B	15	25	31107	219	2	1	0	0
1601	B	15	25	31124	219	2	1	0	0
1601	B	15	25	31657	224	5	4	0	0
1601	B	15	25	31691	224	5	4	0	0
1598	B	8	23	32942	237	85459122	0x051800B2	0	0
1567	B	1	11	32959	237	-	-	0	1
1601	B	14	25	33042	238	13	12	0	0
1601	B	2	17	33543	243	-	-	0	0
1625	B	0	2	34594	253	-	-	0	1
1553	B	6	2	34627	254	-	-	0	1
1553	B	8	18	34627	254	2798087	0x002AB207	0	1
1617	B	6	2	34644	254	-	-	0	0
1617	B	8	18	34644	254	2798087	0x002AB207	0	0
1601	B	11	25	34811	256	3	2	0	0
1601	B	10	25	34828	256	1	1	0	0
1601	B	10	25	34844	256	1	1	0	0
1601	B	10	25	34861	256	0	0	0	0
