# lot C-ter volet 1 — CT.1.1 — film 606d9844 — resume par (slot, mode, tag), calcule sur les lectures CHAINEES ; non_chainees = lectures ecartees ; bande = 1 stricte
slot	bande	mode	tag	emissions	avec_valeur	non_chainees	distinctes	changements	joueurs	t_ms_premiere	t_ms_derniere	frame_premiere	frame_derniere	valeurs_top4
1413	1	A	15	0	0	1	0	0	0	0	0	-1	-1	
1413	1	B	0	0	0	2	0	0	0	0	0	-1	-1	
1413	1	B	2	0	0	3	0	0	0	0	0	-1	-1	
1413	1	B	3	0	0	4	0	0	0	0	0	-1	-1	
1413	1	B	4	0	0	6	0	0	0	0	0	-1	-1	
1413	1	B	5	0	0	2	0	0	0	0	0	-1	-1	
1413	1	B	6	0	0	2	0	0	0	0	0	-1	-1	
1413	1	B	7	0	0	2	0	0	0	0	0	-1	-1	
1413	1	B	8	12	12	4	3	8	4	105039	233518	981	2266	0x00000001 x4 0x00000002 x4 0x00000003 x4
1413	1	B	9	0	0	7	0	0	0	0	0	-1	-1	
1413	1	B	10	1	1	2	1	0	1	98799	98799	919	919	0x00000000 x1
1413	1	B	11	1	1	0	1	0	1	98799	98799	919	919	0x00000002 x1
1413	1	B	12	0	0	2	0	0	0	0	0	-1	-1	
1413	1	B	13	0	0	1	0	0	0	0	0	-1	-1	
1413	1	B	15	0	0	1	0	0	0	0	0	-1	-1	
1414	1	B	0	0	0	1	0	0	0	0	0	-1	-1	
1414	1	B	4	0	0	3	0	0	0	0	0	-1	-1	
1414	1	B	6	0	0	2	0	0	0	0	0	-1	-1	
1414	1	B	8	0	0	17	0	0	0	0	0	-1	-1	
1414	1	B	9	0	0	1	0	0	0	0	0	-1	-1	
1414	1	B	10	0	0	1	0	0	0	0	0	-1	-1	
1414	1	B	12	0	0	1	0	0	0	0	0	-1	-1	
1414	1	B	14	0	0	1	0	0	0	0	0	-1	-1	
1414	1	B	15	0	0	1	0	0	0	0	0	-1	-1	
1415	1	A	8	0	0	1	0	0	0	0	0	-1	-1	
1415	1	B	0	0	0	1	0	0	0	0	0	-1	-1	
1415	1	B	1	0	0	1	0	0	0	0	0	-1	-1	
1415	1	B	2	0	0	1	0	0	0	0	0	-1	-1	
1415	1	B	3	0	0	1	0	0	0	0	0	-1	-1	
1415	1	B	4	0	0	2	0	0	0	0	0	-1	-1	
1415	1	B	5	0	0	1	0	0	0	0	0	-1	-1	
1415	1	B	6	0	0	3	0	0	0	0	0	-1	-1	
1415	1	B	7	0	0	1	0	0	0	0	0	-1	-1	
1415	1	B	8	0	0	1	0	0	0	0	0	-1	-1	
1415	1	B	9	0	0	2	0	0	0	0	0	-1	-1	
1415	1	B	10	0	0	2	0	0	0	0	0	-1	-1	
1415	1	B	13	0	0	1	0	0	0	0	0	-1	-1	
1415	1	B	14	0	0	1	0	0	0	0	0	-1	-1	
1415	1	B	15	0	0	1	0	0	0	0	0	-1	-1	
1416	1	A	7	0	0	1	0	0	0	0	0	-1	-1	
1416	1	A	12	0	0	1	0	0	0	0	0	-1	-1	
1416	1	B	0	0	0	18	0	0	0	0	0	-1	-1	
1416	1	B	1	0	0	18	0	0	0	0	0	-1	-1	
1416	1	B	2	0	0	2	0	0	0	0	0	-1	-1	
