# lot C-ter volet 1 — CT.1.1 — film 606d9844 (KOTH / chasm) — 3059 lectures ti=13
# t_ms = ms depuis le premier paquet du film ; t_frame = frame du rejeu (origine 6890 ms, pas 100 ms), -1 hors axe ; film_index = -1 en mode A ; chaine = le record porteur chaine (1) ; bande = stricte (1) ou comblee (0)
slot	mode	tag	film_index	t_ms	t_frame	valeur_brute	valeur_lue	chaine	bande
1472	B	0	30	1	-1	-	-	0	0
1426	B	0	2	6871	-1	-	-	0	1
1426	B	0	16	6871	-1	-	-	0	1
1426	B	0	19	6871	-1	-	-	0	1
1425	B	4	7	6890	0	-	-	0	1
1476	B	8	15	7003	1	11667352	0x00B20798	0	0
1442	B	12	6	7003	1	0	-1	0	0
1442	B	0	6	7003	1	-	-	0	0
1425	B	8	18	29609	227	2930695	0x002CB807	0	1
1489	B	6	18	29626	227	-	-	0	0
1480	A	6	-1	30444	235	2916833	0x002C81E1	0	0
1480	B	1	4	31377	244	-	-	0	0
1416	B	1	4	31394	245	-	-	0	1
1423	A	6	-1	33764	268	2916840	0x002C81E8	0	1
1423	B	1	18	33764	268	-	-	0	1
1425	B	8	2	33881	269	2798087	0x002AB207	0	1
1425	B	6	18	33881	269	-	-	0	1
1489	B	8	2	33897	270	2798087	0x002AB207	0	0
1489	B	6	18	33897	270	-	-	0	0
1421	B	5	17	34498	276	-	-	0	1
1470	A	6	-1	34547	276	2916837	0x002C81E5	0	0
1442	B	1	6	34765	278	-	-	0	0
1442	B	9	30	34765	278	63135477	0x03C35EF5	0	0
1498	A	6	-1	35015	281	2916839	0x002C81E7	0	1
1498	B	10	18	35015	281	0	0	0	1
1464	B	2	6	35716	288	-	-	0	0
1421	B	5	5	36383	294	-	-	0	1
1492	B	14	2	36433	295	4	3	0	0
1478	B	7	27	36633	297	8456663	0.81129	0	0
1442	B	12	6	36900	300	0	-1	0	0
1442	B	1	6	36900	300	-	-	0	0
1442	B	9	30	36900	300	63267060	0x03C560F4	0	0
1494	B	4	0	37169	302	-	-	0	0
1493	B	14	25	37484	305	13	12	0	0
1488	B	13	12	37918	310	12	11	0	0
1423	A	6	-1	38035	311	44859874	0x02AC81E2	0	1
1423	B	13	2	38035	311	2	1	0	1
1425	B	8	2	38152	312	2798087	0x002AB207	0	1
1425	B	6	18	38152	312	-	-	0	1
1489	B	8	2	38168	312	2798087	0x002AB207	0	0
1489	B	6	18	38168	312	-	-	0	0
1468	B	7	20	38201	313	4169267	-50.29846	0	0
1437	A	6	-1	38268	313	2916836	0x002C81E4	0	0
1437	B	15	18	38268	313	10	9	0	0
1416	B	1	22	38301	314	-	-	0	1
1416	B	2	29	38301	314	-	-	0	1
1441	A	6	-1	38335	314	2916836	0x002C81E4	0	0
1441	B	15	18	38335	314	7	6	0	0
1468	B	10	6	38402	315	1	1	0	0
1468	B	14	21	38402	315	0	-1	0	0
1462	A	6	-1	38685	317	2916836	0x002C81E4	0	0
1462	B	14	18	38685	317	6	5	0	0
1471	A	8	-1	38835	319	-	-	0	0
1471	B	0	18	38835	319	-	-	0	0
1474	A	8	-1	38885	319	-	-	0	0
1474	B	0	18	38885	319	-	-	0	0
1480	B	5	18	38985	320	-	-	0	0
1442	B	8	6	39036	321	104919278	0x0640F0EE	0	0
1442	B	0	7	39036	321	-	-	0	0
1442	B	1	14	39036	321	-	-	0	0
1488	A	8	-1	39119	322	-	-	0	0
1488	B	0	18	39119	322	-	-	0	0
1438	B	2	8	39219	323	-	-	0	0
1467	B	13	6	39269	323	3	2	0	0
1494	B	1	4	39669	327	-	-	0	0
1467	B	7	4	40854	339	3408908	-59.36264	0	0
1467	B	0	15	40854	339	-	-	0	0
1443	B	7	2	40904	340	3409368	-59.35716	0	0
1443	B	7	2	40920	340	3409495	-59.35565	0	0
1443	B	2	31	40920	340	-	-	0	0
1467	B	7	2	40954	340	3408049	-59.37288	0	0
1467	B	6	31	40954	340	-	-	0	0
1475	B	7	2	40971	340	3408059	-59.37276	0	0
1475	B	12	31	40971	340	4	3	0	0
1491	B	7	2	40987	340	3408071	-59.37262	0	0
1468	B	5	30	41088	341	-	-	0	0
1442	B	0	7	41171	342	-	-	0	0
1442	B	0	6	41171	342	-	-	0	0
1419	B	1	14	41439	345	-	-	0	1
1419	B	13	26	41439	345	4	3	0	1
1423	B	1	14	41755	348	-	-	0	1
1472	B	0	12	42006	351	-	-	0	0
1417	B	3	2	42207	353	-	-	0	1
1494	B	4	0	42207	353	-	-	0	0
1501	B	8	22	42339	354	74723881	0x04743229	0	1
1501	B	7	24	42339	354	8456669	0.81136	0	1
1426	B	7	18	42355	354	10887648	29.79088	0	1
1425	B	8	2	42423	355	2273799	0x0022B207	0	1
1425	B	10	18	42423	355	0	0	0	1
1489	B	8	2	42439	355	2273799	0x0022B207	0	0
1489	B	8	18	42439	355	2798087	0x002AB207	0	0
1462	A	8	-1	42956	360	-	-	0	0
1419	B	10	15	43107	362	0	0	0	1
1419	B	12	30	43107	362	2	1	0	1
1442	B	12	6	43306	364	0	-1	0	0
1442	B	0	7	43306	364	-	-	0	0
1442	B	1	14	43306	364	-	-	0	0
1494	A	8	-1	43490	366	-	-	0	0
1494	B	0	18	43490	366	-	-	0	0
1494	A	6	-1	43490	366	11305443	0x00AC81E3	0	0
1495	A	10	-1	43507	366	-	-	0	0
1501	B	9	18	43607	367	2440593861	0x917881C5	0	1
1494	B	4	0	43861	369	-	-	0	0
1494	B	4	0	43861	369	-	-	0	0
1468	B	6	14	44625	377	-	-	0	0
1468	B	4	20	44625	377	-	-	0	0
1494	B	4	0	44679	377	-	-	0	0
1500	A	4	-1	44791	379	1	0x00000001	1	1
1501	A	3	-1	44791	379	8396996	0.09999	1	1
1501	A	3	-1	44892	380	8405385	0.20001	1	1
1501	A	3	-1	44992	381	8413774	0.30000	1	1
1501	A	3	-1	45092	382	8422162	0.39999	1	1
1501	A	3	-1	45192	383	8430551	0.50002	1	1
1419	B	11	15	45225	383	9	8	0	1
1419	B	14	25	45225	383	14	13	0	1
1501	A	3	-1	45292	384	8438939	0.60001	1	1
1501	A	3	-1	45392	385	8447328	0.70000	1	1
1494	B	4	0	45410	385	-	-	0	0
1442	B	0	7	45442	385	-	-	0	0
1442	B	0	7	45442	385	-	-	0	0
1442	B	1	14	45442	385	-	-	0	0
1419	B	3	14	45459	385	-	-	0	1
1419	B	8	17	45459	385	2028054050	0x78E1A622	0	1
1501	A	3	-1	45493	386	8455717	0.80001	1	1
1413	B	2	10	45576	386	-	-	0	1
1501	A	3	-1	45593	387	8464105	0.90001	1	1
1426	B	4	0	45593	387	-	-	0	1
1499	A	4	-1	45677	387	1	0x00000001	1	1
1500	A	4	-1	45693	388	4294967295	0xFFFFFFFF	1	1
1501	A	3	-1	45693	388	8388607	-0.00001	1	1
1468	B	6	18	45793	389	-	-	0	0
1468	B	1	20	45793	389	-	-	0	0
1468	B	7	20	45959	390	10073534	20.08588	1	0
1500	B	0	2	46177	392	-	-	0	1
1417	B	13	24	46344	394	4	3	0	1
1416	B	1	1	46376	394	-	-	0	1
1488	B	10	1	46610	397	1	1	0	0
1488	B	3	29	46610	397	-	-	0	0
1462	B	9	8	46627	397	2022834184	0x78920008	0	0
1420	B	7	0	46677	397	8391005	0.02859	1	1
1420	B	7	2	46677	397	8391005	0.02859	1	1
1420	B	7	4	46677	397	8391005	0.02859	1	1
1420	B	7	6	46677	397	8391005	0.02859	1	1
1422	B	7	1	46677	397	8391005	0.02859	1	1
1422	B	7	3	46677	397	8391005	0.02859	1	1
1422	B	7	5	46677	397	8391005	0.02859	1	1
1422	B	7	7	46677	397	8391005	0.02859	1	1
1425	B	6	2	46693	398	-	-	0	1
1425	B	6	18	46693	398	-	-	0	1
1489	B	6	2	46711	398	-	-	0	0
1489	B	6	18	46711	398	-	-	0	0
1494	B	4	0	46762	398	-	-	0	0
1439	A	8	-1	46844	399	-	-	0	0
1439	B	0	18	46844	399	-	-	0	0
1468	B	5	2	46860	399	-	-	0	0
1442	A	14	-1	46894	400	-	-	0	0
1442	B	0	2	46894	400	-	-	0	0
1443	A	10	-1	46910	400	-	-	0	0
1443	B	0	2	46910	400	-	-	0	0
1494	B	4	0	47011	401	-	-	0	0
1467	A	8	-1	47311	404	-	-	0	0
1467	B	0	18	47311	404	-	-	0	0
1468	A	10	-1	47328	404	-	-	0	0
1468	B	0	2	47328	404	-	-	0	0
1470	A	10	-1	47360	404	-	-	0	0
1472	B	15	2	47444	405	0	-1	0	0
1442	B	12	6	47578	406	0	-1	0	0
1420	B	7	0	47678	407	8393401	0.05715	1	1
1420	B	7	2	47678	407	8393401	0.05715	1	1
1420	B	7	4	47678	407	8393401	0.05715	1	1
1420	B	7	6	47678	407	8393401	0.05715	1	1
1422	B	7	1	47678	407	8393401	0.05715	1	1
1422	B	7	3	47678	407	8393401	0.05715	1	1
1422	B	7	5	47678	407	8393401	0.05715	1	1
1422	B	7	7	47678	407	8393401	0.05715	1	1
1472	B	4	6	47695	408	-	-	0	0
1472	B	6	30	47695	408	-	-	0	0
1491	B	7	18	47711	408	10802660	28.77774	0	0
1492	B	7	18	47728	408	10806756	28.82657	0	0
1494	B	7	18	47761	408	10813924	28.91202	0	0
1495	B	7	18	47777	408	10816996	28.94864	0	0
1497	B	7	18	47811	409	10822116	29.00967	0	1
1498	B	7	18	47828	409	10824164	29.03409	0	1
1499	B	7	18	47845	409	10826212	29.05850	0	1
1501	A	8	-1	47861	409	-	-	0	1
1501	B	8	14	47861	409	2152857610	0x8052000A	0	1
1501	B	10	18	47861	409	1	1	0	1
1501	B	9	27	47861	409	64134386	0x03D29CF2	0	1
1500	A	6	-1	47861	409	11305443	0x00AC81E3	0	1
1500	B	13	2	47861	409	8	7	0	1
1501	B	7	18	47878	409	10830308	29.10733	0	1
1472	B	7	2	47945	410	13170385	57.00323	0	0
1417	B	6	9	47978	410	-	-	0	1
1494	B	4	0	48314	414	-	-	0	0
1494	B	4	0	48314	414	-	-	0	0
1421	B	3	29	48395	415	-	-	0	1
1420	B	7	0	48679	417	8395798	0.08571	1	1
1420	B	7	2	48679	417	8395798	0.08571	1	1
1420	B	7	4	48679	417	8395798	0.08571	1	1
1420	B	7	6	48679	417	8395798	0.08571	1	1
1422	B	7	1	48679	417	8395798	0.08571	1	1
1422	B	7	3	48679	417	8395798	0.08571	1	1
1422	B	7	5	48679	417	8395798	0.08571	1	1
1422	B	7	7	48679	417	8395798	0.08571	1	1
1468	B	0	14	48845	419	-	-	0	0
1468	B	3	15	48845	419	-	-	0	0
1437	B	9	26	49213	423	1949107010	0x742D0342	0	0
1423	B	9	17	49330	424	2123431944	0x7E910008	0	1
1480	B	0	7	49380	424	-	-	0	0
1497	B	10	2	49530	426	1	1	0	1
1420	B	7	0	49680	427	8398195	0.11430	1	1
1420	B	7	2	49680	427	8398195	0.11430	1	1
1420	B	7	4	49680	427	8398195	0.11430	1	1
1420	B	7	6	49680	427	8398195	0.11430	1	1
1422	B	7	1	49680	427	8398195	0.11430	1	1
1422	B	7	3	49680	427	8398195	0.11430	1	1
1422	B	7	5	49680	427	8398195	0.11430	1	1
1422	B	7	7	49680	427	8398195	0.11430	1	1
1442	B	0	7	49713	428	-	-	0	0
1442	B	1	30	49713	428	-	-	0	0
1470	B	3	2	49930	430	-	-	0	0
1420	B	7	0	50681	437	8400592	0.14286	1	1
1420	B	7	2	50681	437	8400592	0.14286	1	1
1420	B	7	4	50681	437	8400592	0.14286	1	1
1420	B	7	6	50681	437	8400592	0.14286	1	1
1422	B	7	1	50681	437	8400592	0.14286	1	1
1422	B	7	3	50681	437	8400592	0.14286	1	1
1422	B	7	5	50681	437	8400592	0.14286	1	1
1422	B	7	7	50681	437	8400592	0.14286	1	1
1416	A	12	-1	50731	438	-	-	0	1
1416	B	0	18	50731	438	-	-	0	1
1417	A	10	-1	50747	438	-	-	0	1
1417	B	0	18	50747	438	-	-	0	1
1501	A	3	-1	50848	439	8471096	0.98334	1	1
1424	A	6	-1	50865	439	2916831	0x002C81DF	0	1
1501	A	3	-1	50865	439	8469698	0.96667	1	1
1425	A	6	-1	50881	439	2916831	0x002C81DF	0	1
1501	A	3	-1	50881	439	8468299	0.95000	1	1
1501	A	3	-1	50898	440	8466901	0.93333	1	1
1427	A	10	-1	50914	440	-	-	0	1
1427	B	0	2	50914	440	-	-	0	1
1427	A	10	-1	50914	440	-	-	0	1
1427	B	0	18	50914	440	-	-	0	1
1501	A	3	-1	50914	440	8465503	0.91667	1	1
1501	A	3	-1	50931	440	8464105	0.90001	1	1
1501	A	3	-1	50948	440	8462707	0.88334	1	1
1425	B	8	2	50965	440	2273799	0x0022B207	0	1
1425	B	10	18	50965	440	0	0	0	1
1501	A	3	-1	50965	440	8461309	0.86668	1	1
1489	B	10	2	50981	440	0	0	0	0
1489	B	12	18	50981	440	0	-1	0	0
1501	A	3	-1	50981	440	8459911	0.85001	1	1
1501	A	3	-1	50997	441	8458513	0.83334	1	1
1501	A	3	-1	51014	441	8457115	0.81668	1	1
1501	A	3	-1	51031	441	8455717	0.80001	1	1
1501	A	3	-1	51048	441	8454318	0.78333	1	1
1501	A	3	-1	51065	441	8452920	0.76666	1	1
