# lot C-ter volet 1 — CT.1.1 — film 8076f97f — resume par (slot, mode, tag), calcule sur les lectures CHAINEES ; non_chainees = lectures ecartees ; bande = 1 stricte
slot	bande	mode	tag	emissions	avec_valeur	non_chainees	distinctes	changements	joueurs	t_ms_premiere	t_ms_derniere	frame_premiere	frame_derniere	valeurs_top4
1455	1	A	8	0	0	1	0	0	0	0	0	-1	-1	
1455	1	B	0	0	0	5	0	0	0	0	0	-1	-1	
1455	1	B	1	0	0	1	0	0	0	0	0	-1	-1	
1455	1	B	4	0	0	2	0	0	0	0	0	-1	-1	
1455	1	B	5	0	0	1	0	0	0	0	0	-1	-1	
1455	1	B	6	0	0	3	0	0	0	0	0	-1	-1	
1455	1	B	7	0	0	1	0	0	0	0	0	-1	-1	
1455	1	B	8	12	12	0	3	8	4	184543	347264	1694	3322	0x00000001 x4 0x00000002 x4 0x00000003 x4
1455	1	B	10	0	0	1	0	0	0	0	0	-1	-1	
1455	1	B	14	0	0	1	0	0	0	0	0	-1	-1	
1456	1	A	0	0	0	1	0	0	0	0	0	-1	-1	
1456	1	A	5	0	0	1	0	0	0	0	0	-1	-1	
1456	1	A	13	0	0	1	0	0	0	0	0	-1	-1	
1456	1	B	0	0	0	9	0	0	0	0	0	-1	-1	
1456	1	B	1	0	0	6	0	0	0	0	0	-1	-1	
1456	1	B	3	0	0	3	0	0	0	0	0	-1	-1	
1456	1	B	4	0	0	4	0	0	0	0	0	-1	-1	
1456	1	B	5	0	0	3	0	0	0	0	0	-1	-1	
1456	1	B	6	0	0	9	0	0	0	0	0	-1	-1	
1456	1	B	8	0	0	29	0	0	0	0	0	-1	-1	
1456	1	B	9	1	1	1	1	0	1	272332	272332	2572	2572	0x54977EF2 x1
1456	1	B	10	0	0	6	0	0	0	0	0	-1	-1	
1456	1	B	12	0	0	6	0	0	0	0	0	-1	-1	
1456	1	B	13	0	0	3	0	0	0	0	0	-1	-1	
1456	1	B	14	0	0	1	0	0	0	0	0	-1	-1	
1457	1	B	0	0	0	2	0	0	0	0	0	-1	-1	
1457	1	B	2	0	0	1	0	0	0	0	0	-1	-1	
1457	1	B	3	0	0	1	0	0	0	0	0	-1	-1	
1457	1	B	4	0	0	3	0	0	0	0	0	-1	-1	
1457	1	B	6	0	0	3	0	0	0	0	0	-1	-1	
1457	1	B	7	0	0	1	0	0	0	0	0	-1	-1	
1457	1	B	8	0	0	3	0	0	0	0	0	-1	-1	
1457	1	B	10	0	0	1	0	0	0	0	0	-1	-1	
1457	1	B	11	0	0	3	0	0	0	0	0	-1	-1	
1457	1	B	12	0	0	16	0	0	0	0	0	-1	-1	
1457	1	B	14	0	0	2	0	0	0	0	0	-1	-1	
1457	1	B	15	0	0	1	0	0	0	0	0	-1	-1	
