slot	gen	instance	global_id	famille	t0_us	t1_us	lectures	lectures_i27	min_i27	max_i27	lectures_i26	decroissances_i27
1855	1	0	0xbcabbe43	grenade_frag	1203701102	1209205632	2	1	223	223	1	0
1857	1	0	0xbcabbe43	grenade_frag	1203701102	1212475674	4	1	45	45	3	0
1886	1	0	0xbcabbe43	grenade_frag	1218234302	1221033004	1	0	0	0	1	0
1888	1	0	0xbcabbe43	grenade_frag	1218234302	1222046745	1	0	0	0	1	0
1901	1	0	0xbcabbe43	grenade_frag	1221174941	1228252158	1	0	0	0	1	0
1903	1	0	0xbcabbe43	grenade_frag	1221174941	1225499592	1	0	0	0	1	0
1905	1	0	0xcaaadcb0	grenade_plasma	1221174941	1228452726	1	0	0	0	1	0
1907	1	0	0xcaaadcb0	grenade_plasma	1221174941	1224581743	1	0	0	0	1	0
1915	1	0	0xbcabbe43	grenade_frag	1223218522	1226050226	1	0	0	0	1	0
1917	1	0	0xbcabbe43	grenade_frag	1223218522	1226567731	1	0	0	0	1	0
1921	1	0	0xbcabbe43	grenade_frag	1225186943	1228235419	1	0	0	0	1	0
1923	1	0	0xbcabbe43	grenade_frag	1225186943	1227535129	1	0	0	0	1	0
1927	1	0	0xcaaadcb0	grenade_plasma	1225186943	1227602029	1	0	0	0	1	0
1928	1	0	0x4396db42	other	1225186943	1228120098	0	0	0	0	0	0
1932	1	0	0x273fe0eb	grapple	1227703670	1229854758	1	0	0	0	1	0
1955	1	0	0xbcabbe43	grenade_frag	1242236747	1247289448	1	0	0	0	1	0
1957	1	0	0xbcabbe43	grenade_frag	1242236747	1247172670	1	0	0	0	1	0
1964	1	0	0xbcabbe43	grenade_frag	1244105486	1249406894	1	0	0	0	1	0
1968	1	0	0xbcabbe43	grenade_frag	1245093292	1249290204	1	0	0	0	1	0
1970	1	0	0xbcabbe43	grenade_frag	1245093292	1249590311	2	1	247	247	1	0
1971	1	0	0x4396db42	other	1245093292	1247305397	0	0	0	0	0	0
1977	1	0	0xbcabbe43	grenade_frag	1246025920	1248041213	1	0	0	0	1	0
1979	1	0	0xbcabbe43	grenade_frag	1246025920	1252676758	1	0	0	0	1	0
1983	1	0	0xbcabbe43	grenade_frag	1247030969	1250073803	1	0	0	0	1	0
1985	1	0	0xbcabbe43	grenade_frag	1247030969	1249707268	1	0	0	0	1	0
1987	1	0	0x0f5716ff	grenade_spike	1247030969	1247789614	1	0	0	0	1	0
1989	1	0	0x0f5716ff	grenade_spike	1247030969	1247588854	1	0	0	0	1	0
2017	1	0	0xbcabbe43	grenade_frag	1260323727	1272683009	3	0	0	0	1	0
2019	1	0	0xbcabbe43	grenade_frag	1260323727	1273467226	1	0	0	0	1	0
2023	1	0	0xbcabbe43	grenade_frag	1262977893	1270330015	1	0	0	0	1	0
2025	1	0	0xbcabbe43	grenade_frag	1262977893	1268411953	1	0	0	0	1	0
2026	1	0	0x2974c233	wall	1262977893	1263957800	0	0	0	0	0	0
2032	1	0	0xcaaadcb0	grenade_plasma	1265946883	1285531868	2	1	91	91	1	0
2043	1	0	0xbcabbe43	grenade_frag	1269785139	1284429279	1	0	0	0	1	0
2045	1	0	0xbcabbe43	grenade_frag	1269785139	1279390247	1	0	0	0	1	0
2071	1	0	0x686b40c9	wall	1281626397	1282293906	1	0	0	0	1	0
2088	1	0	0xbcabbe43	grenade_frag	1290306402	1299094911	2	1	248	248	1	0
2089	1	0	0x686b40c9	wall	1293840049	1294357142	1	0	0	0	1	0
2117	1	0	0xbcabbe43	grenade_frag	1313813685	1316465635	1	0	0	0	1	0
2124	1	0	0xbcabbe43	grenade_frag	1315165171	1323454134	1	0	0	0	1	0
2126	1	0	0xbcabbe43	grenade_frag	1315165171	1322402065	2	0	0	0	2	0
2127	1	0	0x4396db42	other	1315165171	1317513658	0	0	0	0	0	0
2149	1	0	0xbcabbe43	grenade_frag	1324826260	1342073961	1	0	0	0	1	0
2169	1	0	0xb781197a	powerup_overshield	1333170176	1333998434	0	0	0	0	0	0
2184	1	0	0x273fe0eb	grapple	1341394436	1342173905	2	0	0	0	2	0
2190	1	0	0x2974c233	wall	1344830176	1344876654	1	0	0	0	0	0
2196	1	0	0xbcabbe43	grenade_frag	1347617713	1353352205	1	0	0	0	1	0
2198	1	0	0xbcabbe43	grenade_frag	1347617713	1352298705	1	0	0	0	1	0
2199	1	0	0x2974c233	wall	1347617713	1349029711	0	0	0	0	0	0
2204	1	0	0xbcabbe43	grenade_frag	1348834350	1353450265	2	0	0	0	1	0
2206	1	0	0xbcabbe43	grenade_frag	1348834350	1352199863	1	0	0	0	1	0
2213	1	0	0xbcabbe43	grenade_frag	1350384966	1354467814	1	0	0	0	1	0
2215	1	0	0xbcabbe43	grenade_frag	1350384966	1355769495	1	0	0	0	1	0
2250	1	0	0xbcabbe43	grenade_frag	1365151645	1369052150	1	0	0	0	1	0
2252	1	0	0xbcabbe43	grenade_frag	1365151645	1370286233	1	0	0	0	1	0
2257	1	0	0xbcabbe43	grenade_frag	1365452464	1369402078	1	0	0	0	1	0
2259	1	0	0xbcabbe43	grenade_frag	1365452464	1368451598	1	0	0	0	1	0
2260	1	0	0x273fe0eb	grapple	1365452464	1366333257	2	0	0	0	2	0
2265	1	0	0xbcabbe43	grenade_frag	1369173239	1374306582	1	0	0	0	1	0
2267	1	0	0xcaaadcb0	grenade_plasma	1369173239	1374406911	1	0	0	0	1	0
2269	1	0	0xcaaadcb0	grenade_plasma	1369173239	1372471823	1	0	0	0	1	0
2273	1	0	0xbcabbe43	grenade_frag	1369374227	1372454620	1	0	0	0	1	0
2275	1	0	0xbcabbe43	grenade_frag	1369374227	1385035238	1	0	0	0	1	0
2279	1	0	0xbcabbe43	grenade_frag	1369956775	1372404929	1	0	0	0	1	0
2281	1	0	0xbcabbe43	grenade_frag	1369956775	1372704846	1	0	0	0	1	0
2283	1	0	0xcaaadcb0	grenade_plasma	1369956775	1372721910	1	0	0	0	1	0
2285	1	0	0xcaaadcb0	grenade_plasma	1369956775	1372805133	1	0	0	0	1	0
2286	1	0	0x2974c233	wall	1369956775	1370920387	0	0	0	0	0	0
2321	1	0	0xbcabbe43	grenade_frag	1383254066	1392892703	1	0	0	0	1	0
2323	1	0	0xbcabbe43	grenade_frag	1383254066	1396914767	1	0	0	0	1	0
2330	1	0	0xbcabbe43	grenade_frag	1387106795	1391141127	1	0	0	0	1	0
