slot	gen	instance	global_id	famille	t0_us	t1_us	lectures	lectures_i27	min_i27	max_i27	lectures_i26	decroissances_i27
1490	1	0	0xbcabbe43	grenade_frag	6644648342	6649532735	1	0	0	0	1	0
1492	1	0	0xbcabbe43	grenade_frag	6644648342	6648414573	2	0	0	0	1	0
1499	1	0	0xbcabbe43	grenade_frag	6645869002	6650234341	2	0	0	0	2	0
1501	1	0	0xbcabbe43	grenade_frag	6645869002	6651318442	2	0	0	0	2	0
1505	1	0	0xbcabbe43	grenade_frag	6645869002	6649399106	4	0	0	0	3	0
1507	1	0	0xbcabbe43	grenade_frag	6645869002	6650467021	3	0	0	0	2	0
1540	1	0	0xbcabbe43	grenade_frag	6666987798	6670036486	1	0	0	0	1	0
1542	1	0	0xbcabbe43	grenade_frag	6666987798	6669919711	1	0	0	0	1	0
1544	1	0	0x0f5716ff	grenade_spike	6666987798	6668252086	1	0	0	0	1	0
1546	1	0	0x0f5716ff	grenade_spike	6666987798	6671221363	1	0	0	0	1	0
1557	1	0	0x4396db42	other	6676913367	6679179280	0	0	0	0	0	0
1569	1	0	0xbcabbe43	grenade_frag	6679383839	6684017612	1	0	0	0	1	0
1571	1	0	0xbcabbe43	grenade_frag	6679383839	6691124599	1	0	0	0	1	0
1590	1	0	0xbcabbe43	grenade_frag	6697235447	6701886536	2	1	239	239	1	0
1592	1	0	0xbcabbe43	grenade_frag	6697235447	6703253732	2	0	0	0	2	0
1593	1	0	0x7ca85adc	repulsor	6697235447	6698164854	0	0	0	0	0	0
1597	1	0	0xbcabbe43	grenade_frag	6699170153	6703153548	1	0	0	0	1	0
1599	1	0	0xbcabbe43	grenade_frag	6699170153	6702669634	1	0	0	0	1	0
1604	1	0	0xbcabbe43	grenade_frag	6702039414	6705022032	1	0	0	0	1	0
1632	1	0	0xbcabbe43	grenade_frag	6716004511	6716884633	1	0	0	0	1	0
1634	1	0	0xbcabbe43	grenade_frag	6716004511	6721305438	1	0	0	0	1	0
1635	1	0	0x4396db42	other	6716004511	6716901660	1	0	0	0	0	0
1645	1	0	0xbcabbe43	grenade_frag	6723230799	6727928237	1	0	0	0	1	0
1649	1	0	0xbcabbe43	grenade_frag	6723230799	6729463519	1	0	0	0	1	0
1650	1	0	0x4396db42	other	6723230799	6725076266	0	0	0	0	0	0
1673	1	0	0xbcabbe43	grenade_frag	6733437344	6737310483	3	1	11	11	2	0
1675	1	0	0xbcabbe43	grenade_frag	6733437344	6737376808	1	0	0	0	1	0
1687	1	0	0x7ca85adc	repulsor	6740165488	6740864576	0	0	0	0	0	0
1697	1	0	0xbcabbe43	grenade_frag	6743754770	6747120892	1	0	0	0	1	0
1699	1	0	0xbcabbe43	grenade_frag	6743754770	6746203141	1	0	0	0	1	0
1715	1	0	0xbcabbe43	grenade_frag	6752462938	6753893950	1	0	0	0	1	0
1726	1	0	0x7ca85adc	repulsor	6760701498	6761635072	0	0	0	0	0	0
1737	1	0	0xbcabbe43	grenade_frag	6767929751	6772179074	2	1	64	64	1	0
1739	1	0	0xbcabbe43	grenade_frag	6767929751	6778485699	1	0	0	0	1	0
1740	1	0	0x273fe0eb	grapple	6767929751	6767975378	2	1	28	28	1	0
1757	1	0	0xbcabbe43	grenade_frag	6776186457	6780788022	1	0	0	0	1	0
1761	1	0	0xbcabbe43	grenade_frag	6776421752	6779152868	1	0	0	0	1	0
1764	1	0	0x273fe0eb	grapple	6776421752	6787962142	2	0	0	0	2	0
1765	1	0	0x7ca85adc	repulsor	6776421752	6777451265	0	0	0	0	0	0
1785	1	0	0xbcabbe43	grenade_frag	6781892425	6785259172	1	0	0	0	1	0
1788	1	0	0x7ca85adc	repulsor	6781892425	6781956165	1	0	0	0	0	0
1809	1	0	0xbcabbe43	grenade_frag	6790936240	6794118203	1	0	0	0	1	0
1811	1	0	0xbcabbe43	grenade_frag	6790936240	6794184926	1	0	0	0	1	0
1812	1	0	0x7ca85adc	repulsor	6790936240	6791732345	0	0	0	0	0	0
1821	1	0	0xbcabbe43	grenade_frag	6795240299	6798222561	1	0	0	0	1	0
