slot	gen	instance	global_id	famille	t0_us	t1_us	lectures	lectures_i27	min_i27	max_i27	lectures_i26	decroissances_i27
1564	1	0	0xbcabbe43	grenade_frag	6891449221	6897268688	1	0	0	0	1	0
1566	1	0	0xbcabbe43	grenade_frag	6891449221	6896552578	2	1	223	223	1	0
1571	1	0	0xbcabbe43	grenade_frag	6893618861	6901239113	1	0	0	0	1	0
1573	1	0	0xbcabbe43	grenade_frag	6893618861	6899787657	1	0	0	0	1	0
1574	1	0	0x273fe0eb	grapple	6893618861	6894433130	2	0	0	0	2	0
1579	1	0	0xbcabbe43	grenade_frag	6897039971	6899704077	3	2	2	243	1	1
1581	1	0	0xbcabbe43	grenade_frag	6897039971	6899938639	1	0	0	0	1	0
1585	1	0	0xbcabbe43	grenade_frag	6897389588	6901573313	2	0	0	0	1	0
1587	1	0	0xbcabbe43	grenade_frag	6897389588	6901723872	1	0	0	0	1	0
1603	1	0	0xbcabbe43	grenade_frag	6905580805	6909798826	1	0	0	0	1	0
1612	1	0	0xbcabbe43	grenade_frag	6909085113	6913436261	1	0	0	0	1	0
1614	1	0	0xbcabbe43	grenade_frag	6909085113	6914704130	1	0	0	0	1	0
1647	1	0	0xbcabbe43	grenade_frag	6947522833	6954110218	1	0	0	0	1	0
1651	1	0	0xbcabbe43	grenade_frag	6948957842	6953642643	1	0	0	0	1	0
1653	1	0	0xbcabbe43	grenade_frag	6948957842	6953825978	2	0	0	0	2	0
1655	1	0	0x0f5716ff	grenade_spike	6948957842	6950188482	1	0	0	0	1	0
1657	1	0	0x0f5716ff	grenade_spike	6948957842	6951240405	2	0	0	0	2	0
1662	1	0	0xbcabbe43	grenade_frag	6951263931	6955994135	2	1	208	208	1	0
1664	1	0	0xbcabbe43	grenade_frag	6951263931	6956645124	1	0	0	0	1	0
1666	1	0	0xaada07f3	grenade_dynamo	6951263931	6952758677	2	1	243	243	1	0
1668	1	0	0xaada07f3	grenade_dynamo	6951263931	6953575335	1	0	0	0	1	0
1672	1	0	0xbcabbe43	grenade_frag	6951263931	6955193971	1	0	0	0	1	0
1674	1	0	0xbcabbe43	grenade_frag	6951263931	6955027549	1	0	0	0	1	0
1676	1	0	0xaada07f3	grenade_dynamo	6951263931	6954326672	1	0	0	0	1	0
1678	1	0	0xaada07f3	grenade_dynamo	6951263931	6953526035	1	0	0	0	1	0
1696	1	0	0xbcabbe43	grenade_frag	6960919807	6964887288	1	0	0	0	1	0
1698	1	0	0xbcabbe43	grenade_frag	6960919807	6966105255	1	0	0	0	1	0
1700	1	0	0xaada07f3	grenade_dynamo	6960919807	6962834932	1	0	0	0	1	0
1706	1	0	0xaada07f3	grenade_dynamo	6962808498	6963436201	1	0	0	0	1	0
1717	1	0	0xaada07f3	grenade_dynamo	6969260905	6970292378	1	0	0	0	1	0
1718	1	0	0x273fe0eb	grapple	6969260905	6970142803	2	0	0	0	2	0
1734	1	0	0xbcabbe43	grenade_frag	6979889640	6985542568	3	1	91	91	2	0
1735	1	0	0x273fe0eb	grapple	6979889640	6980703826	3	0	0	0	3	0
1753	1	0	0x273fe0eb	grapple	6997524703	6998154444	3	0	0	0	2	0
1759	1	0	0xbcabbe43	grenade_frag	7001643708	7005745815	1	0	0	0	1	0
1773	1	0	0xbcabbe43	grenade_frag	7009336141	7009448873	1	0	0	0	1	0
1788	1	0	0xbcabbe43	grenade_frag	7017960343	7021677699	1	0	0	0	1	0
1790	1	0	0xbcabbe43	grenade_frag	7017960343	7022178672	1	0	0	0	1	0
1799	1	0	0xbcabbe43	grenade_frag	7021148668	7026383281	2	1	208	208	1	0
1801	1	0	0xbcabbe43	grenade_frag	7021148668	7026232215	1	0	0	0	1	0
1802	1	0	0x273fe0eb	grapple	7021148668	7021244832	3	0	0	0	2	0
1808	1	0	0xbcabbe43	grenade_frag	7023368571	7027683388	1	0	0	0	1	0
1810	1	0	0xbcabbe43	grenade_frag	7023368571	7027483012	1	0	0	0	1	0
1814	1	0	0xbcabbe43	grenade_frag	7023368571	7028584849	1	0	0	0	1	0
1816	1	0	0xbcabbe43	grenade_frag	7023368571	7028050279	1	0	0	0	1	0
1843	1	0	0xbcabbe43	grenade_frag	7052996594	7059265139	1	0	0	0	1	0
1844	1	0	0x273fe0eb	grapple	7052996594	7054027214	2	0	0	0	2	0
1857	1	0	0x273fe0eb	grapple	7076036881	7076650127	4	1	208	208	2	0
1860	1	0	0x273fe0eb	grapple	7076838746	7077800604	2	0	0	0	2	0
1868	1	0	0x273fe0eb	grapple	7082444246	7082488968	1	0	0	0	1	0
1893	1	0	0xbcabbe43	grenade_frag	7092251516	7092850529	1	0	0	0	1	0
1912	1	0	0xbcabbe43	grenade_frag	7110589056	7114604781	1	0	0	0	1	0
1916	1	0	0xbcabbe43	grenade_frag	7111790396	7113320122	1	0	0	0	1	0
1918	1	0	0xbcabbe43	grenade_frag	7111790396	7116874156	1	0	0	0	1	0
1920	1	0	0xaada07f3	grenade_dynamo	7111790396	7112686062	2	0	0	0	2	0
1922	1	0	0xaada07f3	grenade_dynamo	7111790396	7113903884	1	0	0	0	1	0
1923	1	0	0x273fe0eb	grapple	7111790396	7112535688	2	0	0	0	2	0
1928	1	0	0xbcabbe43	grenade_frag	7113807661	7118158314	1	0	0	0	1	0
1930	1	0	0xcaaadcb0	grenade_plasma	7113807661	7117174645	2	0	0	0	2	0
1932	1	0	0xcaaadcb0	grenade_plasma	7113807661	7118424948	1	0	0	0	1	0
1933	1	0	0x273fe0eb	grapple	7113807661	7114422382	2	0	0	0	2	0
1944	1	0	0x273fe0eb	grapple	7119764385	7120711471	2	0	0	0	2	0
1969	1	0	0xbcabbe43	grenade_frag	7141234778	7143583757	1	0	0	0	1	0
1971	1	0	0xbcabbe43	grenade_frag	7141234778	7144785318	2	0	0	0	2	0
1975	1	0	0xbcabbe43	grenade_frag	7142969204	7147821224	1	0	0	0	1	0
1983	1	0	0xbcabbe43	grenade_frag	7147258918	7151995973	1	0	0	0	1	0
1985	1	0	0xbcabbe43	grenade_frag	7147258918	7148221973	1	0	0	0	1	0
1987	1	0	0xaada07f3	grenade_dynamo	7147258918	7148122470	1	0	0	0	1	0
2011	1	0	0xbcabbe43	grenade_frag	7159051597	7161885414	1	0	0	0	1	0
2013	1	0	0xbcabbe43	grenade_frag	7159051597	7161951755	1	0	0	0	1	0
2019	1	0	0xbcabbe43	grenade_frag	7163440262	7167224393	1	0	0	0	1	0
2021	1	0	0xbcabbe43	grenade_frag	7163440262	7167591353	1	0	0	0	1	0
