slot	gen	instance	global_id	famille	t0_us	t1_us	lectures	lectures_i27	min_i27	max_i27	lectures_i26	decroissances_i27
1968	1	0	0x4396db42	other	7877897789	7880523326	2	2	194	225	0	1
1986	1	0	0xbcabbe43	grenade_frag	7882664170	7889968656	1	0	0	0	1	0
1988	1	0	0xbcabbe43	grenade_frag	7882664170	7891736851	12	2	210	244	2	1
1989	1	0	0x72b63d69	sensor	7882664170	7884762354	8	1	104	104	0	0
1993	1	0	0x72b63d69	sensor	7887066843	7888967165	2	1	211	211	0	0
1995	1	0	0x2974c233	wall	7887902267	7888933361	0	0	0	0	0	0
2006	1	0	0x2974c233	wall	7891539894	7892305515	0	0	0	0	0	0
2016	1	0	0x72b63d69	sensor	7894208034	7896608492	0	0	0	0	0	0
2024	1	0	0xbcabbe43	grenade_frag	7898982415	7901314427	0	0	0	0	0	0
2026	1	0	0xbcabbe43	grenade_frag	7898982415	7901481442	0	0	0	0	0	0
2027	1	0	0x273fe0eb	grapple	7898982415	7899812101	1	0	0	0	1	0
2031	1	0	0xbcabbe43	grenade_frag	7899116966	7905850951	1	0	0	0	1	0
2033	1	0	0xbcabbe43	grenade_frag	7899116966	7906819810	1	0	0	0	1	0
2034	1	0	0x430dda48	thruster	7899116966	7899812101	2	0	0	0	1	0
2039	1	0	0xbcabbe43	grenade_frag	7900118661	7903752739	1	0	0	0	1	0
2041	1	0	0xbcabbe43	grenade_frag	7900118661	7907680736	1	0	0	0	1	0
2043	1	0	0x0f5716ff	grenade_spike	7900118661	7901746908	2	0	0	0	2	0
2045	1	0	0x0f5716ff	grenade_spike	7900118661	7901546712	2	1	255	255	1	0
2046	1	0	0x4396db42	other	7900118661	7908713519	4	0	0	0	1	0
2057	1	0	0xbcabbe43	grenade_frag	7906392275	7909348064	2	1	223	223	1	0
2059	1	0	0xbcabbe43	grenade_frag	7906392275	7909481947	0	0	0	0	0	0
2061	1	0	0xaada07f3	grenade_dynamo	7906392275	7908414353	0	0	0	0	0	0
2063	1	0	0xaada07f3	grenade_dynamo	7906392275	7907647968	0	0	0	0	0	0
2064	1	0	0x430dda48	thruster	7906392275	7907614875	2	0	0	0	1	0
2070	1	0	0xbcabbe43	grenade_frag	7908252699	7910849868	0	0	0	0	0	0
2072	1	0	0x0f5716ff	grenade_spike	7908252699	7909249583	0	0	0	0	0	0
2073	1	0	0x32d97758	repair_field	7908252699	7910316244	1	0	0	0	0	0
2090	1	0	0xbcabbe43	grenade_frag	7914524712	7920626568	3	2	5	24	1	1
2092	1	0	0xbcabbe43	grenade_frag	7914524712	7921700647	1	0	0	0	1	0
2093	1	0	0x4396db42	other	7914524712	7916089186	1	0	0	0	1	0
2108	1	0	0xbcabbe43	grenade_frag	7916928078	7919393150	1	0	0	0	0	0
2110	1	0	0xbcabbe43	grenade_frag	7916928078	7919959006	2	1	148	148	0	0
2111	1	0	0x32d97758	repair_field	7916928078	7917957583	0	0	0	0	0	0
2123	1	0	0xbcabbe43	grenade_frag	7921700647	7923898675	0	0	0	0	0	0
2125	1	0	0xbcabbe43	grenade_frag	7921700647	7923965388	0	0	0	0	0	0
2127	1	0	0x0f5716ff	grenade_spike	7921700647	7923999617	0	0	0	0	0	0
2129	1	0	0x0f5716ff	grenade_spike	7921700647	7923965388	2	0	0	0	2	0
2130	1	0	0x72b63d69	sensor	7921700647	7924065789	1	0	0	0	0	0
