slot	gen	instance	global_id	famille	t0_us	t1_us	lectures	lectures_i27	min_i27	max_i27	lectures_i26	decroissances_i27
1639	1	0	0xbcabbe43	grenade_frag	6683294785	6688946436	1	0	0	0	1	0
1641	1	0	0xbcabbe43	grenade_frag	6683294785	6686477164	1	0	0	0	1	0
1642	1	0	0xe7be9f5c	powerup_camo	6683294785	6685025595	1	1	160	160	0	0
1649	1	0	0xbcabbe43	grenade_frag	6687998522	6695218663	1	0	0	0	1	0
1656	1	0	0xbcabbe43	grenade_frag	6688650634	6692265842	1	0	0	0	1	0
1657	1	0	0xe7be9f5c	powerup_camo	6688650634	6690681009	0	0	0	0	0	0
1660	1	0	0xbcabbe43	grenade_frag	6689449245	6692215517	1	0	0	0	1	0
1677	1	0	0xbcabbe43	grenade_frag	6698876593	6712269391	1	0	0	0	1	0
1679	1	0	0xbcabbe43	grenade_frag	6698876593	6709366518	3	1	218	218	2	0
1681	1	0	0xcaaadcb0	grenade_plasma	6698876593	6702259447	2	0	0	0	2	0
1693	1	0	0xbcabbe43	grenade_frag	6705516044	6709967525	1	0	0	0	1	0
1695	1	0	0xbcabbe43	grenade_frag	6705516044	6716557244	1	0	0	0	1	0
1700	1	0	0xbcabbe43	grenade_frag	6706133259	6708365275	1	0	0	0	1	0
1701	1	0	0x7ca85adc	repulsor	6706133259	6706497780	2	0	0	0	1	0
1719	1	0	0xbcabbe43	grenade_frag	6717161155	6721178490	1	0	0	0	1	0
1721	1	0	0xbcabbe43	grenade_frag	6717161155	6719994121	1	0	0	0	1	0
1726	1	0	0xbcabbe43	grenade_frag	6719497275	6721963967	1	0	0	0	1	0
1728	1	0	0xbcabbe43	grenade_frag	6719497275	6721845766	2	0	0	0	2	0
1736	1	0	0xbcabbe43	grenade_frag	6725952459	6729970554	1	0	0	0	1	0
1758	1	0	0x7ca85adc	repulsor	6738815445	6740130689	1	1	251	251	0	0
1821	1	0	0xcaaadcb0	grenade_plasma	6777487999	6783140263	1	0	0	0	1	0
1823	1	0	0xcaaadcb0	grenade_plasma	6777487999	6781538877	1	0	0	0	1	0
1828	1	0	0xbcabbe43	grenade_frag	6780742506	6785108849	2	1	56	56	1	0
1830	1	0	0xbcabbe43	grenade_frag	6780742506	6785158852	1	0	0	0	1	0
1832	1	0	0xcaaadcb0	grenade_plasma	6780742506	6784057628	1	0	0	0	1	0
1834	1	0	0xcaaadcb0	grenade_plasma	6780742506	6783874143	1	0	0	0	1	0
1838	1	0	0x430dda48	thruster	6782876726	6784374792	2	0	0	0	2	0
