slot	gen	instance	global_id	famille	t0_us	t1_us	lectures	lectures_i27	min_i27	max_i27	lectures_i26	decroissances_i27
1494	1	0	0xbcabbe43	grenade_frag	1392242149	1397628545	2	0	0	0	1	0
1501	1	0	0xbcabbe43	grenade_frag	1400734368	1405569535	1	0	0	0	1	0
1511	1	0	0xbcabbe43	grenade_frag	1409878874	1413462218	2	0	0	0	1	0
1513	1	0	0xbcabbe43	grenade_frag	1409878874	1416280221	1	0	0	0	1	0
1518	1	0	0xbcabbe43	grenade_frag	1412847149	1416730976	1	0	0	0	1	0
1520	1	0	0xbcabbe43	grenade_frag	1412847149	1416747295	3	0	0	0	2	0
1530	1	0	0xbcabbe43	grenade_frag	1422556386	1430694623	2	0	0	0	1	0
1532	1	0	0xbcabbe43	grenade_frag	1422556386	1427508533	1	0	0	0	1	0
1543	1	0	0xbcabbe43	grenade_frag	1427627624	1429860525	1	0	0	0	1	0
1553	1	0	0xbcabbe43	grenade_frag	1436587169	1439870438	1	0	0	0	1	0
1555	1	0	0xbcabbe43	grenade_frag	1436587169	1438953955	1	0	0	0	1	0
1563	1	0	0xcaaadcb0	grenade_plasma	1442226272	1446593809	1	0	0	0	1	0
1565	1	0	0xcaaadcb0	grenade_plasma	1442226272	1446777349	1	0	0	0	1	0
1585	1	0	0xbcabbe43	grenade_frag	1461512388	1464745926	1	0	0	0	1	0
1588	1	0	0xbcabbe43	grenade_frag	1462163495	1468115597	1	0	0	0	1	0
1590	1	0	0xbcabbe43	grenade_frag	1462163495	1467448149	1	0	0	0	1	0
1604	1	0	0xbcabbe43	grenade_frag	1473024734	1479144055	1	0	0	0	1	0
1606	1	0	0xbcabbe43	grenade_frag	1473024734	1474088568	1	0	0	0	1	0
1611	1	0	0xbcabbe43	grenade_frag	1475242763	1478626894	1	0	0	0	1	0
1613	1	0	0xbcabbe43	grenade_frag	1475242763	1479894452	1	0	0	0	1	0
1620	1	0	0xbcabbe43	grenade_frag	1479097878	1483214156	1	0	0	0	1	0
1622	1	0	0xbcabbe43	grenade_frag	1479097878	1483865195	2	1	223	223	1	0
1624	1	0	0xcaaadcb0	grenade_plasma	1479097878	1482380216	1	0	0	0	1	0
1626	1	0	0xcaaadcb0	grenade_plasma	1479097878	1482930542	1	0	0	0	1	0
1632	1	0	0xbcabbe43	grenade_frag	1480347972	1483998003	4	1	179	179	1	0
1642	1	0	0xbcabbe43	grenade_frag	1485803582	1491623355	1	0	0	0	1	0
1644	1	0	0xbcabbe43	grenade_frag	1485803582	1487351796	2	1	243	243	1	0
1650	1	0	0xbcabbe43	grenade_frag	1488306905	1493958275	1	0	0	0	1	0
1652	1	0	0xbcabbe43	grenade_frag	1488306905	1495059392	1	0	0	0	1	0
1667	1	0	0xbcabbe43	grenade_frag	1501118784	1505269980	1	0	0	0	1	0
1670	1	0	0xbcabbe43	grenade_frag	1503054168	1536384036	1	0	0	0	1	0
1676	1	0	0xbcabbe43	grenade_frag	1507107917	1512478280	2	0	0	0	2	0
1678	1	0	0xbcabbe43	grenade_frag	1507107917	1512760514	1	0	0	0	1	0
1703	1	0	0xbcabbe43	grenade_frag	1531499890	1533781655	41	0	0	0	1	0
1705	1	0	0xbcabbe43	grenade_frag	1531499890	1534899354	1	0	0	0	1	0
1711	1	0	0x4396db42	other	1535903246	1536050844	1	0	0	0	0	0
1717	1	0	0xbcabbe43	grenade_frag	1540393597	1543891486	1	0	0	0	1	0
1719	1	0	0xbcabbe43	grenade_frag	1540393597	1543908175	1	0	0	0	1	0
1722	1	0	0xbcabbe43	grenade_frag	1540393597	1543107374	1	0	0	0	1	0
