slot	gen	instance	global_id	famille	t0_us	t1_us	lectures	lectures_i27	min_i27	max_i27	lectures_i26	decroissances_i27
1491	1	0	0xbcabbe43	grenade_frag	4570548298	4573314018	3	0	0	0	1	0
1493	1	0	0xbcabbe43	grenade_frag	4570548298	4573348037	2	0	0	0	1	0
1506	1	0	0xbcabbe43	grenade_frag	4580607864	4587144134	1	0	0	0	1	0
1508	1	0	0xbcabbe43	grenade_frag	4580607864	4584142340	1	0	0	0	1	0
1517	1	0	0xbcabbe43	grenade_frag	4588949110	4592283705	1	0	0	0	1	0
1519	1	0	0xbcabbe43	grenade_frag	4588949110	4592049465	1	0	0	0	1	0
1532	1	0	0xbcabbe43	grenade_frag	4594089481	4597304750	1	0	0	0	1	0
1554	1	0	0xbcabbe43	grenade_frag	4604499822	4608499509	2	0	0	0	2	0
1556	1	0	0xbcabbe43	grenade_frag	4604499822	4608315744	1	0	0	0	1	0
1558	1	0	0xcaaadcb0	grenade_plasma	4604499822	4605546666	1	0	0	0	1	0
1560	1	0	0xcaaadcb0	grenade_plasma	4604499822	4607464397	1	0	0	0	1	0
1561	1	0	0x273fe0eb	grapple	4604499822	4605179802	3	0	0	0	2	0
1565	1	0	0xbcabbe43	grenade_frag	4607784556	4613954162	1	0	0	0	1	0
1567	1	0	0xbcabbe43	grenade_frag	4607784556	4611968728	1	0	0	0	1	0
1571	1	0	0xbcabbe43	grenade_frag	4608819812	4615138823	1	0	0	0	1	0
1575	1	0	0xbcabbe43	grenade_frag	4610274336	4613153156	1	0	0	0	1	0
1577	1	0	0xbcabbe43	grenade_frag	4610274336	4613336595	4	2	4	255	1	1
1581	1	0	0xbcabbe43	grenade_frag	4610274336	4613387084	1	0	0	0	1	0
1583	1	0	0xbcabbe43	grenade_frag	4610274336	4613403243	2	1	247	247	1	0
1607	1	0	0xbcabbe43	grenade_frag	4623167526	4626017114	1	0	0	0	1	0
1609	1	0	0xbcabbe43	grenade_frag	4623167526	4626149968	2	0	0	0	2	0
1613	1	0	0xbcabbe43	grenade_frag	4630039872	4630840017	1	0	0	0	1	0
1639	1	0	0xbcabbe43	grenade_frag	4645892243	4649026207	1	0	0	0	1	0
1646	1	0	0xbcabbe43	grenade_frag	4650329708	4654564313	1	0	0	0	1	0
1658	1	0	0xbcabbe43	grenade_frag	4656154075	4662438790	1	0	0	0	1	0
1660	1	0	0xbcabbe43	grenade_frag	4656154075	4656582889	1	0	0	0	1	0
1662	1	0	0xcaaadcb0	grenade_plasma	4656154075	4660971198	1	0	0	0	1	0
1664	1	0	0xcaaadcb0	grenade_plasma	4656154075	4663356015	3	0	0	0	1	0
1672	1	0	0xbcabbe43	grenade_frag	4661544184	4665074721	1	0	0	0	1	0
1674	1	0	0xcaaadcb0	grenade_plasma	4661544184	4664574398	1	0	0	0	1	0
1676	1	0	0xcaaadcb0	grenade_plasma	4661544184	4664791190	0	0	0	0	0	0
1680	1	0	0xbcabbe43	grenade_frag	4661544184	4666542596	1	0	0	0	1	0
1682	1	0	0xbcabbe43	grenade_frag	4661544184	4665241192	1	0	0	0	1	0
1683	1	0	0x273fe0eb	grapple	4661544184	4662322123	2	0	0	0	2	0
1690	1	0	0xbcabbe43	grenade_frag	4668897547	4671180344	1	0	0	0	1	0
1692	1	0	0xbcabbe43	grenade_frag	4668897547	4671197605	1	0	0	0	1	0
1716	1	0	0x273fe0eb	grapple	4677557232	4677604165	1	0	0	0	1	0
1726	1	0	0xbcabbe43	grenade_frag	4680526560	4686096110	1	0	0	0	1	0
1727	1	0	0x273fe0eb	grapple	4680526560	4680657618	4	1	251	251	2	0
1732	1	0	0xbcabbe43	grenade_frag	4682012536	4687046882	1	0	0	0	1	0
1734	1	0	0xbcabbe43	grenade_frag	4682012536	4685795697	1	0	0	0	1	0
1735	1	0	0x273fe0eb	grapple	4682012536	4684228003	2	0	0	0	2	0
1740	1	0	0xbcabbe43	grenade_frag	4684380782	4690416982	1	0	0	0	1	0
1742	1	0	0xbcabbe43	grenade_frag	4684380782	4687981077	1	0	0	0	1	0
1765	1	0	0xbcabbe43	grenade_frag	4696594448	4700443998	1	0	0	0	1	0
1782	1	0	0xbcabbe43	grenade_frag	4709890109	4715441586	1	0	0	0	1	0
1784	1	0	0xbcabbe43	grenade_frag	4709890109	4715859054	1	0	0	0	1	0
1790	1	0	0xbcabbe43	grenade_frag	4712542197	4716960181	1	0	0	0	1	0
1792	1	0	0xbcabbe43	grenade_frag	4712542197	4717310461	3	2	3	3	1	0
1807	1	0	0xbcabbe43	grenade_frag	4719465195	4724317592	2	1	208	208	1	0
1815	1	0	0xbcabbe43	grenade_frag	4720249655	4724084255	2	1	251	251	1	0
1817	1	0	0xbcabbe43	grenade_frag	4720249655	4724000760	1	0	0	0	1	0
1836	1	0	0xbcabbe43	grenade_frag	4727407196	4736213101	1	0	0	0	1	0
1838	1	0	0xbcabbe43	grenade_frag	4727407196	4730457487	1	0	0	0	1	0
1860	1	0	0xbcabbe43	grenade_frag	4734214696	4740117039	1	0	0	0	1	0
1862	1	0	0xbcabbe43	grenade_frag	4734214696	4738481862	1	0	0	0	1	0
1870	1	0	0xbcabbe43	grenade_frag	4737802034	4743070113	1	0	0	0	1	0
1871	1	0	0x4396db42	other	4737802034	4740267371	1	0	0	0	1	0
1875	1	0	0xbcabbe43	grenade_frag	4741705280	4746523957	1	0	0	0	1	0
1877	1	0	0xbcabbe43	grenade_frag	4741705280	4744838634	1	0	0	0	1	0
1878	1	0	0x273fe0eb	grapple	4741705280	4741752424	1	0	0	0	1	0
1885	1	0	0xbcabbe43	grenade_frag	4742873264	4746707018	1	0	0	0	1	0
1887	1	0	0xbcabbe43	grenade_frag	4742873264	4747140775	1	0	0	0	1	0
1888	1	0	0x273fe0eb	grapple	4742873264	4742919934	1	0	0	0	1	0
1899	1	0	0xbcabbe43	grenade_frag	4746626683	4751144644	1	0	0	0	1	0
1901	1	0	0xbcabbe43	grenade_frag	4746626683	4753747914	1	0	0	0	1	0
1918	1	0	0xbcabbe43	grenade_frag	4755687644	4760004288	1	0	0	0	1	0
1920	1	0	0xbcabbe43	grenade_frag	4755687644	4760254681	1	0	0	0	1	0
1921	1	0	0x273fe0eb	grapple	4755687644	4761605561	2	0	0	0	2	0
1933	1	0	0xbcabbe43	grenade_frag	4761125234	4764942417	1	0	0	0	1	0
