slot	gen	instance	global_id	famille	t0_us	t1_us	lectures	lectures_i27	min_i27	max_i27	lectures_i26	decroissances_i27
1512	1	0	0xbcabbe43	grenade_frag	8620102443	8624503191	1	0	0	0	1	0
1514	1	0	0xbcabbe43	grenade_frag	8620102443	8621483125	2	0	0	0	1	0
1521	1	0	0xbcabbe43	grenade_frag	8620920037	8628673099	2	0	0	0	1	0
1523	1	0	0xbcabbe43	grenade_frag	8620920037	8624702858	2	0	0	0	1	0
1532	1	0	0xbcabbe43	grenade_frag	8624554997	8626889308	2	0	0	0	1	0
1534	1	0	0xbcabbe43	grenade_frag	8624554997	8626905313	2	0	0	0	1	0
1541	1	0	0xbcabbe43	grenade_frag	8627058952	8631009657	1	0	0	0	1	0
1543	1	0	0xbcabbe43	grenade_frag	8627058952	8630758647	1	0	0	0	1	0
1547	1	0	0xbcabbe43	grenade_frag	8629328156	8633828745	1	0	0	0	1	0
1549	1	0	0xbcabbe43	grenade_frag	8629328156	8632010713	1	0	0	0	1	0
1583	1	0	0xbcabbe43	grenade_frag	8645061444	8648777143	1	0	0	0	1	0
1585	1	0	0xbcabbe43	grenade_frag	8645061444	8649695481	1	0	0	0	1	0
1587	1	0	0xaada07f3	grenade_dynamo	8645061444	8646692481	1	0	0	0	1	0
1591	1	0	0xbcabbe43	grenade_frag	8647795177	8650445438	1	0	0	0	1	0
1593	1	0	0xbcabbe43	grenade_frag	8647795177	8650578809	1	0	0	0	1	0
1600	1	0	0xbcabbe43	grenade_frag	8653101856	8659821631	1	0	0	0	1	0
1602	1	0	0xbcabbe43	grenade_frag	8653101856	8654215988	1	0	0	0	1	0
1612	1	0	0xbcabbe43	grenade_frag	8660591660	8663692719	1	0	0	0	1	0
1616	1	0	0xbcabbe43	grenade_frag	8660959355	8665494691	1	0	0	0	1	0
1622	1	0	0xbcabbe43	grenade_frag	8661359961	8666345100	1	0	0	0	1	0
1624	1	0	0xbcabbe43	grenade_frag	8661359961	8667295383	1	0	0	0	1	0
1632	1	0	0xbcabbe43	grenade_frag	8666381734	8670335231	1	0	0	0	1	0
1634	1	0	0xbcabbe43	grenade_frag	8666381734	8670835564	1	0	0	0	1	0
1639	1	0	0xbcabbe43	grenade_frag	8669254431	8675223431	1	0	0	0	1	0
1641	1	0	0xbcabbe43	grenade_frag	8669254431	8673488327	1	0	0	0	1	0
1660	1	0	0xbcabbe43	grenade_frag	8674260658	8678109790	1	0	0	0	1	0
1662	1	0	0xbcabbe43	grenade_frag	8674260658	8678176837	1	0	0	0	1	0
1664	1	0	0xaada07f3	grenade_dynamo	8674260658	8675807123	1	0	0	0	1	0
1676	1	0	0xbcabbe43	grenade_frag	8680799974	8684799421	1	0	0	0	1	0
1678	1	0	0xbcabbe43	grenade_frag	8680799974	8684950260	1	0	0	0	1	0
1687	1	0	0xbcabbe43	grenade_frag	8681716487	8685901317	2	0	0	0	2	0
1689	1	0	0xbcabbe43	grenade_frag	8681716487	8683982453	2	0	0	0	2	0
1691	1	0	0xaada07f3	grenade_dynamo	8681716487	8682881206	2	0	0	0	2	0
1718	1	0	0xbcabbe43	grenade_frag	8695281750	8700532587	2	0	0	0	2	0
1720	1	0	0xbcabbe43	grenade_frag	8695281750	8702734495	2	0	0	0	2	0
1732	1	0	0xbcabbe43	grenade_frag	8696032306	8699097749	1	0	0	0	1	0
1734	1	0	0xbcabbe43	grenade_frag	8696032306	8701466289	1	0	0	0	1	0
1735	1	0	0x273fe0eb	grapple	8696032306	8696528532	3	0	0	0	2	0
1762	1	0	0xbcabbe43	grenade_frag	8715684480	8720418960	1	0	0	0	1	0
1766	1	0	0xbcabbe43	grenade_frag	8718286911	8718367230	1	0	0	0	1	0
1768	1	0	0xbcabbe43	grenade_frag	8718286911	8718367230	1	0	0	0	1	0
1801	1	0	0xbcabbe43	grenade_frag	8739024120	8743124794	1	0	0	0	1	0
1811	1	0	0xaada07f3	grenade_dynamo	8743612587	8744910322	1	0	0	0	1	0
1813	1	0	0xaada07f3	grenade_dynamo	8743612587	8745060355	1	0	0	0	1	0
1817	1	0	0xbcabbe43	grenade_frag	8746699745	8748902374	1	0	0	0	1	0
1819	1	0	0xbcabbe43	grenade_frag	8746699745	8749831747	1	0	0	0	1	0
1823	1	0	0xbcabbe43	grenade_frag	8746699745	8748865373	1	0	0	0	1	0
1826	1	0	0x273fe0eb	grapple	8748080886	8749214752	1	0	0	0	1	0
1832	1	0	0xbcabbe43	grenade_frag	8748902374	8753919053	1	0	0	0	1	0
1834	1	0	0xbcabbe43	grenade_frag	8748902374	8762911489	1	0	0	0	1	0
1853	1	0	0xbcabbe43	grenade_frag	8758193281	8764930276	1	0	0	0	1	0
1855	1	0	0xbcabbe43	grenade_frag	8758193281	8765447637	1	0	0	0	1	0
