at_us	slot	gen	instance	famille	global_id	de	vers
4451523155	2512	1	0	grenade_frag	0xbcabbe43	245	244
4451856807	2512	1	0	grenade_frag	0xbcabbe43	244	241
4451890458	2512	1	0	grenade_frag	0xbcabbe43	241	208
4451923338	2512	1	0	grenade_frag	0xbcabbe43	208	112
4451956929	2512	1	0	grenade_frag	0xbcabbe43	112	96
4451990166	2512	1	0	grenade_frag	0xbcabbe43	96	80
4452444333	2512	1	0	grenade_frag	0xbcabbe43	241	233
4452608591	2512	1	0	grenade_frag	0xbcabbe43	242	234
4452859095	2512	1	0	grenade_frag	0xbcabbe43	244	236
4617119621	1600	1	0	grenade_frag	0xbcabbe43	236	64
4634107569	1600	1	0	grenade_frag	0xbcabbe43	64	5
