slot	gen	instance	global_id	famille	t0_us	t1_us	lectures	lectures_i27	min_i27	max_i27	lectures_i26	decroissances_i27
1496	1	0	0xbcabbe43	grenade_frag	3931434257	3934133760	4	0	0	0	1	0
1498	1	0	0xbcabbe43	grenade_frag	3931434257	3934217094	1	0	0	0	1	0
1510	1	0	0xbcabbe43	grenade_frag	3944047786	3946445798	1	0	0	0	1	0
1512	1	0	0xbcabbe43	grenade_frag	3944047786	3947597078	3	0	0	0	2	0
1516	1	0	0xcaaadcb0	grenade_plasma	3947950981	3952485261	1	0	0	0	1	0
1518	1	0	0xcaaadcb0	grenade_plasma	3947950981	3949749212	1	0	0	0	1	0
1532	1	0	0x273fe0eb	grapple	3959645502	3959692483	2	1	11	11	1	0
1546	1	0	0x273fe0eb	grapple	3971690983	3972205418	4	0	0	0	3	0
1551	1	0	0xbcabbe43	grenade_frag	3973159006	3975891464	2	1	238	238	1	0
1553	1	0	0xbcabbe43	grenade_frag	3973159006	3975925192	1	0	0	0	1	0
1560	1	0	0xbcabbe43	grenade_frag	3976279092	3979595144	1	0	0	0	1	0
1562	1	0	0xbcabbe43	grenade_frag	3976279092	3982298082	2	1	242	242	1	0
1563	1	0	0x273fe0eb	grapple	3976279092	3977026358	2	0	0	0	2	0
1581	1	0	0xbcabbe43	grenade_frag	3987275165	3989806209	1	0	0	0	1	0
1583	1	0	0xbcabbe43	grenade_frag	3987275165	3989922521	1	0	0	0	1	0
1598	1	0	0xbcabbe43	grenade_frag	3997434405	4002752318	1	0	0	0	1	0
1600	1	0	0xbcabbe43	grenade_frag	3997434405	4001834484	8	4	5	248	4	2
1602	1	0	0x0f5716ff	grenade_spike	3997434405	3998748403	1	0	0	0	1	0
1604	1	0	0x0f5716ff	grenade_spike	3997434405	3998314656	2	1	245	245	1	0
1608	1	0	0xbcabbe43	grenade_frag	3999586466	4005871741	2	0	0	0	2	0
1610	1	0	0xbcabbe43	grenade_frag	3999586466	4003069144	2	0	0	0	2	0
1640	1	0	0xbcabbe43	grenade_frag	4022658624	4023006063	2	1	79	79	1	0
1660	1	0	0xbcabbe43	grenade_frag	4038425123	4042942432	1	0	0	0	1	0
1662	1	0	0xbcabbe43	grenade_frag	4038425123	4038637807	1	0	0	0	1	0
1671	1	0	0xbcabbe43	grenade_frag	4042095528	4046980061	1	0	0	0	1	0
1672	1	0	0x7ca85adc	repulsor	4042095528	4043292651	1	0	0	0	0	0
1689	1	0	0xbcabbe43	grenade_frag	4046000419	4046279039	1	0	0	0	1	0
1690	1	0	0x273fe0eb	grapple	4046000419	4046329625	3	0	0	0	2	0
1715	1	0	0xbcabbe43	grenade_frag	4057661331	4062645776	1	0	0	0	1	0
1717	1	0	0xbcabbe43	grenade_frag	4057661331	4072173050	1	0	0	0	1	0
1733	1	0	0xbcabbe43	grenade_frag	4072074732	4074024231	1	0	0	0	1	0
1738	1	0	0xbcabbe43	grenade_frag	4072591950	4078544779	1	0	0	0	1	0
1771	1	0	0xbcabbe43	grenade_frag	4088747857	4091155642	1	0	0	0	1	0
1773	1	0	0xbcabbe43	grenade_frag	4088747857	4091189233	3	0	0	0	1	0
1779	1	0	0xbcabbe43	grenade_frag	4088747857	4093808791	2	1	168	168	1	0
1788	1	0	0xbcabbe43	grenade_frag	4097549587	4101399367	1	0	0	0	1	0
1790	1	0	0xbcabbe43	grenade_frag	4097549587	4102050144	1	0	0	0	1	0
1791	1	0	0x7ca85adc	repulsor	4097549587	4098496451	1	1	208	208	0	0
1797	1	0	0x273fe0eb	grapple	4098749750	4099464542	2	0	0	0	2	0
1834	1	0	0x7ca85adc	repulsor	4120355471	4121386715	1	1	223	223	0	0
1839	1	0	0xbcabbe43	grenade_frag	4125177208	4130381905	3	1	136	136	1	0
1856	1	0	0x0f5716ff	grenade_spike	4133970148	4135050526	3	2	243	243	1	0
1858	1	0	0x0f5716ff	grenade_spike	4133970148	4135066782	1	0	0	0	1	0
1859	1	0	0x7ca85adc	repulsor	4133970148	4135000427	0	0	0	0	0	0
1867	1	0	0xcaaadcb0	grenade_plasma	4138307322	4143758436	2	1	244	244	1	0
1868	1	0	0x7ca85adc	repulsor	4138307322	4139320794	0	0	0	0	0	0
1872	1	0	0x0f5716ff	grenade_spike	4139191266	4141022786	1	0	0	0	1	0
1874	1	0	0x0f5716ff	grenade_spike	4139191266	4140939890	1	0	0	0	1	0
1875	1	0	0x7ca85adc	repulsor	4139191266	4140272081	0	0	0	0	0	0
1882	1	0	0xbcabbe43	grenade_frag	4142143259	4147862873	1	0	0	0	1	0
1883	1	0	0x4396db42	other	4142143259	4142408046	2	0	0	0	0	0
1909	1	0	0xbcabbe43	grenade_frag	4151220873	4152384119	1	0	0	0	1	0
1911	1	0	0xbcabbe43	grenade_frag	4151220873	4155004063	2	1	223	223	1	0
1921	1	0	0xbcabbe43	grenade_frag	4155141168	4159558154	1	0	0	0	1	0
1923	1	0	0xcaaadcb0	grenade_plasma	4155141168	4156922124	1	0	0	0	1	0
1925	1	0	0xcaaadcb0	grenade_plasma	4155141168	4160041894	1	0	0	0	1	0
1926	1	0	0x7ca85adc	repulsor	4155141168	4157272592	0	0	0	0	0	0
1935	1	0	0xbcabbe43	grenade_frag	4158994875	4162260934	1	0	0	0	1	0
1937	1	0	0xbcabbe43	grenade_frag	4158994875	4162861538	2	0	0	0	1	0
1939	1	0	0x0f5716ff	grenade_spike	4158994875	4159825350	1	0	0	0	1	0
1940	1	0	0x273fe0eb	grapple	4158994875	4159708437	2	0	0	0	2	0
1969	1	0	0xbcabbe43	grenade_frag	4174461029	4179328886	1	0	0	0	1	0
1971	1	0	0xbcabbe43	grenade_frag	4174461029	4179162099	1	0	0	0	1	0
1973	1	0	0x0f5716ff	grenade_spike	4174461029	4175490807	1	0	0	0	1	0
1974	1	0	0x273fe0eb	grapple	4174461029	4176792178	2	0	0	0	2	0
1979	1	0	0xbcabbe43	grenade_frag	4175345207	4179528763	1	0	0	0	1	0
1981	1	0	0xbcabbe43	grenade_frag	4175345207	4179812294	1	0	0	0	1	0
1982	1	0	0x7ca85adc	repulsor	4175345207	4176408695	0	0	0	0	0	0
1986	1	0	0xbcabbe43	grenade_frag	4176295598	4180967213	1	0	0	0	1	0
1988	1	0	0xbcabbe43	grenade_frag	4176295598	4180579379	1	0	0	0	1	0
1990	1	0	0xcaaadcb0	grenade_plasma	4176295598	4179545446	1	0	0	0	1	0
1995	1	0	0xbcabbe43	grenade_frag	4179563967	4182164560	1	0	0	0	1	0
1997	1	0	0xbcabbe43	grenade_frag	4179563967	4182181476	1	0	0	0	1	0
2017	1	0	0x4396db42	other	4192676908	4193880672	0	0	0	0	0	0
2019	1	0	0x273fe0eb	grapple	4194781964	4195398417	1	0	0	0	1	0
2027	1	0	0xbcabbe43	grenade_frag	4200440702	4205942032	1	0	0	0	1	0
2029	1	0	0x0f5716ff	grenade_spike	4200440702	4201788489	3	1	245	245	2	0
2031	1	0	0x0f5716ff	grenade_spike	4200440702	4201988298	1	0	0	0	1	0
2032	1	0	0x273fe0eb	grapple	4200440702	4201288267	3	0	0	0	3	0
2042	1	0	0xbcabbe43	grenade_frag	4211334155	4215135056	2	1	235	235	1	0
2044	1	0	0xbcabbe43	grenade_frag	4211334155	4215184927	1	0	0	0	1	0
2051	1	0	0xbcabbe43	grenade_frag	4216890692	4219890164	8	2	168	237	2	0
2053	1	0	0xbcabbe43	grenade_frag	4216890692	4221140560	1	0	0	0	1	0
2055	1	0	0x0f5716ff	grenade_spike	4216890692	4217704030	1	0	0	0	1	0
2057	1	0	0x0f5716ff	grenade_spike	4216890692	4218020776	1	0	0	0	1	0
2058	1	0	0x273fe0eb	grapple	4216890692	4217654625	2	0	0	0	2	0
2079	1	0	0xbcabbe43	grenade_frag	4230168971	4235271127	1	0	0	0	1	0
