slot	gen	instance	global_id	famille	t0_us	t1_us	lectures	lectures_i27	min_i27	max_i27	lectures_i26	decroissances_i27
1644	1	0	0xcaaadcb0	grenade_plasma	6615736371	6619770447	1	0	0	0	1	0
1646	1	0	0xcaaadcb0	grenade_plasma	6615736371	6618720570	1	0	0	0	1	0
1656	1	0	0xbcabbe43	grenade_frag	6621042441	6628046204	1	0	0	0	1	0
1658	1	0	0xbcabbe43	grenade_frag	6621042441	6626444233	1	0	0	0	1	0
1680	1	0	0x72b63d69	sensor	6629602130	6630699819	3	0	0	0	0	0
1681	1	0	0x686b40c9	wall	6629715415	6630147860	5	0	0	0	1	0
1689	1	0	0xe7be9f5c	powerup_camo	6632136427	6633350653	2	0	0	0	1	0
1695	1	0	0x72b63d69	sensor	6634236575	6636486979	0	0	0	0	0	0
1705	1	0	0xbcabbe43	grenade_frag	6638676648	6644729756	1	0	0	0	1	0
1706	1	0	0x2974c233	wall	6638676648	6639439727	0	0	0	0	0	0
1710	1	0	0xbcabbe43	grenade_frag	6639577039	6644862286	1	0	0	0	1	0
1712	1	0	0xbcabbe43	grenade_frag	6639577039	6644228980	1	0	0	0	1	0
1730	1	0	0xbcabbe43	grenade_frag	6647001681	6651001945	1	0	0	0	1	0
1732	1	0	0xbcabbe43	grenade_frag	6647001681	6651168045	1	0	0	0	1	0
1744	1	0	0xbcabbe43	grenade_frag	6652190054	6654972137	1	0	0	0	1	0
1756	1	0	0xbcabbe43	grenade_frag	6655493113	6661079014	2	1	223	223	1	0
1758	1	0	0xbcabbe43	grenade_frag	6655493113	6659944172	1	0	0	0	1	0
1768	1	0	0xbcabbe43	grenade_frag	6659147006	6663631082	1	0	0	0	1	0
1770	1	0	0xbcabbe43	grenade_frag	6659147006	6664565708	1	0	0	0	1	0
1781	1	0	0x273fe0eb	grapple	6663701663	6664581997	3	1	248	248	2	0
1801	1	0	0xbcabbe43	grenade_frag	6673932420	6678115518	1	0	0	0	1	0
1803	1	0	0xbcabbe43	grenade_frag	6673932420	6679050237	1	0	0	0	1	0
1807	1	0	0xbcabbe43	grenade_frag	6675717789	6680134345	1	0	0	0	1	0
1809	1	0	0xbcabbe43	grenade_frag	6675717789	6680116967	1	0	0	0	1	0
