slot	gen	instance	global_id	famille	t0_us	t1_us	lectures	lectures_i27	min_i27	max_i27	lectures_i26	decroissances_i27
1656	1	0	0xbcabbe43	grenade_frag	2290456194	2291168353	1	0	0	0	1	0
1658	1	0	0xbcabbe43	grenade_frag	2290456194	2291134777	1	0	0	0	1	0
1660	1	0	0x0f5716ff	grenade_spike	2290456194	2290967524	1	0	0	0	1	0
1685	1	0	0xbcabbe43	grenade_frag	2304852137	2309053637	2	0	0	0	2	0
1687	1	0	0xbcabbe43	grenade_frag	2304852137	2309254299	1	0	0	0	1	0
1705	1	0	0xbcabbe43	grenade_frag	2309792533	2314825112	1	0	0	0	1	0
1707	1	0	0xbcabbe43	grenade_frag	2309792533	2314391421	1	0	0	0	1	0
1723	1	0	0xbcabbe43	grenade_frag	2317432521	2322132706	2	1	20	20	1	0
1725	1	0	0xbcabbe43	grenade_frag	2317432521	2322266171	1	0	0	0	1	0
1738	1	0	0x2974c233	wall	2325056635	2325786615	0	0	0	0	0	0
1740	1	0	0x72b63d69	sensor	2326671880	2328473331	0	0	0	0	0	0
1743	1	0	0x686b40c9	wall	2327305770	2327572410	1	0	0	0	1	0
1755	1	0	0xbcabbe43	grenade_frag	2331765218	2337432544	2	0	0	0	2	0
1757	1	0	0xbcabbe43	grenade_frag	2331765218	2336331776	2	0	0	0	2	0
1759	1	0	0x0f5716ff	grenade_spike	2331765218	2332744108	2	0	0	0	2	0
1760	1	0	0x273fe0eb	grapple	2331765218	2332377620	2	0	0	0	2	0
1789	1	0	0xbcabbe43	grenade_frag	2340238604	2344105956	1	0	0	0	1	0
1823	1	0	0x72b63d69	sensor	2350983363	2352514721	0	0	0	0	0	0
1856	1	0	0xbcabbe43	grenade_frag	2368201664	2396226775	4	2	45	152	2	0
1865	1	0	0xbcabbe43	grenade_frag	2370504710	2374753834	1	0	0	0	1	0
1878	1	0	0xbcabbe43	grenade_frag	2376092746	2381360681	1	0	0	0	1	0
1897	1	0	0x2974c233	wall	2382531733	2383379538	1	0	0	0	1	0
1916	1	0	0x0f5716ff	grenade_spike	2392410467	2393241145	1	0	0	0	1	0
1918	1	0	0x0f5716ff	grenade_spike	2392410467	2393307276	1	0	0	0	1	0
1936	1	0	0x72b63d69	sensor	2397914737	2397978559	1	0	0	0	0	0
1941	1	0	0xbcabbe43	grenade_frag	2400053287	2403316274	1	0	0	0	1	0
1943	1	0	0xbcabbe43	grenade_frag	2400053287	2403349547	1	0	0	0	1	0
1945	1	0	0xcaaadcb0	grenade_plasma	2400053287	2404401084	2	0	0	0	2	0
1947	1	0	0xcaaadcb0	grenade_plasma	2400053287	2403416604	2	1	61	61	1	0
1948	1	0	0x72b63d69	sensor	2400053287	2401966114	0	0	0	0	0	0
1973	1	0	0xbcabbe43	grenade_frag	2410427821	2414995365	1	0	0	0	1	0
2013	1	0	0xbcabbe43	grenade_frag	2433300297	2441189417	1	0	0	0	1	0
2015	1	0	0x0f5716ff	grenade_spike	2433300297	2435266210	1	0	0	0	1	0
2017	1	0	0x0f5716ff	grenade_spike	2433300297	2434898368	2	1	232	232	1	0
2040	1	0	0xbcabbe43	grenade_frag	2443913760	2447613184	1	0	0	0	1	0
2051	1	0	0xbcabbe43	grenade_frag	2448268688	2451232821	7	2	0	233	4	1
2053	1	0	0xbcabbe43	grenade_frag	2448268688	2451518648	1	0	0	0	1	0
2062	1	0	0xbcabbe43	grenade_frag	2450119170	2455772145	1	0	0	0	1	0
2064	1	0	0xbcabbe43	grenade_frag	2450119170	2455337625	1	0	0	0	1	0
2069	1	0	0x273fe0eb	grapple	2452388576	2453218670	2	0	0	0	2	0
2109	1	0	0xbcabbe43	grenade_frag	2466204628	2471889697	1	0	0	0	1	0
2121	1	0	0xbcabbe43	grenade_frag	2468088715	2472340155	2	0	0	0	1	0
2122	1	0	0x72b63d69	sensor	2468088715	2469987591	0	0	0	0	0	0
2150	1	0	0xbcabbe43	grenade_frag	2481571970	2486175084	1	0	0	0	1	0
2152	1	0	0xbcabbe43	grenade_frag	2481571970	2485790736	1	0	0	0	1	0
2159	1	0	0xbcabbe43	grenade_frag	2482906302	2488326131	1	0	0	0	1	0
2161	1	0	0xbcabbe43	grenade_frag	2482906302	2487676015	1	0	0	0	1	0
2166	1	0	0xbcabbe43	grenade_frag	2484694711	2489695905	1	0	0	0	1	0
2168	1	0	0xbcabbe43	grenade_frag	2484694711	2489794048	1	0	0	0	1	0
2169	1	0	0x273fe0eb	grapple	2484694711	2485473800	3	1	243	243	2	0
2175	1	0	0xbcabbe43	grenade_frag	2486479620	2491029882	1	0	0	0	1	0
2197	1	0	0xbcabbe43	grenade_frag	2498793613	2505411268	1	0	0	0	1	0
2199	1	0	0xbcabbe43	grenade_frag	2498793613	2502575862	1	0	0	0	1	0
2204	1	0	0xbcabbe43	grenade_frag	2499559776	2500874430	1	0	0	0	1	0
