slot	gen	instance	global_id	famille	t0_us	t1_us	lectures	lectures_i27	min_i27	max_i27	lectures_i26	decroissances_i27
1551	1	0	0xbcabbe43	grenade_frag	3580939253	3583504884	1	0	0	0	1	0
1553	1	0	0xbcabbe43	grenade_frag	3580939253	3583521705	1	0	0	0	1	0
1575	1	0	0xbcabbe43	grenade_frag	3597173687	3602491507	2	1	244	244	1	0
1577	1	0	0xbcabbe43	grenade_frag	3597173687	3602541539	2	1	80	80	1	0
1578	1	0	0x686b40c9	wall	3598420702	3598853947	2	1	179	179	1	0
1583	1	0	0xbcabbe43	grenade_frag	3600509191	3608313522	1	0	0	0	1	0
1585	1	0	0xbcabbe43	grenade_frag	3600509191	3605209976	2	0	0	0	2	0
1610	1	0	0xbcabbe43	grenade_frag	3613572924	3625347023	1	0	0	0	1	0
1612	1	0	0xbcabbe43	grenade_frag	3613572924	3624312873	1	0	0	0	1	0
1618	1	0	0xbcabbe43	grenade_frag	3615239889	3618173563	1	0	0	0	1	0
1620	1	0	0xbcabbe43	grenade_frag	3615239889	3618190499	1	0	0	0	1	0
1624	1	0	0xbcabbe43	grenade_frag	3616075725	3624212696	1	0	0	0	1	0
1626	1	0	0xbcabbe43	grenade_frag	3616075725	3624913094	1	0	0	0	1	0
1630	1	0	0xbcabbe43	grenade_frag	3617010206	3620091833	1	0	0	0	1	0
1632	1	0	0xbcabbe43	grenade_frag	3617010206	3622411412	1	0	0	0	1	0
1637	1	0	0x2974c233	wall	3617010206	3617056793	1	0	0	0	0	0
1646	1	0	0xbcabbe43	grenade_frag	3620128354	3625997452	1	0	0	0	1	0
1652	1	0	0xbcabbe43	grenade_frag	3621663373	3626131085	1	0	0	0	1	0
1683	1	0	0xbcabbe43	grenade_frag	3634344849	3635808343	1	0	0	0	1	0
1687	1	0	0xbcabbe43	grenade_frag	3634344849	3637492575	1	0	0	0	1	0
1694	1	0	0xbcabbe43	grenade_frag	3638914816	3648954107	1	0	0	0	1	0
1696	1	0	0xbcabbe43	grenade_frag	3638914816	3643665914	1	0	0	0	1	0
1701	1	0	0xbcabbe43	grenade_frag	3641650136	3647753055	1	0	0	0	1	0
1703	1	0	0xbcabbe43	grenade_frag	3641650136	3646536014	1	0	0	0	1	0
1710	1	0	0xbcabbe43	grenade_frag	3643555068	3647487999	1	0	0	0	1	0
1714	1	0	0xbcabbe43	grenade_frag	3643555068	3644851965	1	0	0	0	1	0
1716	1	0	0xbcabbe43	grenade_frag	3643555068	3644334032	1	0	0	0	1	0
1718	1	0	0x0f5716ff	grenade_spike	3643555068	3644200070	1	0	0	0	1	0
1720	1	0	0x0f5716ff	grenade_spike	3643555068	3644334032	1	0	0	0	1	0
1721	1	0	0x2974c233	wall	3643555068	3644200070	0	0	0	0	0	0
1732	1	0	0xbcabbe43	grenade_frag	3646107881	3648987259	1	0	0	0	1	0
1736	1	0	0xbcabbe43	grenade_frag	3646107881	3648586894	1	0	0	0	1	0
1738	1	0	0xbcabbe43	grenade_frag	3646107881	3648638031	2	1	238	238	1	0
1740	1	0	0x0f5716ff	grenade_spike	3646107881	3647054259	1	0	0	0	1	0
1742	1	0	0x0f5716ff	grenade_spike	3646107881	3646904940	2	1	243	243	1	0
1769	1	0	0xbcabbe43	grenade_frag	3656233216	3664703764	1	0	0	0	1	0
