pas	pitch_raw	dz_m	dxy_m	elevation_geo_deg
34	1058	0.327	8.314	2.2551
-15	1009	0.000	3.429	0.0000
-16	1008	-0.243	11.446	-1.2185
-85	939	-2.577	9.299	-15.4912
-30	994	-0.252	5.401	-2.6698
-67	957	-2.099	10.347	-11.4668
54	1078	0.705	19.705	2.0497
-69	955	-0.386	4.438	-4.9729
-298	726	-3.963	2.804	-54.7157
-16	1008	0.000	2.405	0.0000
-5	1019	0.000	4.284	0.0000
-41	983	0.235	4.728	2.8463
-18	1006	-1.243	22.427	-3.1711
46	1070	0.739	3.770	11.0878
-54	970	-0.823	6.269	-7.4770
-41	983	-0.445	2.513	-10.0393
-13	1011	-0.143	6.978	-1.1717
-1	1023	0.151	7.015	1.2340
-39	985	-0.982	6.219	-8.9749
-77	947	-0.613	4.334	-8.0489
-50	974	-1.402	9.504	-8.3916
-14	1010	0.000	2.575	0.0000
-92	932	-1.385	6.084	-12.8264
-14	1010	-0.386	5.175	-4.2676
-3	1021	-0.050	4.953	-0.5827
-56	968	-0.277	4.275	-3.7080
18	1042	1.100	16.319	3.8556
-39	985	-1.436	13.782	-5.9467
1	1025	0.126	26.926	0.2680
143	1167	0.932	3.697	14.1491
-3	1021	0.000	3.268	0.0000
-95	929	-0.411	2.280	-10.2257
-41	983	-0.034	2.901	-0.6633
-70	954	0.000	2.022	0.0000
-164	860	-1.939	3.237	-30.9229
-123	901	-0.756	4.027	-10.6270
-32	992	0.000	2.270	0.0000
-44	980	-0.890	7.071	-7.1728
1	1025	0.143	13.080	0.6251
-66	958	-1.696	9.137	-10.5148
-63	961	-3.694	18.712	-11.1671
-88	936	-2.720	8.610	-17.5326
-90	934	-1.259	8.227	-8.7023
3	1027	0.000	3.748	0.0000
41	1065	0.848	5.514	8.7424
-216	808	-8.681	10.393	-39.8706
-50	974	0.034	3.380	0.5692
-30	994	-0.017	2.880	-0.3340
-40	984	0.000	3.088	0.0000
-11	1013	0.042	2.986	0.8054
-16	1008	-0.034	2.566	-0.7498
