pitch_raw	compte	part
588	5	0.000055
589	4	0.000044
590	2	0.000022
591	1	0.000011
592	1	0.000011
593	1	0.000011
595	2	0.000022
597	1	0.000011
599	1	0.000011
602	2	0.000022
606	1	0.000011
608	1	0.000011
614	2	0.000022
620	1	0.000011
623	1	0.000011
629	1	0.000011
632	1	0.000011
638	1	0.000011
641	1	0.000011
647	1	0.000011
650	3	0.000033
651	2	0.000022
652	2	0.000022
655	1	0.000011
656	2	0.000022
657	1	0.000011
658	3	0.000033
660	4	0.000044
661	1	0.000011
662	1	0.000011
663	2	0.000022
664	1	0.000011
665	2	0.000022
666	1	0.000011
667	1	0.000011
668	7	0.000077
669	3	0.000033
670	2	0.000022
671	3	0.000033
672	1	0.000011
673	1	0.000011
674	1	0.000011
675	1	0.000011
676	1	0.000011
677	2	0.000022
678	1	0.000011
679	1	0.000011
680	2	0.000022
681	2	0.000022
682	1	0.000011
683	2	0.000022
686	3	0.000033
687	1	0.000011
688	3	0.000033
689	1	0.000011
690	2	0.000022
691	6	0.000066
692	1	0.000011
693	2	0.000022
694	2	0.000022
695	4	0.000044
696	1	0.000011
697	5	0.000055
698	3	0.000033
699	2	0.000022
700	1	0.000011
701	2	0.000022
702	3	0.000033
703	4	0.000044
704	3	0.000033
705	3	0.000033
707	3	0.000033
708	2	0.000022
710	3	0.000033
711	2	0.000022
712	1	0.000011
713	2	0.000022
714	2	0.000022
715	3	0.000033
716	3	0.000033
717	5	0.000055
718	3	0.000033
719	2	0.000022
720	3	0.000033
721	1	0.000011
722	3	0.000033
723	1	0.000011
724	1	0.000011
725	1	0.000011
726	4	0.000044
727	4	0.000044
728	4	0.000044
729	10	0.000111
730	5	0.000055
731	5	0.000055
733	5	0.000055
734	3	0.000033
735	6	0.000066
736	12	0.000133
737	11	0.000122
738	4	0.000044
739	7	0.000077
740	11	0.000122
741	11	0.000122
742	10	0.000111
743	15	0.000166
744	20	0.000221
745	6	0.000066
746	5	0.000055
747	8	0.000089
748	6	0.000066
749	4	0.000044
750	6	0.000066
751	4	0.000044
752	12	0.000133
753	10	0.000111
754	6	0.000066
755	10	0.000111
756	11	0.000122
757	6	0.000066
758	9	0.000100
759	7	0.000077
760	5	0.000055
761	8	0.000089
762	10	0.000111
763	6	0.000066
764	10	0.000111
765	12	0.000133
766	12	0.000133
767	17	0.000188
768	8	0.000089
769	13	0.000144
770	6	0.000066
771	11	0.000122
772	10	0.000111
773	6	0.000066
774	10	0.000111
775	16	0.000177
776	16	0.000177
777	12	0.000133
778	8	0.000089
779	10	0.000111
780	6	0.000066
781	15	0.000166
782	14	0.000155
783	11	0.000122
784	15	0.000166
785	14	0.000155
786	8	0.000089
787	12	0.000133
788	18	0.000199
789	8	0.000089
790	15	0.000166
791	12	0.000133
792	14	0.000155
793	11	0.000122
794	11	0.000122
795	6	0.000066
796	22	0.000244
797	20	0.000221
798	21	0.000232
799	13	0.000144
800	22	0.000244
801	31	0.000343
802	18	0.000199
803	9	0.000100
804	20	0.000221
805	12	0.000133
806	17	0.000188
807	14	0.000155
808	19	0.000210
809	33	0.000365
810	34	0.000376
811	54	0.000598
812	22	0.000244
813	20	0.000221
814	22	0.000244
815	28	0.000310
816	47	0.000520
817	13	0.000144
818	24	0.000266
819	32	0.000354
820	30	0.000332
821	33	0.000365
822	20	0.000221
823	29	0.000321
824	16	0.000177
825	17	0.000188
826	14	0.000155
827	19	0.000210
828	27	0.000299
829	21	0.000232
830	17	0.000188
831	8	0.000089
832	15	0.000166
833	20	0.000221
834	34	0.000376
835	22	0.000244
836	34	0.000376
837	20	0.000221
838	12	0.000133
839	18	0.000199
840	11	0.000122
841	12	0.000133
842	18	0.000199
843	20	0.000221
844	26	0.000288
845	19	0.000210
846	20	0.000221
847	24	0.000266
848	25	0.000277
849	26	0.000288
850	12	0.000133
851	17	0.000188
852	26	0.000288
853	35	0.000387
854	33	0.000365
855	25	0.000277
856	48	0.000531
857	24	0.000266
858	39	0.000432
859	31	0.000343
860	55	0.000609
861	45	0.000498
862	44	0.000487
863	44	0.000487
864	39	0.000432
865	48	0.000531
866	91	0.001007
867	33	0.000365
868	32	0.000354
869	25	0.000277
870	44	0.000487
871	28	0.000310
872	46	0.000509
873	61	0.000675
874	54	0.000598
875	48	0.000531
876	43	0.000476
877	46	0.000509
878	49	0.000542
879	54	0.000598
880	79	0.000874
881	43	0.000476
882	44	0.000487
883	61	0.000675
884	90	0.000996
885	57	0.000631
886	45	0.000498
887	61	0.000675
888	53	0.000587
889	59	0.000653
890	63	0.000697
891	51	0.000565
892	53	0.000587
893	77	0.000852
894	70	0.000775
895	57	0.000631
896	74	0.000819
897	53	0.000587
898	87	0.000963
899	73	0.000808
900	93	0.001029
901	64	0.000708
902	66	0.000731
903	108	0.001195
904	94	0.001041
905	124	0.001373
906	164	0.001815
907	135	0.001494
908	141	0.001561
909	104	0.001151
910	99	0.001096
911	99	0.001096
912	174	0.001926
913	156	0.001727
914	133	0.001472
915	150	0.001660
916	106	0.001173
917	99	0.001096
918	85	0.000941
919	168	0.001860
920	178	0.001970
921	141	0.001561
922	183	0.002026
923	180	0.001992
924	186	0.002059
925	261	0.002889
926	193	0.002136
927	177	0.001959
928	226	0.002502
929	242	0.002679
930	211	0.002336
931	174	0.001926
932	153	0.001694
933	141	0.001561
934	177	0.001959
935	243	0.002690
936	226	0.002502
937	298	0.003299
938	263	0.002911
939	163	0.001804
940	284	0.003144
941	176	0.001948
942	244	0.002701
943	179	0.001981
944	256	0.002834
945	318	0.003520
946	398	0.004406
947	349	0.003863
948	373	0.004129
949	308	0.003409
950	357	0.003952
951	322	0.003564
952	378	0.004184
953	326	0.003609
954	308	0.003409
955	332	0.003675
956	380	0.004206
957	614	0.006796
958	477	0.005280
959	509	0.005634
960	529	0.005856
961	390	0.004317
962	423	0.004682
963	619	0.006852
964	450	0.004981
965	675	0.007472
966	623	0.006896
967	686	0.007593
968	563	0.006232
969	497	0.005501
970	583	0.006453
971	508	0.005623
972	589	0.006520
973	582	0.006442
974	718	0.007948
975	846	0.009365
976	992	0.010981
977	941	0.010416
978	856	0.009475
979	894	0.009896
980	693	0.007671
981	973	0.010770
982	748	0.008280
983	831	0.009198
984	909	0.010062
985	778	0.008612
986	834	0.009232
987	956	0.010582
988	796	0.008811
989	700	0.007748
990	797	0.008822
991	667	0.007383
992	749	0.008291
993	903	0.009995
994	1084	0.011999
995	978	0.010826
996	831	0.009198
997	837	0.009265
998	910	0.010073
999	874	0.009674
1000	862	0.009542
1001	1189	0.013161
1002	850	0.009409
1003	1162	0.012862
1004	1104	0.012220
1005	1046	0.011578
1006	1337	0.014799
1007	917	0.010150
1008	723	0.008003
1009	884	0.009785
1010	734	0.008125
1011	1047	0.011589
1012	947	0.010483
1013	746	0.008258
1014	793	0.008778
1015	1010	0.011180
1016	780	0.008634
1017	837	0.009265
1018	904	0.010007
1019	773	0.008556
1020	1043	0.011545
1021	1116	0.012353
1022	624	0.006907
1023	888	0.009829
1024	1084	0.011999
