valeur	compte	part
9791179	3	0.071429
1	1	0.023810
1068534	1	0.023810
12362305	1	0.023810
13	1	0.023810
13182976	1	0.023810
13423146	1	0.023810
13891063	1	0.023810
14401568	1	0.023810
14713835	1	0.023810
15499010	1	0.023810
16392580	1	0.023810
16509472	1	0.023810
1727351	1	0.023810
2303488	1	0.023810
233510	1	0.023810
2503426	1	0.023810
282685	1	0.023810
3145986	1	0.023810
4208609	1	0.023810
4457248	1	0.023810
6	1	0.023810
6828546	1	0.023810
6908034	1	0.023810
7061264	1	0.023810
7135234	1	0.023810
7167618	1	0.023810
7225090	1	0.023810
7241730	1	0.023810
7319426	1	0.023810
7324546	1	0.023810
7326338	1	0.023810
7329154	1	0.023810
790199	1	0.023810
8180867	1	0.023810
8414223	1	0.023810
8659623	1	0.023810
9437441	1	0.023810
9474560	1	0.023810
9791180	1	0.023810
