valeur	compte	part
293373	16	0.046784
311708	16	0.046784
330044	16	0.046784
348380	16	0.046784
366716	16	0.046784
385051	16	0.046784
403387	16	0.046784
412555	16	0.046784
275037	8	0.023392
279621	8	0.023392
284205	8	0.023392
297956	8	0.023392
302540	8	0.023392
307124	8	0.023392
316292	8	0.023392
320876	8	0.023392
325460	8	0.023392
334628	8	0.023392
339212	8	0.023392
343796	8	0.023392
352964	8	0.023392
357548	8	0.023392
362132	8	0.023392
371300	8	0.023392
375883	8	0.023392
380467	8	0.023392
389635	8	0.023392
394219	8	0.023392
398803	8	0.023392
407971	8	0.023392
288789	7	0.020468
8389291	5	0.014620
10486314	3	0.008772
5465	2	0.005848
10906912	1	0.002924
11042923	1	0.002924
11451264	1	0.002924
11634529	1	0.002924
1259328	1	0.002924
13466760	1	0.002924
140457	1	0.002924
16181008	1	0.002924
2164255	1	0.002924
2285963	1	0.002924
3662977	1	0.002924
38938	1	0.002924
4163766	1	0.002924
4386283	1	0.002924
4895491	1	0.002924
5308347	1	0.002924
75623	1	0.002924
7604883	1	0.002924
852720	1	0.002924
8684139	1	0.002924
9160576	1	0.002924
