pas	pitch_raw	dz_m	dxy_m	elevation_geo_deg
-71	953	-0.640	7.287	-5.0184
-2	1022	2.117	7.152	16.4857
28	1052	1.034	5.510	10.6242
0	1024	0.012	14.899	0.0473
101	1125	1.132	3.565	17.6195
-42	982	0.000	16.676	0.0000
1	1025	0.012	3.209	0.2197
34	1058	0.800	6.651	6.8577
-88	936	-1.354	5.378	-14.1286
-31	993	-0.258	2.699	-5.4695
-98	926	-1.329	5.720	-13.0794
59	1083	0.775	3.721	11.7690
-80	944	-0.357	2.757	-7.3758
-183	841	-0.972	6.482	-8.5298
205	1229	4.738	5.955	38.5042
-91	933	-2.966	10.535	-15.7219
-106	918	-1.661	6.791	-13.7464
65	1089	1.723	8.988	10.8502
-60	964	-1.083	5.138	-11.9017
0	1024	0.012	10.907	0.0646
118	1142	0.837	2.001	22.6894
9	1033	0.738	7.202	5.8533
-299	725	-3.027	2.458	-50.9275
0	1024	0.000	3.501	0.0000
-82	942	-1.132	6.432	-9.9822
-190	834	-2.350	7.487	-17.4288
-67	957	-0.468	2.385	-11.0941
80	1104	1.710	6.341	15.0957
-64	960	-0.984	4.290	-12.9255
-5	1019	0.037	10.743	0.1969
-11	1013	2.387	17.815	7.6325
-67	957	-1.058	2.968	-19.6221
92	1116	0.640	3.118	11.5972
-102	922	-1.944	5.485	-19.5171
-112	912	-1.341	3.751	-19.6741
-152	872	-5.008	9.911	-26.8092
44	1068	0.800	5.063	8.9782
-62	962	-0.492	3.927	-7.1435
-18	1006	-0.332	15.195	-1.2527
11	1035	0.185	3.456	3.0570
-160	864	-1.797	4.366	-22.3655
-63	961	-2.178	11.102	-11.0998
100	1124	1.784	5.599	17.6777
-87	937	-1.747	5.897	-16.5062
-107	917	-1.797	5.368	-18.5049
-198	826	-0.615	6.829	-5.1487
