pitch_raw	compte	part
537	51	0.000662
538	14	0.000182
539	8	0.000104
540	5	0.000065
542	2	0.000026
543	1	0.000013
547	2	0.000026
548	1	0.000013
550	2	0.000026
553	2	0.000026
557	2	0.000026
558	1	0.000013
559	1	0.000013
565	2	0.000026
567	1	0.000013
569	2	0.000026
570	1	0.000013
573	1	0.000013
574	2	0.000026
578	2	0.000026
579	1	0.000013
580	2	0.000026
584	1	0.000013
585	3	0.000039
590	2	0.000026
591	1	0.000013
592	1	0.000013
596	1	0.000013
597	1	0.000013
599	1	0.000013
600	1	0.000013
601	1	0.000013
603	1	0.000013
606	2	0.000026
610	1	0.000013
611	1	0.000013
614	10	0.000130
615	2	0.000026
616	1	0.000013
617	3	0.000039
618	2	0.000026
619	1	0.000013
620	1	0.000013
622	2	0.000026
623	1	0.000013
624	1	0.000013
625	1	0.000013
626	1	0.000013
628	1	0.000013
629	1	0.000013
630	2	0.000026
632	2	0.000026
633	1	0.000013
634	1	0.000013
637	1	0.000013
638	1	0.000013
639	1	0.000013
642	2	0.000026
643	1	0.000013
644	2	0.000026
645	1	0.000013
647	2	0.000026
649	3	0.000039
651	1	0.000013
652	3	0.000039
653	1	0.000013
656	1	0.000013
657	2	0.000026
658	1	0.000013
659	1	0.000013
662	2	0.000026
663	1	0.000013
666	2	0.000026
668	2	0.000026
669	2	0.000026
670	2	0.000026
671	1	0.000013
672	4	0.000052
673	2	0.000026
674	2	0.000026
676	5	0.000065
677	1	0.000013
678	2	0.000026
679	4	0.000052
680	3	0.000039
681	1	0.000013
682	3	0.000039
684	2	0.000026
687	2	0.000026
688	2	0.000026
689	1	0.000013
691	2	0.000026
692	4	0.000052
694	2	0.000026
696	2	0.000026
698	1	0.000013
699	4	0.000052
700	4	0.000052
701	6	0.000078
702	2	0.000026
703	2	0.000026
704	4	0.000052
705	1	0.000013
706	6	0.000078
707	4	0.000052
708	4	0.000052
709	2	0.000026
710	6	0.000078
711	3	0.000039
712	10	0.000130
713	5	0.000065
714	3	0.000039
715	8	0.000104
716	6	0.000078
717	10	0.000130
718	12	0.000156
719	10	0.000130
720	9	0.000117
721	17	0.000221
722	6	0.000078
723	10	0.000130
724	10	0.000130
725	11	0.000143
726	3	0.000039
727	10	0.000130
728	4	0.000052
729	12	0.000156
730	6	0.000078
731	3	0.000039
732	5	0.000065
733	6	0.000078
734	15	0.000195
735	8	0.000104
736	6	0.000078
737	13	0.000169
738	12	0.000156
739	14	0.000182
740	11	0.000143
741	12	0.000156
742	7	0.000091
743	8	0.000104
744	9	0.000117
745	15	0.000195
746	18	0.000234
747	18	0.000234
748	10	0.000130
749	9	0.000117
750	19	0.000246
751	11	0.000143
