valeur	compte	part
293373	24	0.004306
330044	24	0.004306
348380	24	0.004306
366716	24	0.004306
385051	24	0.004306
403387	24	0.004306
412555	24	0.004306
311708	23	0.004126
1003882	16	0.002870
1008466	16	0.002870
1013050	16	0.002870
1017634	16	0.002870
1022218	16	0.002870
1026802	16	0.002870
1031386	16	0.002870
1035970	16	0.002870
1040554	16	0.002870
1045138	16	0.002870
1049722	16	0.002870
1054306	16	0.002870
1058890	16	0.002870
1063474	16	0.002870
1068058	16	0.002870
1072641	16	0.002870
1077225	16	0.002870
1081809	16	0.002870
1086393	16	0.002870
1090977	16	0.002870
1095561	16	0.002870
1100145	16	0.002870
1104729	16	0.002870
1109313	16	0.002870
1113897	16	0.002870
1118481	16	0.002870
1123065	16	0.002870
1127649	16	0.002870
1132233	16	0.002870
1136817	16	0.002870
1145984	16	0.002870
1150568	16	0.002870
1155152	16	0.002870
1159736	16	0.002870
1164320	16	0.002870
1168904	16	0.002870
1173488	16	0.002870
1178072	16	0.002870
1182656	16	0.002870
1187240	16	0.002870
1191824	16	0.002870
1196408	16	0.002870
1200992	16	0.002870
1205576	16	0.002870
1210160	16	0.002870
1214743	16	0.002870
1219327	16	0.002870
1223911	16	0.002870
1228495	16	0.002870
1233079	16	0.002870
1242247	16	0.002870
1246831	16	0.002870
1251415	16	0.002870
1260583	16	0.002870
1265167	16	0.002870
1269751	16	0.002870
1274334	16	0.002870
1278918	16	0.002870
1283502	16	0.002870
1292670	16	0.002870
1297254	16	0.002870
1301838	16	0.002870
1306422	16	0.002870
1311006	16	0.002870
1315590	16	0.002870
1320174	16	0.002870
1324758	16	0.002870
1329342	16	0.002870
1333926	16	0.002870
1338510	16	0.002870
1343094	16	0.002870
1347677	16	0.002870
1352261	16	0.002870
1356845	16	0.002870
1361429	16	0.002870
1370597	16	0.002870
1375181	16	0.002870
1379765	16	0.002870
1384349	16	0.002870
1388933	16	0.002870
1393517	16	0.002870
1398101	16	0.002870
1402685	16	0.002870
1407269	16	0.002870
1411853	16	0.002870
1416437	16	0.002870
1421021	16	0.002870
1425605	16	0.002870
1430189	16	0.002870
1439357	16	0.002870
1443941	16	0.002870
1448525	16	0.002870
1453109	16	0.002870
1457693	16	0.002870
1462277	16	0.002870
1466861	16	0.002870
1471445	16	0.002870
1476029	16	0.002870
1480613	16	0.002870
1489781	16	0.002870
1494365	16	0.002870
1498949	16	0.002870
1508117	16	0.002870
1512701	16	0.002870
1517285	16	0.002870
1521869	16	0.002870
1526453	16	0.002870
1531037	16	0.002870
1535621	16	0.002870
1540205	16	0.002870
1544789	16	0.002870
1549373	16	0.002870
1553957	16	0.002870
1558541	16	0.002870
1567709	16	0.002870
1572293	16	0.002870
1576877	16	0.002870
1586045	16	0.002870
1590629	16	0.002870
1595213	16	0.002870
1599797	16	0.002870
1604381	16	0.002870
1608965	16	0.002870
1613549	16	0.002870
1618133	16	0.002870
1622717	16	0.002870
1627301	16	0.002870
1631885	16	0.002870
1636469	16	0.002870
1641053	16	0.002870
1645637	16	0.002870
1650221	16	0.002870
1659389	16	0.002870
1663973	16	0.002870
1668557	16	0.002870
1673141	16	0.002870
1677725	16	0.002870
1682309	16	0.002870
1686893	16	0.002870
1691477	16	0.002870
1696061	16	0.002870
1700645	16	0.002870
1705229	16	0.002870
1709813	16	0.002870
1714397	16	0.002870
1718981	16	0.002870
1723565	16	0.002870
1732733	16	0.002870
1737317	16	0.002870
1741901	16	0.002870
1746485	16	0.002870
1751069	16	0.002870
1755653	16	0.002870
1760237	16	0.002870
1764821	16	0.002870
1769405	16	0.002870
1773989	16	0.002870
1778573	16	0.002870
1783157	16	0.002870
1787741	16	0.002870
275037	16	0.002870
279621	16	0.002870
284205	16	0.002870
288789	16	0.002870
297956	16	0.002870
302540	16	0.002870
307124	16	0.002870
316292	16	0.002870
320876	16	0.002870
325460	16	0.002870
334628	16	0.002870
339212	16	0.002870
343796	16	0.002870
352964	16	0.002870
357548	16	0.002870
362132	16	0.002870
371300	16	0.002870
375883	16	0.002870
380467	16	0.002870
389635	16	0.002870
394219	16	0.002870
398803	16	0.002870
407971	16	0.002870
421723	16	0.002870
426307	16	0.002870
435475	16	0.002870
440059	16	0.002870
444643	16	0.002870
449226	16	0.002870
453810	16	0.002870
458394	16	0.002870
462978	16	0.002870
467562	16	0.002870
472146	16	0.002870
476730	16	0.002870
481314	16	0.002870
485898	16	0.002870
490482	16	0.002870
495066	16	0.002870
499650	16	0.002870
504234	16	0.002870
508818	16	0.002870
513402	16	0.002870
517985	16	0.002870
522569	16	0.002870
527153	16	0.002870
531737	16	0.002870
536321	16	0.002870
540905	16	0.002870
545489	16	0.002870
550073	16	0.002870
554657	16	0.002870
559241	16	0.002870
563825	16	0.002870
568409	16	0.002870
572993	16	0.002870
577577	16	0.002870
582161	16	0.002870
586744	16	0.002870
591328	16	0.002870
595912	16	0.002870
600496	16	0.002870
605080	16	0.002870
609664	16	0.002870
614248	16	0.002870
618832	16	0.002870
623416	16	0.002870
628000	16	0.002870
632584	16	0.002870
637168	16	0.002870
641752	16	0.002870
650920	16	0.002870
664671	16	0.002870
669255	16	0.002870
673839	16	0.002870
678423	16	0.002870
683007	16	0.002870
687591	16	0.002870
692175	16	0.002870
696759	16	0.002870
701343	16	0.002870
705927	16	0.002870
710511	16	0.002870
715095	16	0.002870
719679	16	0.002870
724262	16	0.002870
728846	16	0.002870
