valeur	compte	part
0	6	0.054054
1650218	5	0.045045
335872	4	0.036036
1	3	0.027027
1375182	3	0.027027
331788	3	0.027027
5836812	3	0.027027
12132352	2	0.018018
2112248	2	0.018018
2112501	2	0.018018
333824	2	0.018018
333826	2	0.018018
4270080	2	0.018018
534268	2	0.018018
5834427	2	0.018018
71680	2	0.018018
1076674	1	0.009009
10788904	1	0.009009
11305835	1	0.009009
11430947	1	0.009009
12044360	1	0.009009
12134400	1	0.009009
13	1	0.009009
13963276	1	0.009009
14414688	1	0.009009
14414720	1	0.009009
15015936	1	0.009009
15015938	1	0.009009
15253509	1	0.009009
15271938	1	0.009009
15272606	1	0.009009
15462274	1	0.009009
16484384	1	0.009009
1804968	1	0.009009
2101314	1	0.009009
2104059	1	0.009009
2112279	1	0.009009
2112498	1	0.009009
2145261	1	0.009009
2294084	1	0.009009
2302347	1	0.009009
2310468	1	0.009009
2376005	1	0.009009
2384325	1	0.009009
2425157	1	0.009009
2433349	1	0.009009
2457976	1	0.009009
2644406	1	0.009009
266110	1	0.009009
333834	1	0.009009
3476008	1	0.009009
3520461	1	0.009009
3682509	1	0.009009
3934361	1	0.009009
3958578	1	0.009009
4224998	1	0.009009
4304486	1	0.009009
4304646	1	0.009009
4307354	1	0.009009
4855252	1	0.009009
532635	1	0.009009
5341195	1	0.009009
5834378	1	0.009009
5834417	1	0.009009
5834479	1	0.009009
5838848	1	0.009009
5840896	1	0.009009
5866523	1	0.009009
6353996	1	0.009009
6674220	1	0.009009
7274640	1	0.009009
7320578	1	0.009009
7329666	1	0.009009
7338000	1	0.009009
7607313	1	0.009009
8028265	1	0.009009
8347	1	0.009009
9444609	1	0.009009
9466036	1	0.009009
9771008	1	0.009009
9771010	1	0.009009
9775104	1	0.009009
