valeur	compte	part
293373	16	0.006439
311708	16	0.006439
330044	16	0.006439
348380	16	0.006439
366716	16	0.006439
385051	16	0.006439
403387	16	0.006439
412555	16	0.006439
1003882	8	0.003219
1008466	8	0.003219
1013050	8	0.003219
1017634	8	0.003219
1022218	8	0.003219
1026802	8	0.003219
1031386	8	0.003219
1035970	8	0.003219
1040554	8	0.003219
1045138	8	0.003219
1049722	8	0.003219
1054306	8	0.003219
1058890	8	0.003219
1063474	8	0.003219
1068058	8	0.003219
1072641	8	0.003219
1077225	8	0.003219
1081809	8	0.003219
1086393	8	0.003219
1090977	8	0.003219
1095561	8	0.003219
1100145	8	0.003219
1104729	8	0.003219
1109313	8	0.003219
1113897	8	0.003219
1118481	8	0.003219
1123065	8	0.003219
1127649	8	0.003219
1132233	8	0.003219
1136817	8	0.003219
1141400	8	0.003219
1145984	8	0.003219
1150568	8	0.003219
1155152	8	0.003219
1159736	8	0.003219
1164320	8	0.003219
1168904	8	0.003219
1173488	8	0.003219
1178072	8	0.003219
1182656	8	0.003219
1187240	8	0.003219
1191824	8	0.003219
1196408	8	0.003219
1200992	8	0.003219
1205576	8	0.003219
1210160	8	0.003219
1214743	8	0.003219
1219327	8	0.003219
1223911	8	0.003219
1228495	8	0.003219
1233079	8	0.003219
1237663	8	0.003219
1242247	8	0.003219
1246831	8	0.003219
1251415	8	0.003219
1255999	8	0.003219
1260583	8	0.003219
1265167	8	0.003219
1269751	8	0.003219
1274334	8	0.003219
1278918	8	0.003219
1283502	8	0.003219
1288086	8	0.003219
1292670	8	0.003219
1297254	8	0.003219
1301838	8	0.003219
1306422	8	0.003219
1311006	8	0.003219
1315590	8	0.003219
1320174	8	0.003219
1324758	8	0.003219
1329342	8	0.003219
1333926	8	0.003219
1338510	8	0.003219
1343094	8	0.003219
1347677	8	0.003219
1352261	8	0.003219
1356845	8	0.003219
1361429	8	0.003219
1366013	8	0.003219
1370597	8	0.003219
1375181	8	0.003219
1375182	8	0.003219
1379765	8	0.003219
1379766	8	0.003219
1384349	8	0.003219
1384350	8	0.003219
1388933	8	0.003219
1388934	8	0.003219
1393517	8	0.003219
1393518	8	0.003219
1398101	8	0.003219
1398102	8	0.003219
1402685	8	0.003219
1402686	8	0.003219
1407269	8	0.003219
1407270	8	0.003219
1411853	8	0.003219
1411854	8	0.003219
1416437	8	0.003219
1416438	8	0.003219
1421021	8	0.003219
1421022	8	0.003219
1425605	8	0.003219
1425606	8	0.003219
1430189	8	0.003219
1430190	8	0.003219
1434773	8	0.003219
1434774	8	0.003219
1439357	8	0.003219
1443941	8	0.003219
