pas	pitch_raw	dz_m	dxy_m	elevation_geo_deg
-13	1011	0.009	4.592	0.1131
-114	910	-2.349	7.534	-17.3140
87	1111	1.950	5.384	19.9046
-8	1016	-0.009	2.263	-0.2296
3	1027	-0.036	5.050	-0.4115
-158	866	-3.917	7.583	-27.3217
-10	1014	0.018	4.086	0.2543
3	1027	0.000	5.476	0.0000
-38	986	-0.589	4.876	-6.8926
-83	941	-1.215	4.781	-14.2595
-6	1018	0.054	3.151	0.9892
-4	1020	0.000	9.835	0.0000
15	1039	0.880	4.888	10.2008
52	1076	1.025	6.965	8.3689
30	1054	0.671	12.536	3.0640
-110	914	-1.750	4.780	-20.1073
-18	1006	-0.018	2.751	-0.3777
7	1031	0.009	3.905	0.1331
0	1024	0.000	6.362	0.0000
0	1024	0.000	9.645	0.0000
0	1024	0.925	7.219	7.3010
-194	830	-1.814	3.418	-27.9519
3	1027	0.163	14.395	0.6496
11	1035	0.000	3.120	0.0000
-15	1009	0.000	3.792	0.0000
-1	1023	-0.009	4.113	-0.1263
-27	997	0.000	5.119	0.0000
-161	863	-1.614	2.839	-29.6155
-19	1005	-0.181	6.256	-1.6605
-48	976	0.000	5.062	0.0000
107	1131	0.753	2.264	18.3918
-3	1021	0.009	3.198	0.1625
176	1200	1.913	3.225	30.6816
57	1081	1.197	7.008	9.6929
0	1024	0.000	6.171	0.0000
-1	1023	0.045	3.711	0.7000
-66	958	-1.197	6.201	-10.9261
-46	978	-0.798	5.440	-8.3453
9	1033	0.000	2.773	0.0000
-216	808	-3.382	4.351	-37.8608
-2	1022	-0.036	5.880	-0.3534
15	1039	0.000	3.037	0.0000
-22	1002	0.000	4.685	0.0000
-11	1013	0.780	7.930	5.6161
-16	1008	-0.807	8.906	-5.1777
63	1087	0.762	4.069	10.6037
-39	985	-0.753	6.539	-6.5663
-17	1007	-0.598	8.946	-3.8274
60	1084	1.233	5.954	11.7019
11	1035	0.227	6.464	2.0086
24	1048	0.354	6.820	2.9685
145	1169	1.179	3.101	20.8139
57	1081	0.753	5.012	8.5400
6	1030	-0.009	3.296	-0.1576
-26	998	-0.036	2.118	-0.9809
49	1073	0.843	4.710	10.1500
-50	974	-0.472	3.559	-7.5467
-29	995	-0.807	10.644	-4.3358
-104	920	-1.061	2.629	-21.9764
-132	892	-1.578	3.841	-22.3294
6	1030	0.997	6.880	8.2496
-18	1006	0.970	4.882	11.2412
65	1089	1.260	5.762	12.3394
-109	915	-1.233	5.805	-11.9932
-232	792	-3.400	4.264	-38.5704
-11	1013	-0.181	5.240	-1.9822
10	1034	0.218	5.302	2.3505
