pitch_raw	compte	part
590	2	0.000018
591	2	0.000018
593	2	0.000018
596	1	0.000009
597	1	0.000009
600	1	0.000009
601	3	0.000027
602	3	0.000027
603	2	0.000018
604	1	0.000009
605	2	0.000018
606	2	0.000018
607	7	0.000062
608	3	0.000027
610	1	0.000009
612	2	0.000018
615	1	0.000009
617	1	0.000009
618	1	0.000009
621	1	0.000009
622	1	0.000009
624	1	0.000009
625	1	0.000009
626	1	0.000009
628	2	0.000018
631	1	0.000009
632	1	0.000009
633	2	0.000018
635	1	0.000009
636	1	0.000009
637	2	0.000018
639	1	0.000009
642	2	0.000018
645	1	0.000009
648	1	0.000009
650	1	0.000009
651	3	0.000027
654	1	0.000009
655	2	0.000018
657	1	0.000009
658	1	0.000009
659	3	0.000027
660	2	0.000018
661	1	0.000009
662	5	0.000044
663	3	0.000027
664	2	0.000018
667	1	0.000009
669	1	0.000009
673	1	0.000009
674	1	0.000009
678	1	0.000009
680	1	0.000009
681	2	0.000018
682	2	0.000018
683	1	0.000009
684	1	0.000009
685	1	0.000009
686	2	0.000018
687	1	0.000009
688	1	0.000009
689	1	0.000009
690	4	0.000035
692	1	0.000009
693	1	0.000009
694	1	0.000009
695	1	0.000009
697	2	0.000018
698	2	0.000018
700	3	0.000027
702	2	0.000018
703	2	0.000018
705	1	0.000009
706	3	0.000027
707	4	0.000035
709	6	0.000053
710	3	0.000027
711	5	0.000044
712	1	0.000009
713	1	0.000009
714	3	0.000027
715	2	0.000018
716	2	0.000018
717	2	0.000018
718	2	0.000018
719	2	0.000018
720	2	0.000018
721	1	0.000009
723	3	0.000027
724	1	0.000009
725	2	0.000018
726	1	0.000009
728	6	0.000053
729	3	0.000027
731	5	0.000044
732	6	0.000053
733	1	0.000009
734	1	0.000009
735	1	0.000009
736	4	0.000035
737	3	0.000027
738	7	0.000062
739	2	0.000018
740	2	0.000018
741	6	0.000053
742	4	0.000035
743	4	0.000035
744	7	0.000062
745	4	0.000035
746	3	0.000027
747	3	0.000027
748	4	0.000035
749	4	0.000035
750	4	0.000035
751	6	0.000053
752	5	0.000044
753	6	0.000053
754	5	0.000044
755	12	0.000106
756	7	0.000062
757	6	0.000053
758	13	0.000115
759	6	0.000053
760	4	0.000035
761	10	0.000088
762	14	0.000124
763	20	0.000177
764	11	0.000097
765	22	0.000195
766	19	0.000168
767	11	0.000097
768	13	0.000115
769	11	0.000097
770	11	0.000097
771	12	0.000106
772	7	0.000062
773	8	0.000071
774	8	0.000071
775	12	0.000106
776	8	0.000071
777	9	0.000080
778	9	0.000080
779	17	0.000150
780	23	0.000203
781	13	0.000115
782	10	0.000088
783	11	0.000097
784	15	0.000133
785	10	0.000088
786	15	0.000133
787	24	0.000212
788	8	0.000071
789	14	0.000124
790	29	0.000256
791	24	0.000212
792	26	0.000230
793	18	0.000159
794	12	0.000106
795	14	0.000124
796	11	0.000097
797	15	0.000133
798	15	0.000133
799	13	0.000115
800	19	0.000168
801	15	0.000133
802	19	0.000168
803	20	0.000177
804	17	0.000150
805	20	0.000177
806	11	0.000097
807	27	0.000239
808	17	0.000150
809	19	0.000168
810	5	0.000044
811	22	0.000195
812	32	0.000283
813	26	0.000230
814	10	0.000088
815	12	0.000106
816	17	0.000150
817	15	0.000133
818	17	0.000150
819	12	0.000106
820	12	0.000106
821	26	0.000230
822	17	0.000150
823	15	0.000133
824	13	0.000115
825	14	0.000124
826	13	0.000115
827	21	0.000186
828	20	0.000177
829	20	0.000177
830	25	0.000221
831	22	0.000195
832	18	0.000159
833	33	0.000292
834	30	0.000265
835	10	0.000088
836	17	0.000150
837	27	0.000239
838	26	0.000230
839	24	0.000212
840	30	0.000265
841	24	0.000212
842	40	0.000354
843	18	0.000159
844	25	0.000221
845	32	0.000283
846	33	0.000292
847	21	0.000186
848	25	0.000221
849	24	0.000212
850	25	0.000221
851	21	0.000186
852	19	0.000168
853	38	0.000336
854	30	0.000265
855	29	0.000256
856	28	0.000248
857	26	0.000230
858	33	0.000292
859	46	0.000407
860	35	0.000310
861	27	0.000239
862	24	0.000212
863	30	0.000265
864	33	0.000292
865	46	0.000407
866	31	0.000274
867	51	0.000451
868	45	0.000398
869	41	0.000363
870	35	0.000310
871	31	0.000274
872	37	0.000327
873	37	0.000327
874	60	0.000531
875	49	0.000433
876	59	0.000522
877	71	0.000628
878	75	0.000663
879	63	0.000557
880	65	0.000575
881	55	0.000486
882	61	0.000540
883	81	0.000716
884	52	0.000460
885	70	0.000619
886	54	0.000478
887	52	0.000460
888	67	0.000593
889	72	0.000637
890	103	0.000911
891	78	0.000690
892	108	0.000955
893	111	0.000982
894	80	0.000708
895	105	0.000929
896	87	0.000769
897	112	0.000991
898	110	0.000973
899	123	0.001088
900	109	0.000964
901	124	0.001097
902	148	0.001309
903	139	0.001229
904	158	0.001397
905	137	0.001212
906	172	0.001521
907	149	0.001318
908	134	0.001185
909	158	0.001397
910	158	0.001397
911	146	0.001291
912	149	0.001318
913	154	0.001362
914	139	0.001229
915	163	0.001442
916	182	0.001610
917	124	0.001097
918	141	0.001247
919	220	0.001946
920	172	0.001521
921	154	0.001362
922	132	0.001168
923	130	0.001150
924	149	0.001318
925	161	0.001424
926	168	0.001486
927	173	0.001530
928	123	0.001088
929	170	0.001504
930	159	0.001406
931	175	0.001548
932	199	0.001760
933	336	0.002972
934	286	0.002530
935	192	0.001698
936	221	0.001955
937	221	0.001955
938	275	0.002432
939	321	0.002839
940	317	0.002804
941	342	0.003025
942	238	0.002105
943	270	0.002388
944	294	0.002600
945	313	0.002768
946	357	0.003158
947	294	0.002600
948	321	0.002839
949	335	0.002963
950	366	0.003237
951	328	0.002901
952	365	0.003228
953	409	0.003617
954	423	0.003741
955	436	0.003856
956	426	0.003768
957	473	0.004184
958	476	0.004210
959	465	0.004113
960	540	0.004776
961	484	0.004281
962	496	0.004387
963	490	0.004334
964	606	0.005360
965	577	0.005103
966	572	0.005059
967	642	0.005678
968	669	0.005917
969	592	0.005236
970	634	0.005608
971	790	0.006987
972	734	0.006492
973	631	0.005581
974	727	0.006430
975	704	0.006227
976	770	0.006810
977	678	0.005997
978	780	0.006899
979	837	0.007403
980	849	0.007509
